UF,Municipio,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
AC,ACRELÂNDIA,0.0,3.0,13.0,3.0,0.0,1.0,21.0,14.0,25.0,12.0,4.0
AC,ASSIS BRASIL,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0
AC,BRASILÉIA,6.0,22.0,34.0,44.0,58.0,47.0,40.0,41.0,73.0,75.0,32.0
AC,BUJARI,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0
AC,CAPIXABA,0.0,0.0,1.0,14.0,21.0,43.0,56.0,62.0,37.0,30.0,28.0
AC,CRUZEIRO DO SUL,0.0,69.0,73.0,88.0,164.0,71.0,25.0,30.0,22.0,45.0,85.0
AC,EPITACIOLÂNDIA,0.0,4.0,1.0,31.0,32.0,101.0,17.0,8.0,14.0,5.0,2.0
AC,FEIJÓ,2.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,5.0,3.0,7.0
AC,MANOEL URBANO,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
AC,MARECHAL THAUMATURGO,0.0,0.0,5.0,1.0,4.0,5.0,1.0,6.0,3.0,0.0,2.0
AC,MÂNCIO LIMA,20.0,11.0,0.0,65.0,27.0,11.0,18.0,47.0,5.0,14.0,10.0
AC,PLÁCIDO DE CASTRO,0.0,9.0,2.0,5.0,7.0,3.0,0.0,1.0,0.0,29.0,5.0
AC,PORTO ACRE,0.0,2.0,8.0,5.0,0.0,3.0,2.0,0.0,0.0,1.0,3.0
AC,PORTO WALTER,0.0,0.0,2.0,2.0,3.0,0.0,3.0,2.0,1.0,6.0,6.0
AC,RIO BRANCO,1.0,10.0,46.0,46.0,168.0,160.0,148.0,130.0,149.0,235.0,346.0
AC,RODRIGUES ALVES,0.0,0.0,20.0,26.0,4.0,7.0,7.0,7.0,9.0,7.0,15.0
AC,SANTA ROSA DO PURUS,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,184.0
AC,SENA MADUREIRA,0.0,1.0,15.0,7.0,52.0,121.0,91.0,12.0,12.0,7.0,55.0
AC,SENADOR GUIOMARD,0.0,0.0,2.0,6.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0
AC,TARAUACÁ,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,7.0
AC,XAPURI,0.0,1.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0
