UF,Municipio,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
AL,ANADIA,0.0,0.0,2.0,12.0,17.0,2.0,2.0,0.0,1.0,2.0,9.0
AL,ARAPIRACA,0.0,100.0,148.0,153.0,268.0,219.0,120.0,191.0,101.0,116.0,86.0
AL,ATALAIA,0.0,11.0,9.0,7.0,4.0,28.0,12.0,133.0,22.0,15.0,81.0
AL,BARRA DE SANTO ANTÔNIO,0.0,1.0,0.0,6.0,2.0,0.0,1.0,11.0,7.0,2.0,0.0
AL,BARRA DE SÃO MIGUEL,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0
AL,BATALHA,61.0,25.0,21.0,9.0,109.0,288.0,225.0,169.0,1.0,25.0,18.0
AL,BELO MONTE,26.0,26.0,15.0,11.0,27.0,61.0,65.0,18.0,5.0,0.0,0.0
AL,BELÉM,0.0,0.0,2.0,3.0,0.0,6.0,4.0,2.0,0.0,2.0,1.0
AL,BOCA DA MATA,0.0,15.0,19.0,28.0,17.0,18.0,44.0,3.0,3.0,3.0,18.0
AL,BRANQUINHA,0.0,6.0,4.0,16.0,4.0,6.0,0.0,13.0,9.0,0.0,0.0
AL,CACIMBINHAS,0.0,0.0,531.0,26.0,93.0,17.0,11.0,10.0,0.0,4.0,0.0
AL,CAJUEIRO,0.0,17.0,257.0,104.0,139.0,113.0,80.0,58.0,33.0,18.0,11.0
AL,CAMPESTRE,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
AL,CAMPO ALEGRE,0.0,13.0,12.0,13.0,15.0,11.0,5.0,2.0,0.0,24.0,42.0
AL,CAMPO GRANDE,0.0,1.0,0.0,5.0,5.0,4.0,0.0,0.0,0.0,1.0,0.0
AL,CANAPI,2.0,61.0,7.0,4.0,10.0,10.0,6.0,14.0,1.0,3.0,4.0
AL,CAPELA,0.0,0.0,42.0,4.0,4.0,3.0,2.0,5.0,0.0,3.0,2.0
AL,CARNEIROS,0.0,1.0,1.0,5.0,0.0,0.0,5.0,1.0,1.0,1.0,1.0
AL,CHÃ PRETA,0.0,1.0,4.0,4.0,5.0,1.0,0.0,1.0,0.0,1.0,1.0
AL,COITÉ DO NÓIA,0.0,1.0,0.0,0.0,0.0,2.0,6.0,5.0,0.0,1.0,1.0
AL,COLÔNIA LEOPOLDINA,0.0,1.0,48.0,58.0,29.0,59.0,55.0,2.0,6.0,49.0,25.0
AL,COQUEIRO SECO,0.0,0.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0
AL,CORURIPE,0.0,2.0,28.0,25.0,12.0,11.0,13.0,4.0,6.0,14.0,32.0
AL,CRAÍBAS,14.0,5.0,64.0,34.0,73.0,41.0,20.0,13.0,19.0,17.0,10.0
AL,DELMIRO GOUVEIA,0.0,49.0,35.0,24.0,25.0,29.0,103.0,301.0,67.0,41.0,76.0
AL,DOIS RIACHOS,0.0,4.0,1.0,2.0,3.0,6.0,0.0,1.0,1.0,10.0,3.0
AL,ESTRELA DE ALAGOAS,0.0,0.0,7.0,8.0,57.0,11.0,9.0,22.0,10.0,7.0,12.0
AL,FEIRA GRANDE,0.0,7.0,6.0,23.0,27.0,33.0,61.0,5.0,0.0,25.0,16.0
AL,FELIZ DESERTO,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0
AL,FLEXEIRAS,0.0,4.0,6.0,4.0,7.0,5.0,2.0,1.0,0.0,1.0,0.0
AL,GIRAU DO PONCIANO,0.0,2.0,15.0,34.0,30.0,25.0,18.0,48.0,3.0,21.0,21.0
AL,IBATEGUARA,0.0,0.0,10.0,3.0,9.0,11.0,15.0,10.0,4.0,6.0,4.0
AL,IGACI,0.0,0.0,13.0,10.0,7.0,30.0,12.0,15.0,5.0,0.0,4.0
AL,IGREJA NOVA,0.0,30.0,25.0,9.0,32.0,154.0,8.0,20.0,0.0,20.0,16.0
AL,INHAPI,0.0,21.0,8.0,6.0,10.0,1.0,6.0,6.0,2.0,2.0,12.0
AL,JACARÉ DOS HOMENS,0.0,0.0,0.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0
AL,JACUÍPE,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
AL,JAPARATINGA,0.0,0.0,3.0,40.0,13.0,1.0,5.0,1.0,0.0,1.0,1.0
AL,JARAMATAIA,0.0,0.0,3.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0
AL,JEQUIÁ DA PRAIA,0.0,5.0,0.0,9.0,3.0,1.0,0.0,1.0,2.0,3.0,0.0
AL,JOAQUIM GOMES,0.0,0.0,18.0,32.0,46.0,52.0,16.0,5.0,0.0,8.0,10.0
AL,JUNDIÁ,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0
AL,JUNQUEIRO,0.0,8.0,49.0,58.0,72.0,85.0,36.0,46.0,45.0,5.0,8.0
AL,LAGOA DA CANOA,0.0,2.0,12.0,29.0,132.0,13.0,13.0,22.0,0.0,17.0,14.0
AL,LIMOEIRO DE ANADIA,0.0,76.0,283.0,399.0,411.0,391.0,173.0,271.0,8.0,37.0,49.0
AL,MACEIÓ,0.0,0.0,603.0,1039.0,1153.0,1446.0,598.0,1192.0,807.0,658.0,693.0
AL,MAJOR ISIDORO,12.0,8.0,15.0,3.0,13.0,7.0,0.0,20.0,5.0,7.0,2.0
AL,MAR VERMELHO,0.0,113.0,38.0,4.0,2.0,53.0,41.0,0.0,0.0,0.0,0.0
AL,MARAGOGI,0.0,0.0,3.0,93.0,106.0,121.0,30.0,29.0,23.0,6.0,5.0
AL,MARAVILHA,0.0,0.0,0.0,6.0,31.0,79.0,28.0,12.0,0.0,15.0,2.0
AL,MARECHAL DEODORO,0.0,21.0,41.0,33.0,49.0,90.0,19.0,9.0,3.0,24.0,16.0
AL,MARIBONDO,0.0,0.0,1.0,8.0,19.0,6.0,5.0,4.0,0.0,1.0,0.0
AL,MATA GRANDE,0.0,0.0,1.0,15.0,13.0,12.0,0.0,3.0,8.0,6.0,4.0
AL,MATRIZ DE CAMARAGIBE,0.0,6.0,90.0,73.0,114.0,123.0,83.0,69.0,37.0,40.0,33.0
AL,MESSIAS,1.0,16.0,38.0,4.0,1.0,6.0,30.0,24.0,29.0,40.0,13.0
AL,MINADOR DO NEGRÃO,0.0,0.0,5.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
AL,MONTEIRÓPOLIS,0.0,0.0,1.0,5.0,4.0,1.0,5.0,2.0,2.0,0.0,0.0
AL,MURICI,0.0,11.0,76.0,46.0,46.0,26.0,19.0,28.0,8.0,21.0,15.0
AL,NOVO LINO,0.0,0.0,0.0,4.0,2.0,14.0,0.0,9.0,3.0,0.0,1.0
AL,OLHO D'ÁGUA DAS FLORES,0.0,21.0,30.0,55.0,87.0,61.0,46.0,9.0,0.0,11.0,27.0
AL,OLHO D'ÁGUA DO CASADO,0.0,0.0,6.0,1.0,5.0,41.0,9.0,4.0,2.0,2.0,3.0
AL,OLHO D'ÁGUA GRANDE,10.0,5.0,3.0,2.0,15.0,0.0,0.0,0.0,0.0,22.0,4.0
AL,OLIVENÇA,0.0,0.0,4.0,1.0,1.0,7.0,1.0,1.0,2.0,0.0,2.0
AL,OURO BRANCO,0.0,0.0,82.0,46.0,45.0,29.0,11.0,12.0,16.0,10.0,1.0
AL,PALESTINA,0.0,0.0,1.0,2.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0
AL,PALMEIRA DOS ÍNDIOS,0.0,8.0,24.0,83.0,125.0,117.0,43.0,19.0,12.0,39.0,84.0
AL,PARICONHA,0.0,0.0,6.0,8.0,5.0,5.0,0.0,3.0,3.0,5.0,5.0
AL,PARIPUEIRA,0.0,0.0,18.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0
AL,PASSO DE CAMARAGIBE,0.0,2.0,1.0,37.0,27.0,46.0,19.0,41.0,33.0,22.0,44.0
AL,PAULO JACINTO,0.0,0.0,5.0,83.0,99.0,4.0,2.0,1.0,1.0,1.0,0.0
AL,PENEDO,0.0,79.0,171.0,173.0,70.0,39.0,9.0,7.0,6.0,29.0,30.0
AL,PIAÇABUÇU,0.0,1.0,1.0,19.0,4.0,47.0,32.0,51.0,4.0,4.0,7.0
AL,PILAR,0.0,13.0,407.0,496.0,790.0,860.0,591.0,183.0,34.0,1.0,0.0
AL,PINDOBA,5.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
AL,PIRANHAS,3.0,10.0,4.0,8.0,14.0,7.0,4.0,10.0,0.0,4.0,4.0
AL,PORTO CALVO,0.0,1.0,2.0,19.0,10.0,18.0,6.0,52.0,15.0,11.0,29.0
AL,PORTO DE PEDRAS,0.0,4.0,3.0,44.0,25.0,27.0,16.0,57.0,58.0,76.0,8.0
AL,PORTO REAL DO COLÉGIO,45.0,16.0,27.0,44.0,21.0,26.0,16.0,5.0,34.0,16.0,6.0
AL,POÇO DAS TRINCHEIRAS,0.0,2.0,3.0,12.0,9.0,1.0,0.0,4.0,1.0,10.0,5.0
AL,PÃO DE AÇÚCAR,0.0,22.0,2.0,15.0,9.0,20.0,9.0,36.0,21.0,96.0,6.0
AL,QUEBRANGULO,0.0,0.0,7.0,15.0,38.0,32.0,16.0,21.0,4.0,16.0,9.0
AL,RIO LARGO,0.0,11.0,64.0,242.0,183.0,416.0,645.0,800.0,907.0,544.0,124.0
AL,ROTEIRO,0.0,1.0,0.0,1.0,0.0,7.0,6.0,1.0,1.0,4.0,2.0
AL,SANTA LUZIA DO NORTE,0.0,0.0,8.0,8.0,16.0,18.0,26.0,4.0,3.0,6.0,7.0
AL,SANTANA DO IPANEMA,2.0,68.0,64.0,60.0,47.0,40.0,22.0,21.0,29.0,25.0,13.0
AL,SANTANA DO MUNDAÚ,0.0,0.0,4.0,5.0,5.0,8.0,0.0,0.0,2.0,0.0,2.0
AL,SATUBA,0.0,0.0,9.0,4.0,3.0,0.0,1.0,4.0,1.0,1.0,8.0
AL,SENADOR RUI PALMEIRA,0.0,0.0,4.0,4.0,2.0,1.0,1.0,6.0,1.0,7.0,9.0
