UF,Municipio,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
AM,ALVARÃES,0.0,1.0,2.0,1.0,3.0,10.0,9.0,7.0,0.0,3.0,3.0
AM,AMATURÁ,0.0,3.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
AM,ANAMÃ,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,3.0
AM,ANORI,0.0,0.0,3.0,8.0,19.0,14.0,0.0,1.0,2.0,6.0,1.0
AM,APUÍ,5.0,5.0,0.0,24.0,45.0,40.0,52.0,33.0,25.0,18.0,42.0
AM,ATALAIA DO NORTE,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,0.0,0.0,1.0
AM,AUTAZES,0.0,8.0,15.0,78.0,37.0,38.0,59.0,79.0,19.0,61.0,29.0
AM,BARCELOS,0.0,2.0,4.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0
AM,BARREIRINHA,0.0,17.0,5.0,2.0,6.0,11.0,16.0,4.0,3.0,4.0,3.0
AM,BENJAMIN CONSTANT,0.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0
AM,BERURI,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0
AM,BOA VISTA DO RAMOS,0.0,0.0,5.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0
AM,BOCA DO ACRE,0.0,0.0,2.0,8.0,0.0,2.0,3.0,4.0,0.0,1.0,5.0
AM,BORBA,0.0,23.0,37.0,31.0,15.0,3.0,80.0,24.0,13.0,69.0,79.0
AM,CAAPIRANGA,0.0,1.0,6.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0
AM,CANUTAMA,0.0,0.0,1.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
AM,CARAUARI,0.0,4.0,0.0,0.0,8.0,1.0,0.0,0.0,1.0,0.0,3.0
AM,CAREIRO,0.0,5.0,4.0,2.0,5.0,42.0,5.0,7.0,37.0,94.0,154.0
AM,CAREIRO DA VÁRZEA,0.0,3.0,3.0,6.0,5.0,16.0,11.0,6.0,25.0,32.0,11.0
AM,COARI,0.0,24.0,15.0,148.0,177.0,201.0,164.0,67.0,43.0,83.0,117.0
AM,CODAJÁS,0.0,1.0,4.0,8.0,19.0,47.0,13.0,7.0,0.0,13.0,21.0
AM,EIRUNEPÉ,0.0,29.0,58.0,25.0,21.0,61.0,30.0,52.0,41.0,82.0,56.0
AM,ENVIRA,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,5.0
AM,FONTE BOA,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0
AM,GUAJARÁ,0.0,0.0,0.0,3.0,14.0,27.0,60.0,13.0,35.0,22.0,27.0
AM,HUMAITÁ,0.0,1.0,127.0,85.0,70.0,65.0,1.0,0.0,1.0,14.0,11.0
AM,IPIXUNA,0.0,0.0,0.0,0.0,17.0,5.0,2.0,10.0,3.0,3.0,5.0
AM,IRANDUBA,0.0,2.0,15.0,23.0,137.0,345.0,188.0,156.0,107.0,27.0,24.0
AM,ITACOATIARA,2.0,32.0,63.0,86.0,92.0,158.0,89.0,74.0,71.0,70.0,43.0
AM,ITAMARATI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
AM,ITAPIRANGA,0.0,0.0,0.0,0.0,50.0,17.0,11.0,10.0,4.0,5.0,0.0
AM,JAPURÁ,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
AM,JURUÁ,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0
AM,JUTAÍ,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0
AM,LÁBREA,0.0,0.0,0.0,3.0,1.0,3.0,5.0,33.0,38.0,57.0,48.0
AM,MANACAPURU,9.0,1000.0,1185.0,362.0,295.0,76.0,15.0,15.0,14.0,42.0,85.0
AM,MANAQUIRI,1.0,17.0,21.0,6.0,15.0,18.0,29.0,46.0,7.0,18.0,14.0
AM,MANAUS,139.0,258.0,680.0,419.0,776.0,769.0,254.0,69.0,95.0,780.0,2345.0
AM,MANICORÉ,0.0,17.0,6.0,35.0,24.0,27.0,19.0,34.0,127.0,108.0,58.0
AM,MARAÃ,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
AM,MAUÉS,0.0,2.0,8.0,16.0,20.0,120.0,78.0,33.0,2.0,35.0,27.0
AM,NHAMUNDÁ,0.0,3.0,0.0,11.0,7.0,29.0,1.0,2.0,2.0,2.0,0.0
AM,NOVA OLINDA DO NORTE,2.0,3.0,16.0,22.0,35.0,69.0,14.0,36.0,46.0,28.0,20.0
AM,NOVO AIRÃO,0.0,3.0,8.0,2.0,78.0,9.0,11.0,0.0,12.0,6.0,11.0
AM,NOVO ARIPUANÃ,0.0,0.0,28.0,0.0,1.0,7.0,2.0,0.0,1.0,2.0,2.0
AM,PARINTINS,0.0,247.0,3024.0,62.0,135.0,96.0,21.0,18.0,12.0,18.0,15.0
AM,PAUINI,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,2.0,6.0
AM,PRESIDENTE FIGUEIREDO,0.0,4.0,12.0,12.0,34.0,8.0,5.0,3.0,10.0,140.0,62.0
AM,RIO PRETO DA EVA,18.0,22.0,24.0,25.0,37.0,52.0,13.0,11.0,17.0,39.0,69.0
AM,SANTA ISABEL DO RIO NEGRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0
AM,SANTO ANTÔNIO DO IÇÁ,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
AM,SILVES,0.0,1.0,0.0,3.0,35.0,19.0,6.0,17.0,3.0,9.0,47.0
AM,SÃO GABRIEL DA CACHOEIRA,0.0,12.0,19.0,27.0,18.0,19.0,24.0,25.0,26.0,21.0,36.0
AM,SÃO PAULO DE OLIVENÇA,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,2.0,4.0,2.0
AM,SÃO SEBASTIÃO DO UATUMÃ,0.0,10.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,7.0,0.0
AM,TABATINGA,0.0,2.0,8.0,5.0,2.0,1.0,0.0,5.0,0.0,10.0,75.0
AM,TAPAUÁ,0.0,0.0,3.0,0.0,2.0,9.0,18.0,9.0,1.0,3.0,1.0
AM,TEFÉ,3.0,1.0,18.0,34.0,53.0,101.0,62.0,44.0,85.0,45.0,34.0
AM,TONANTINS,0.0,0.0,60.0,0.0,0.0,7.0,14.0,0.0,9.0,6.0,0.0
AM,UARINI,0.0,0.0,0.0,22.0,6.0,14.0,1.0,8.0,5.0,7.0,0.0
AM,URUCARÁ,0.0,2.0,3.0,6.0,0.0,8.0,1.0,2.0,2.0,1.0,4.0
AM,URUCURITUBA,3.0,8.0,5.0,0.0,2.0,11.0,23.0,12.0,9.0,18.0,47.0
