UF,Municipio,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
AP,AMAPÁ,2.0,0.0,0.0,0.0,4.0,4.0,4.0,9.0,0.0,2.0,4.0
AP,CALÇOENE,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,7.0,2.0
AP,CUTIAS,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,28.0,0.0,0.0
AP,FERREIRA GOMES,0.0,22.0,27.0,35.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0
AP,ITAUBAL,0.0,0.0,0.0,6.0,2.0,4.0,5.0,0.0,4.0,7.0,0.0
AP,LARANJAL DO JARI,1.0,1.0,4.0,103.0,21.0,8.0,17.0,9.0,6.0,6.0,22.0
AP,MACAPÁ,5.0,113.0,152.0,157.0,235.0,209.0,240.0,613.0,1404.0,1370.0,1396.0
AP,MAZAGÃO,18.0,7.0,16.0,15.0,4.0,4.0,1.0,3.0,0.0,3.0,1.0
AP,OIAPOQUE,0.0,0.0,2.0,4.0,18.0,30.0,33.0,26.0,48.0,18.0,47.0
AP,PEDRA BRANCA DO AMAPARI,0.0,0.0,0.0,0.0,2.0,3.0,1.0,5.0,1.0,0.0,3.0
AP,PORTO GRANDE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,10.0,14.0
AP,PRACUÚBA,0.0,0.0,0.0,0.0,2.0,11.0,6.0,0.0,0.0,0.0,2.0
AP,SANTANA,1.0,16.0,7.0,74.0,134.0,76.0,35.0,59.0,62.0,16.0,81.0
AP,SERRA DO NAVIO,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
AP,TARTARUGALZINHO,0.0,34.0,0.0,1.0,26.0,2.0,0.0,14.0,28.0,15.0,4.0
AP,VITÓRIA DO JARI,0.0,0.0,10.0,8.0,27.0,118.0,8.0,1.0,1.0,5.0,0.0
