UF,Municipio,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
BA,ABARÉ,2.0,4.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0
BA,ABAÍRA,0.0,0.0,4.0,20.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0
BA,ACAJUTIBA,2.0,5.0,9.0,8.0,31.0,2.0,0.0,0.0,12.0,0.0,0.0
BA,ADUSTINA,0.0,0.0,0.0,2.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0
BA,AIQUARA,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BA,ALAGOINHAS,4.0,28.0,14.0,38.0,21.0,58.0,60.0,85.0,124.0,185.0,128.0
BA,ALCOBAÇA,0.0,0.0,5.0,25.0,74.0,44.0,6.0,151.0,171.0,102.0,74.0
BA,ALMADINA,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BA,AMARGOSA,0.0,3.0,31.0,46.0,90.0,91.0,36.0,35.0,12.0,55.0,63.0
BA,AMÉLIA RODRIGUES,0.0,12.0,6.0,29.0,36.0,16.0,14.0,11.0,30.0,52.0,87.0
BA,AMÉRICA DOURADA,0.0,1.0,0.0,6.0,2.0,2.0,0.0,2.0,0.0,0.0,12.0
BA,ANAGÉ,22.0,26.0,14.0,90.0,75.0,113.0,86.0,13.0,2.0,3.0,3.0
BA,ANDARAÍ,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,3.0
BA,ANDORINHA,0.0,0.0,0.0,1.0,1.0,13.0,35.0,23.0,96.0,19.0,14.0
BA,ANGICAL,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
BA,ANGUERA,0.0,4.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
BA,ANTAS,1.0,0.0,1.0,2.0,4.0,2.0,3.0,4.0,0.0,0.0,0.0
BA,ANTÔNIO CARDOSO,0.0,3.0,19.0,7.0,7.0,0.0,0.0,2.0,2.0,0.0,0.0
