UF,Municipio,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
CE,ABAIARA,0.0,12.0,10.0,4.0,4.0,4.0,0.0,2.0,0.0,0.0,5.0
CE,ACARAPE,0.0,37.0,5.0,13.0,3.0,2.0,32.0,32.0,21.0,67.0,40.0
CE,ACARAÚ,0.0,84.0,256.0,206.0,226.0,465.0,199.0,187.0,50.0,62.0,79.0
CE,ACOPIARA,0.0,33.0,169.0,243.0,144.0,204.0,56.0,136.0,110.0,58.0,47.0
CE,AIUABA,0.0,3.0,1.0,5.0,6.0,18.0,21.0,5.0,0.0,1.0,10.0
CE,ALCÂNTARAS,0.0,0.0,0.0,1.0,6.0,3.0,0.0,0.0,0.0,1.0,1.0
CE,ALTANEIRA,1.0,0.0,3.0,9.0,35.0,21.0,2.0,1.0,0.0,1.0,0.0
CE,ALTO SANTO,0.0,1.0,0.0,1.0,12.0,6.0,0.0,11.0,0.0,2.0,0.0
CE,AMONTADA,0.0,29.0,12.0,77.0,62.0,77.0,40.0,44.0,54.0,66.0,40.0
CE,ANTONINA DO NORTE,0.0,0.0,2.0,12.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0
CE,APUIARÉS,0.0,3.0,13.0,7.0,18.0,21.0,35.0,20.0,6.0,1.0,2.0
CE,AQUIRAZ,0.0,7.0,135.0,156.0,321.0,292.0,94.0,259.0,217.0,296.0,275.0
CE,ARACATI,4.0,32.0,72.0,99.0,113.0,99.0,103.0,70.0,73.0,146.0,76.0
CE,ARACOIABA,0.0,51.0,74.0,57.0,152.0,229.0,34.0,62.0,110.0,47.0,11.0
CE,ARARENDÁ,0.0,1.0,2.0,0.0,2.0,0.0,1.0,7.0,3.0,1.0,0.0
CE,ARARIPE,0.0,17.0,52.0,26.0,6.0,18.0,0.0,2.0,0.0,2.0,2.0
CE,ARATUBA,0.0,9.0,9.0,14.0,5.0,14.0,11.0,44.0,30.0,22.0,20.0
CE,ARNEIROZ,0.0,11.0,17.0,11.0,8.0,7.0,6.0,2.0,11.0,9.0,4.0
CE,ASSARÉ,0.0,0.0,22.0,19.0,40.0,23.0,18.0,77.0,11.0,22.0,26.0
CE,AURORA,0.0,2.0,25.0,65.0,60.0,45.0,11.0,54.0,38.0,18.0,19.0
CE,BAIXIO,0.0,0.0,8.0,2.0,2.0,14.0,5.0,9.0,17.0,10.0,3.0
CE,BANABUIÚ,0.0,3.0,3.0,38.0,51.0,59.0,101.0,94.0,34.0,38.0,10.0
CE,BARBALHA,6.0,15.0,88.0,189.0,167.0,330.0,76.0,140.0,52.0,177.0,137.0
CE,BARREIRA,8.0,6.0,5.0,2.0,2.0,7.0,26.0,18.0,29.0,10.0,2.0
CE,BARRO,0.0,0.0,5.0,9.0,68.0,25.0,4.0,18.0,32.0,14.0,22.0
CE,BARROQUINHA,0.0,10.0,35.0,34.0,19.0,24.0,3.0,0.0,0.0,13.0,11.0
CE,BATURITÉ,0.0,4.0,39.0,16.0,12.0,66.0,30.0,117.0,27.0,61.0,63.0
CE,BEBERIBE,0.0,15.0,55.0,23.0,29.0,73.0,59.0,72.0,129.0,220.0,173.0
CE,BELA CRUZ,0.0,13.0,45.0,51.0,38.0,34.0,31.0,38.0,12.0,11.0,5.0
CE,BOA VIAGEM,0.0,6.0,8.0,11.0,6.0,1.0,25.0,249.0,114.0,34.0,67.0
CE,BREJO SANTO,0.0,43.0,124.0,93.0,115.0,100.0,29.0,92.0,69.0,77.0,73.0
CE,CAMOCIM,0.0,8.0,169.0,164.0,170.0,251.0,121.0,242.0,194.0,154.0,100.0
CE,CAMPOS SALES,0.0,5.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CE,CANINDÉ,0.0,56.0,159.0,58.0,101.0,68.0,48.0,76.0,54.0,61.0,107.0
CE,CAPISTRANO,2.0,44.0,28.0,73.0,186.0,132.0,76.0,53.0,45.0,35.0,25.0
CE,CARIDADE,0.0,2.0,16.0,4.0,7.0,0.0,1.0,0.0,4.0,13.0,3.0
CE,CARIRIAÇU,0.0,42.0,103.0,306.0,95.0,176.0,57.0,21.0,44.0,32.0,29.0
CE,CARIRÉ,0.0,65.0,34.0,30.0,55.0,51.0,51.0,2.0,19.0,26.0,19.0
CE,CARIÚS,0.0,8.0,1.0,20.0,25.0,13.0,8.0,25.0,14.0,15.0,17.0
CE,CARNAUBAL,0.0,4.0,29.0,7.0,15.0,24.0,87.0,21.0,13.0,38.0,43.0
CE,CASCAVEL,0.0,45.0,48.0,62.0,42.0,12.0,49.0,126.0,205.0,147.0,111.0
CE,CATARINA,0.0,23.0,8.0,19.0,22.0,30.0,26.0,6.0,5.0,42.0,37.0
CE,CATUNDA,0.0,0.0,0.0,5.0,7.0,6.0,0.0,0.0,0.0,2.0,3.0
CE,CAUCAIA,0.0,48.0,117.0,573.0,886.0,568.0,461.0,557.0,62.0,566.0,664.0
CE,CEDRO,0.0,2.0,35.0,46.0,42.0,99.0,32.0,81.0,17.0,19.0,36.0
CE,CHAVAL,0.0,1.0,0.0,23.0,127.0,66.0,6.0,0.0,1.0,49.0,53.0
CE,CHOROZINHO,0.0,7.0,21.0,22.0,23.0,13.0,9.0,4.0,0.0,4.0,6.0
CE,CHORÓ,0.0,30.0,1.0,15.0,8.0,4.0,1.0,2.0,4.0,6.0,6.0
CE,COREAÚ,0.0,8.0,16.0,90.0,90.0,110.0,36.0,1.0,0.0,24.0,19.0
CE,CRATEÚS,0.0,219.0,365.0,373.0,249.0,169.0,98.0,168.0,95.0,133.0,133.0
CE,CRATO,2.0,87.0,115.0,195.0,164.0,536.0,534.0,215.0,114.0,68.0,117.0
CE,CROATÁ,0.0,0.0,4.0,7.0,6.0,2.0,5.0,22.0,63.0,26.0,59.0
CE,CRUZ,0.0,36.0,37.0,145.0,159.0,110.0,0.0,0.0,0.0,25.0,13.0
CE,DEPUTADO IRAPUAN PINHEIRO,0.0,0.0,3.0,2.0,6.0,5.0,0.0,1.0,1.0,2.0,2.0
CE,ERERÊ,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0
