UF,Municipio,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ES,AFONSO CLÁUDIO,0.0,0.0,4.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0
ES,ALEGRE,2.0,33.0,50.0,64.0,146.0,44.0,16.0,32.0,10.0,7.0,9.0
ES,ALFREDO CHAVES,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ES,ALTO RIO NOVO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
ES,ANCHIETA,0.0,0.0,0.0,0.0,0.0,153.0,124.0,48.0,18.0,7.0,12.0
ES,APIACÁ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0
ES,ATILIO VIVACQUA,0.0,3.0,1.0,0.0,9.0,21.0,0.0,0.0,0.0,1.0,1.0
ES,BAIXO GUANDU,10.0,5.0,42.0,65.0,42.0,20.0,16.0,17.0,2.0,2.0,1.0
ES,BARRA DE SÃO FRANCISCO,0.0,1.0,8.0,5.0,10.0,6.0,6.0,12.0,6.0,3.0,2.0
ES,BOA ESPERANÇA,0.0,0.0,4.0,9.0,1.0,2.0,2.0,0.0,0.0,1.0,4.0
ES,BOM JESUS DO NORTE,0.0,0.0,0.0,5.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0
ES,BREJETUBA,0.0,5.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ES,CACHOEIRO DE ITAPEMIRIM,0.0,30.0,61.0,39.0,61.0,72.0,63.0,17.0,7.0,5.0,8.0
ES,CARIACICA,0.0,0.0,25.0,20.0,100.0,63.0,49.0,18.0,20.0,37.0,11.0
ES,CASTELO,0.0,4.0,1.0,11.0,4.0,4.0,2.0,2.0,1.0,1.0,2.0
ES,COLATINA,0.0,114.0,202.0,157.0,211.0,211.0,79.0,69.0,74.0,21.0,34.0
ES,CONCEIÇÃO DA BARRA,0.0,0.0,1.0,7.0,14.0,5.0,2.0,2.0,0.0,13.0,12.0
ES,DIVINO DE SÃO LOURENÇO,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,DOMINGOS MARTINS,2.0,8.0,15.0,20.0,8.0,26.0,10.0,4.0,0.0,5.0,8.0
ES,DORES DO RIO PRETO,0.0,1.0,4.0,3.0,7.0,1.0,0.0,0.0,0.0,2.0,1.0
ES,ECOPORANGA,0.0,14.0,5.0,6.0,4.0,41.0,10.0,26.0,4.0,14.0,2.0
ES,FUNDÃO,0.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,4.0,19.0,57.0
ES,GOVERNADOR LINDENBERG,0.0,1.0,0.0,1.0,11.0,11.0,1.0,0.0,0.0,25.0,2.0
ES,GUARAPARI,0.0,21.0,37.0,21.0,49.0,42.0,19.0,40.0,11.0,24.0,9.0
