UF,Municipio,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
GO,ABADIA DE GOIÁS,0.0,0.0,1.0,402.0,519.0,7.0,3.0,7.0,20.0,15.0,17.0
GO,ABADIÂNIA,0.0,0.0,11.0,6.0,0.0,0.0,11.0,5.0,0.0,23.0,30.0
GO,ACREÚNA,0.0,89.0,648.0,760.0,355.0,485.0,3.0,10.0,18.0,39.0,34.0
GO,ADELÂNDIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
GO,ALEXÂNIA,0.0,335.0,2235.0,589.0,410.0,197.0,98.0,48.0,12.0,22.0,9.0
GO,ALOÂNDIA,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO,ALTO HORIZONTE,0.0,29.0,100.0,431.0,68.0,4.0,0.0,2.0,0.0,1.0,1.0
GO,ALTO PARAÍSO DE GOIÁS,0.0,0.0,3.0,1.0,4.0,8.0,31.0,20.0,41.0,17.0,2.0
GO,ALVORADA DO NORTE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
GO,AMARALINA,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO,AMORINÓPOLIS,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0
GO,ANHANGUERA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
GO,ANICUNS,0.0,80.0,9.0,30.0,4.0,9.0,3.0,1.0,5.0,12.0,13.0
GO,ANÁPOLIS,0.0,3796.977,3309.069,5801.314,2266.0,725.0,153.0,2.0,9.0,154.0,193.0
GO,APARECIDA DE GOIÂNIA,0.0,157.0,200.0,298.0,420.0,459.0,210.0,302.0,328.0,193.0,171.0
GO,APORÉ,2.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0
GO,ARAGARÇAS,0.0,0.0,42.0,34.0,100.0,190.0,24.0,30.0,3.0,41.0,44.0
GO,ARAGOIÂNIA,0.0,3.0,4.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
GO,ARAGUAPAZ,0.0,143.0,3.0,78.0,10.0,4.0,0.0,2.0,1.0,0.0,0.0
GO,ARAÇU,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
GO,ARUANÃ,0.0,42.0,0.0,35.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0
GO,AURILÂNDIA,0.0,1.0,4.0,10.0,3.0,1.0,11.0,0.0,0.0,0.0,0.0
GO,AVELINÓPOLIS,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO,BALIZA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
GO,BARRO ALTO,0.0,2.0,4.0,1.0,1.0,5.0,1.0,7.0,0.0,4.0,3.0
GO,BELA VISTA DE GOIÁS,1.0,16.0,18.0,1618.0,182.0,87.0,18.0,36.0,38.0,34.0,21.0
GO,BOM JARDIM DE GOIÁS,0.0,2.0,0.0,38.0,42.0,15.0,3.0,1.0,3.0,0.0,0.0
