UF,Municipio,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
MA,AFONSO CUNHA,0.0,3.0,10.0,7.0,9.0,4.0,0.0,4.0,0.0,1.0,0.0
MA,ALCÂNTARA,1.0,3.0,12.0,8.0,10.0,5.0,35.0,88.0,47.0,10.0,16.0
MA,ALDEIAS ALTAS,0.0,2.0,4.0,30.0,1.0,39.0,13.0,31.0,104.0,62.0,44.0
MA,ALTAMIRA DO MARANHÃO,2.0,1.0,0.0,13.0,19.0,15.0,6.0,10.0,16.0,7.0,0.0
MA,ALTO ALEGRE DO MARANHÃO,0.0,0.0,0.0,7.0,1.0,2.0,7.0,2.0,1.0,6.0,6.0
MA,ALTO ALEGRE DO PINDARÉ,6.0,2.0,1.0,5.0,87.0,105.0,59.0,69.0,149.0,147.0,187.0
MA,ALTO PARNAÍBA,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,6.0,0.0,0.0
MA,AMAPÁ DO MARANHÃO,2.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,1.0
MA,AMARANTE DO MARANHÃO,2.0,48.0,92.0,92.0,88.0,102.0,28.0,28.0,43.0,29.0,10.0
MA,ANAJATUBA,1.0,3.0,1.0,5.0,15.0,67.0,8.0,32.0,109.0,116.0,35.0
MA,ANAPURUS,1.0,0.0,2.0,5.0,6.0,3.0,3.0,9.0,0.0,0.0,0.0
MA,APICUM-AÇU,2.0,11.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,7.0,1.0
MA,ARAGUANÃ,0.0,0.0,2.0,1.0,21.0,42.0,18.0,37.0,2.0,0.0,0.0
MA,ARAIOSES,1.0,2.0,0.0,3.0,1.0,3.0,1.0,0.0,4.0,7.0,15.0
MA,ARAME,0.0,0.0,5.0,0.0,5.0,7.0,1.0,8.0,8.0,6.0,2.0
MA,ARARI,3.0,46.0,49.0,123.0,147.0,386.0,423.0,133.0,202.0,27.0,22.0
MA,AXIXÁ,0.0,7.0,1.0,0.0,4.0,8.0,7.0,12.0,8.0,2.0,0.0
MA,AÇAILÂNDIA,22.0,14.0,12.0,36.0,22.0,40.0,50.0,11.0,4.0,34.0,16.0
MA,BACABAL,73.0,55.0,58.0,97.0,148.0,90.0,122.0,111.0,76.0,53.0,64.0
MA,BACABEIRA,0.0,0.0,0.0,1.0,3.0,9.0,11.0,2.0,12.0,9.0,51.0
MA,BACURI,0.0,0.0,0.0,1.0,0.0,8.0,3.0,4.0,7.0,8.0,3.0
MA,BACURITUBA,0.0,0.0,2.0,2.0,9.0,21.0,42.0,8.0,37.0,31.0,37.0
MA,BALSAS,22.0,63.0,99.0,129.0,134.0,460.0,134.0,38.0,53.0,36.0,39.0
MA,BARRA DO CORDA,28.0,101.0,79.0,187.0,157.0,39.0,9.0,55.0,31.0,19.0,40.0
MA,BARREIRINHAS,10.0,172.0,82.0,263.0,226.0,75.0,94.0,83.0,75.0,99.0,60.0
MA,BARÃO DE GRAJAÚ,0.0,0.0,10.0,1.0,4.0,11.0,4.0,6.0,0.0,1.0,1.0
MA,BELA VISTA DO MARANHÃO,0.0,2.0,0.0,0.0,17.0,2.0,5.0,2.0,1.0,2.0,3.0
MA,BENEDITO LEITE,0.0,0.0,10.0,3.0,0.0,9.0,1.0,3.0,0.0,0.0,2.0
MA,BEQUIMÃO,0.0,0.0,3.0,29.0,0.0,11.0,1.0,136.0,153.0,170.0,160.0
MA,BOA VISTA DO GURUPI,8.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,14.0
MA,BOM JARDIM,0.0,0.0,1.0,9.0,6.0,99.0,62.0,81.0,16.0,5.0,3.0
