UF,Municipio,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
MG,ABADIA DOS DOURADOS,0.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MG,ABAETÉ,1.0,1.0,9.0,0.0,0.0,2.0,0.0,0.0,75.0,52.0,30.0
MG,ABRE CAMPO,3.0,13.0,15.0,11.0,7.0,4.0,3.0,1.0,1.0,1.0,11.0
MG,ACAIACA,0.0,0.0,1.0,8.0,18.0,8.0,0.0,1.0,0.0,6.0,7.0
MG,AGUANIL,2.0,6.0,5.0,13.0,6.0,6.0,1.0,0.0,0.0,1.0,3.0
MG,AIMORÉS,6.0,127.0,72.0,81.0,246.0,333.0,50.0,56.0,88.0,24.0,30.0
MG,AIURUOCA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
MG,ALAGOA,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0
MG,ALBERTINA,0.0,1.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0
MG,ALFENAS,0.0,4.0,19.0,64.0,99.0,91.0,60.0,36.0,33.0,110.0,46.0
MG,ALFREDO VASCONCELOS,0.0,5.0,12.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,5.0
MG,ALMENARA,0.0,0.0,4.0,19.0,6.0,4.0,10.0,11.0,3.0,9.0,6.0
MG,ALPERCATA,0.0,5.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0
MG,ALPINÓPOLIS,0.0,0.0,9.0,56.0,33.0,41.0,36.0,0.0,0.0,14.0,6.0
MG,ALTEROSA,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
MG,ALTO CAPARAÓ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MG,ALTO JEQUITIBÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
MG,ALTO RIO DOCE,0.0,0.0,0.0,3.0,10.0,12.0,3.0,1.0,0.0,5.0,4.0
MG,ALVARENGA,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0
MG,ALVINÓPOLIS,0.0,3.0,2.0,9.0,6.0,4.0,1.0,7.0,1.0,22.0,21.0
MG,ALVORADA DE MINAS,0.0,0.0,3.0,5.0,3.0,8.0,1.0,0.0,6.0,4.0,3.0
MG,ALÉM PARAÍBA,12.0,7.0,16.0,16.0,32.0,39.0,10.0,7.0,15.0,10.0,4.0
MG,AMPARO DO SERRA,0.0,2.0,4.0,13.0,25.0,6.0,0.0,0.0,0.0,1.0,5.0
MG,ANDRADAS,1.0,4.0,1.0,14.0,5.0,3.0,1.0,2.0,0.0,20.0,30.0
MG,ANDRELÂNDIA,1.0,4.0,0.0,0.0,0.0,1.0,31.0,91.0,60.0,28.0,12.0
MG,ANGELÂNDIA,2.0,0.0,1.0,5.0,2.0,1.0,1.0,3.0,8.0,12.0,39.0
MG,ANTÔNIO CARLOS,0.0,2.0,15.0,24.0,19.0,25.0,11.0,12.0,4.0,11.0,34.0
MG,ANTÔNIO DIAS,0.0,0.0,20.0,28.0,25.0,9.0,34.0,2.0,2.0,2.0,2.0
MG,ANTÔNIO PRADO DE MINAS,0.0,7.0,8.0,1.0,2.0,1.0,3.0,0.0,1.0,2.0,2.0
MG,ARACITABA,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MG,ARAGUARI,0.0,2.0,68.0,139.0,83.0,79.0,43.0,30.0,12.0,33.0,65.0
MG,ARANTINA,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
MG,ARAPONGA,1.0,6.0,20.0,13.0,17.0,7.0,1.0,0.0,0.0,2.0,11.0
MG,ARAPORÃ,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0
MG,ARAPUÁ,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
MG,ARAXÁ,5.0,4.0,20.0,17.0,114.0,0.0,3.0,0.0,2.0,32.0,18.0
MG,ARAÇUAÍ,0.0,0.0,0.0,21.0,23.0,53.0,71.0,115.0,95.0,85.0,73.0
MG,ARAÚJOS,0.0,0.0,4.0,2.0,2.0,2.0,0.0,2.0,10.0,5.0,10.0
MG,ARCEBURGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,2.0
MG,ARCOS,0.0,55.0,171.0,133.0,103.0,97.0,19.0,11.0,1.0,34.0,111.0
MG,AREADO,0.0,4.0,3.0,5.0,3.0,2.0,0.0,1.0,0.0,0.0,2.0
MG,ARGIRITA,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MG,ARICANDUVA,0.0,4.0,2.0,0.0,2.0,34.0,8.0,21.0,4.0,1.0,6.0
MG,ARINOS,0.0,0.0,0.0,11.0,2.0,12.0,1.0,4.0,6.0,18.0,22.0
MG,ASTOLFO DUTRA,0.0,2.0,6.0,52.0,17.0,25.0,1.0,3.0,7.0,12.0,5.0
MG,ATALÉIA,3.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
MG,AUGUSTO DE LIMA,0.0,0.0,1.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0
MG,AÇUCENA,0.0,0.0,4.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0
MG,BAEPENDI,3.0,0.0,18.0,16.0,11.0,18.0,14.0,11.0,3.0,3.0,0.0
MG,BALDIM,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
MG,BAMBUÍ,29.0,25.0,8.0,22.0,70.0,96.0,33.0,5.0,6.0,22.0,31.0
MG,BANDEIRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
MG,BARBACENA,0.0,103.0,140.0,173.0,165.0,286.0,198.0,143.0,258.0,263.0,159.0
MG,BARRA LONGA,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
MG,BARROSO,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,13.0
MG,BARÃO DE COCAIS,5.0,36.0,157.0,146.0,108.0,116.0,131.0,151.0,34.0,89.0,82.0
MG,BARÃO DE MONTE ALTO,0.0,0.0,6.0,41.0,21.0,33.0,24.0,30.0,25.0,3.0,11.0
MG,BELA VISTA DE MINAS,0.0,0.0,1.0,0.0,3.0,8.0,2.0,0.0,4.0,19.0,22.0
MG,BELMIRO BRAGA,0.0,0.0,12.0,5.0,27.0,12.0,0.0,5.0,9.0,2.0,6.0
MG,BELO HORIZONTE,0.0,288.0,3639.0,4652.0,4929.0,5050.0,3149.0,3542.0,4459.0,4686.0,1982.0
MG,BELO ORIENTE,14.0,0.0,32.0,21.0,50.0,99.0,12.0,1.0,0.0,10.0,16.0
MG,BELO VALE,0.0,3.0,0.0,3.0,1.0,140.0,77.0,7.0,0.0,53.0,70.0
MG,BERILO,0.0,0.0,3.0,1.0,0.0,18.0,19.0,9.0,0.0,8.0,13.0
MG,BERIZAL,0.0,1.0,18.0,4.0,13.0,15.0,4.0,5.0,13.0,19.0,7.0
MG,BERTÓPOLIS,0.0,3.0,14.0,70.0,52.0,44.0,40.0,31.0,1.0,5.0,0.0
MG,BETIM,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0
MG,BIAS FORTES,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
MG,BICAS,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0
MG,BOA ESPERANÇA,5.0,50.0,53.0,38.0,30.0,9.0,16.0,20.0,16.0,26.0,11.0
