UF,Municipio,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
MS,ALCINÓPOLIS,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,AMAMBAI,0.0,2.0,11.0,9.0,11.0,1.0,0.0,0.0,0.0,1.0,0.0
MS,ANASTÁCIO,0.0,3.0,11.0,6.0,0.0,1.0,2.0,4.0,4.0,7.0,13.0
MS,ANAURILÂNDIA,0.0,0.0,0.0,2429.6679999999997,755.261,0.0,0.0,0.0,0.0,0.0,0.0
MS,ANGÉLICA,0.0,0.0,0.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0
MS,ANTÔNIO JOÃO,0.0,26.0,3.0,25.0,24.0,35.0,37.0,8.0,6.0,12.0,9.0
MS,APARECIDA DO TABOADO,0.0,1.0,11.0,21.0,33.0,36.0,52.0,146.0,35.0,11.0,70.0
MS,AQUIDAUANA,0.0,0.0,9.0,75.0,51.0,90.0,45.0,56.0,74.0,143.0,111.0
MS,ARAL MOREIRA,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0
MS,BANDEIRANTES,1.0,0.0,1.0,2.0,35.0,70.0,0.0,0.0,0.0,0.0,0.0
MS,BATAGUASSU,0.0,1.0,14.0,2.0,23.0,14.0,7.0,3.0,4.0,1.0,2.0
MS,BATAYPORÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
MS,BELA VISTA,0.0,1.0,185.0,32.0,53.0,27.0,32.0,39.0,31.0,11.0,22.0
MS,BODOQUENA,0.0,1.0,1.0,33.0,14.0,2.0,1.0,4.0,2.0,0.0,1.0
MS,BONITO,0.0,0.0,0.0,2.0,8.0,24.0,0.0,0.0,0.0,1.0,19.0
MS,BRASILÂNDIA,0.0,1038.0,6406.75,5050.148999999999,2.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,CAARAPÓ,16.0,22.0,103.0,21.0,32.0,27.0,38.0,67.0,75.0,77.0,52.0
MS,CAMAPUÃ,11.0,17.0,10.0,15.0,23.0,19.0,21.0,35.0,37.0,39.0,12.0
MS,CAMPO GRANDE,355.0,505.0,521.0,524.0,763.0,503.0,86.0,12.0,5.0,168.0,405.0
MS,CARACOL,8.0,0.0,2.0,0.0,4.0,15.0,0.0,0.0,0.0,3.0,1.0
MS,CASSILÂNDIA,0.0,4.0,97.0,251.0,104.0,102.0,38.0,47.0,29.0,28.0,21.0
MS,CHAPADÃO DO SUL,0.0,0.0,0.0,1.0,0.0,20.0,3.0,3.0,8.0,4.0,0.0
MS,CORGUINHO,2.0,1.0,0.0,0.0,19.0,3.0,1.0,0.0,0.0,0.0,0.0
MS,CORONEL SAPUCAIA,0.0,2.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0
MS,CORUMBÁ,0.0,45.0,41.0,15.0,31.0,44.0,22.0,52.0,17.0,29.0,15.0
MS,COSTA RICA,0.0,0.0,1.0,4.0,67.0,48.0,7.0,34.0,4.0,17.0,2.0
MS,COXIM,0.0,2.0,44.0,84.0,72.0,70.0,27.0,71.0,31.0,113.0,84.0
MS,DEODÁPOLIS,0.0,2662.0,6605.329,3527.428,1.0,2.0,10.0,8.0,1.0,5.0,3.0
MS,DOIS IRMÃOS DO BURITI,1.0,1.0,2.0,7.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0
MS,DOURADINA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0
MS,DOURADOS,35.0,37.0,63.0,60.0,17.0,8.0,6.0,1.0,0.0,96.0,137.0
MS,FÁTIMA DO SUL,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
MS,GLÓRIA DE DOURADOS,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
MS,GUIA LOPES DA LAGUNA,0.0,0.0,1.0,12.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0
MS,IGUATEMI,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
MS,ITAPORÃ,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0
MS,ITAQUIRAÍ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
MS,IVINHEMA,1.0,7.0,2.0,1.0,1.0,1.0,2.0,202.0,347.0,95.0,0.0
MS,JAPORÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MS,JARDIM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0
MS,JATEÍ,0.0,0.0,0.0,3177.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0
MS,LADÁRIO,0.0,3.0,35.0,38.0,44.0,27.0,43.0,59.0,13.0,7.0,21.0
MS,MARACAJU,0.0,2.0,5.0,3.0,1.0,15.0,13.0,0.0,7.0,8.0,19.0
MS,MIRANDA,1.0,0.0,3.0,5.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0
MS,MUNDO NOVO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
MS,NAVIRAÍ,0.0,1.0,5.0,15.0,37.0,59.0,22.0,11.0,31.0,64.0,126.0
MS,NIOAQUE,0.0,7.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0
MS,NOVA ALVORADA DO SUL,0.0,0.0,4.0,2.0,0.0,37.0,0.0,4.0,0.0,1.0,3.0
MS,NOVA ANDRADINA,9.0,7.0,16.0,6.0,4.0,3.0,1.0,1.0,0.0,37.0,60.0
MS,PARANAÍBA,0.0,1.0,17.0,0.0,8.0,23.0,4.0,5.0,29.0,25.0,24.0
MS,PARANHOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MS,PARAÍSO DAS ÁGUAS,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
MS,PEDRO GOMES,0.0,0.0,1.0,0.0,11.0,3.0,1.0,4.0,0.0,9.0,7.0
MS,PONTA PORÃ,0.0,128.0,503.0,950.0,1423.0,407.0,587.0,118.0,1233.0,1804.0,207.0
MS,PORTO MURTINHO,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0
MS,RIBAS DO RIO PARDO,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
MS,RIO BRILHANTE,0.0,3.0,0.0,4.0,22.0,7.0,2.0,4.0,1.0,0.0,6.0
MS,RIO VERDE DE MATO GROSSO,0.0,0.0,2.0,1.0,29.0,44.0,74.0,79.0,65.0,30.0,34.0
MS,ROCHEDO,2.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MS,SANTA RITA DO PARDO,0.0,0.0,3.0,13.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0
MS,SELVÍRIA,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0
MS,SETE QUEDAS,1.0,0.0,0.0,12.0,67.0,0.0,1.0,0.0,0.0,1.0,3.0
MS,SIDROLÂNDIA,0.0,0.0,19.0,6.0,10.0,16.0,0.0,0.0,1.0,16.0,26.0
MS,SONORA,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0
MS,SÃO GABRIEL DO OESTE,53.0,95.0,117.0,205.0,177.0,69.0,23.0,32.0,2.0,37.0,87.0
MS,TACURU,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,TAQUARUSSU,2.0,1.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,3.0,0.0
MS,TERENOS,0.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0
MS,TRÊS LAGOAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,232.0
MS,VICENTINA,0.0,3.0,0.0,358.0,313.0,172.0,57.0,2.0,3.0,3.0,2.0
MS,ÁGUA CLARA,0.0,0.0,1.0,3.0,1.0,0.0,3.0,8.0,0.0,11.0,8.0
