UF,Municipio,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
MT,ACORIZAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0
MT,ALTA FLORESTA,0.0,0.0,0.0,6.0,4.0,10.0,11.0,2.0,0.0,37.0,54.0
MT,ALTO ARAGUAIA,0.0,0.0,20.0,6.0,695.0,0.0,0.0,0.0,0.0,5.0,2.0
MT,ALTO BOA VISTA,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
MT,ALTO GARÇAS,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MT,ALTO PARAGUAI,0.0,0.0,4.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0
MT,ALTO TAQUARI,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0
MT,APIACÁS,0.0,0.0,2.0,1.0,0.0,1.0,4.0,1.0,0.0,1.0,1.0
MT,ARAGUAIANA,0.0,0.0,2.0,8.0,4.0,9.0,0.0,0.0,0.0,1.0,1.0
MT,ARAPUTANGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
MT,ARENÁPOLIS,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0
MT,ARIPUANÃ,1.0,4.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,4.0
MT,BARRA DO BUGRES,0.0,0.0,0.0,4.0,0.0,7.0,0.0,2.0,0.0,1.0,18.0
MT,BARRA DO GARÇAS,7.0,2.0,45.0,120.0,232.0,102.0,9.0,0.0,1.0,3.0,22.0
MT,BARÃO DE MELGAÇO,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0
MT,BOM JESUS DO ARAGUAIA,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0
MT,BRASNORTE,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
MT,CAMPINÁPOLIS,0.0,2.0,1.0,6.0,27.0,7.0,3.0,0.0,0.0,1.0,1.0
MT,CAMPO NOVO DO PARECIS,0.0,0.0,4.0,1.0,5.0,0.0,6.0,0.0,14.0,6.0,34.0
MT,CAMPO VERDE,0.0,18.0,124.0,56.0,28.0,26.0,26.0,1.0,0.0,22.0,29.0
MT,CAMPOS DE JÚLIO,0.0,0.0,4.0,11.0,4.0,7.0,11.0,18.0,15.0,2.0,9.0
MT,CANABRAVA DO NORTE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MT,CANARANA,0.0,0.0,7.0,29.0,36.0,5.0,8.0,14.0,22.0,13.0,20.0
MT,CARLINDA,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0
MT,CHAPADA DOS GUIMARÃES,0.0,0.0,13.0,4.0,7.0,2.0,0.0,0.0,0.0,1.0,3.0
MT,CLÁUDIA,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0
MT,COCALINHO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
MT,COLNIZA,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,3.0
MT,COLÍDER,3.0,9.0,61.0,15.0,35.0,55.0,53.0,20.0,51.0,47.0,46.0
MT,COMODORO,0.0,5.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0
MT,CONFRESA,1.0,8.0,30.0,96.0,273.0,138.0,83.0,65.0,95.0,96.0,74.0
MT,CONQUISTA D'OESTE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT,CUIABÁ,0.0,1.0,25.0,61.0,41.0,45.0,9.0,167.0,41.0,177.0,231.0
MT,CURVELÂNDIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MT,CÁCERES,0.0,0.0,5.0,28.0,26.0,33.0,26.0,30.0,15.0,31.0,20.0
MT,DIAMANTINO,0.0,0.0,3.0,190.0,57.0,34.0,67.0,45.0,110.0,96.0,86.0
MT,DOM AQUINO,0.0,0.0,2.0,3.0,8.0,2.0,1.0,3.0,0.0,0.0,2.0
MT,FELIZ NATAL,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MT,GAÚCHA DO NORTE,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0
MT,GENERAL CARNEIRO,0.0,1.0,0.0,3.0,12.0,20.0,10.0,1.0,0.0,1.0,0.0
MT,GLÓRIA D'OESTE,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
MT,GUARANTÃ DO NORTE,0.0,0.0,56.0,68.0,226.0,264.0,142.0,185.0,116.0,98.0,71.0
MT,GUIRATINGA,0.0,0.0,2.0,43.0,38.0,18.0,10.0,8.0,34.0,27.0,4.0
MT,IPIRANGA DO NORTE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
MT,ITANHANGÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
MT,ITIQUIRA,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,30.0,11.0,20.0
MT,JACIARA,0.0,0.0,267.0,313.0,202.0,73.0,17.0,13.0,0.0,15.0,6.0
MT,JANGADA,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0
MT,JAURU,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,6.0
MT,JUARA,0.0,3.0,10.0,43.0,57.0,55.0,10.0,0.0,0.0,62.0,73.0
