UF,Municipio,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
PA,ABAETETUBA,0.0,3.0,13.0,15.0,33.0,138.0,45.0,37.0,121.0,183.0,170.0
PA,ABEL FIGUEIREDO,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
PA,ACARÁ,1.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0
PA,AFUÁ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,24.0
PA,ALENQUER,0.0,2.0,0.0,2.0,42.0,9.0,7.0,90.0,36.0,24.0,87.0
PA,ALMEIRIM,0.0,0.0,0.0,4.0,4.0,1.0,0.0,3.0,7.0,2.0,9.0
PA,ALTAMIRA,58.0,79.0,119.0,259.0,651.0,740.0,383.0,245.0,136.0,139.0,173.0
PA,ANAJÁS,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,5.0,5.0
PA,ANANINDEUA,15.0,78.0,149.0,133.0,138.0,182.0,107.0,307.0,376.0,735.0,383.0
PA,ANAPU,0.0,3.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,10.0,11.0
PA,AUGUSTO CORRÊA,0.0,18.0,11.0,11.0,6.0,5.0,10.0,40.0,8.0,16.0,18.0
PA,AURORA DO PARÁ,4.0,5.0,3.0,14.0,11.0,24.0,28.0,27.0,8.0,38.0,46.0
PA,AVEIRO,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,3.0,17.0
PA,BAGRE,0.0,0.0,4.0,2.0,6.0,2.0,4.0,0.0,0.0,4.0,2.0
PA,BAIÃO,0.0,5.0,1.0,6.0,0.0,3.0,3.0,10.0,9.0,27.0,24.0
PA,BANNACH,0.0,0.0,1.0,0.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0
PA,BARCARENA,0.0,33.0,115.0,115.0,168.0,368.0,174.0,258.0,274.0,307.0,236.0
PA,BELTERRA,0.0,0.0,1.0,0.0,5.0,39.0,4.0,3.0,6.0,25.0,16.0
PA,BELÉM,128.0,123.0,262.0,383.0,762.0,910.0,792.0,842.0,917.0,827.0,887.0
PA,BENEVIDES,12.0,115.0,173.0,286.0,295.0,261.0,125.0,108.0,92.0,78.0,64.0
PA,BOM JESUS DO TOCANTINS,0.0,1.0,0.0,1.0,5.0,2.0,0.0,1.0,0.0,0.0,1.0
PA,BONITO,0.0,12.0,2.0,2.0,1.0,1.0,1.0,16.0,4.0,13.0,2.0
PA,BRAGANÇA,8.0,25.0,61.0,33.0,40.0,73.0,65.0,68.0,15.0,158.0,174.0
PA,BRASIL NOVO,13.0,8.0,10.0,16.0,13.0,38.0,24.0,9.0,35.0,81.0,31.0
PA,BREJO GRANDE DO ARAGUAIA,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,8.0,0.0,2.0
PA,BREU BRANCO,13.0,13.0,11.0,8.0,4.0,10.0,6.0,2.0,11.0,20.0,19.0
PA,BREVES,9.0,2.0,9.0,9.0,4.0,3.0,3.0,17.0,8.0,22.0,34.0
PA,BUJARU,0.0,4.0,4.0,12.0,15.0,47.0,10.0,31.0,62.0,31.0,12.0
PA,CACHOEIRA DO ARARI,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,2.0,1.0
PA,CACHOEIRA DO PIRIÁ,0.0,0.0,2.0,1.0,3.0,5.0,13.0,8.0,25.0,34.0,38.0
PA,CAMETÁ,0.0,0.0,34.0,37.0,121.0,209.0,128.0,104.0,73.0,134.0,114.0
PA,CANAÃ DOS CARAJÁS,4.0,32.0,16.0,16.0,3.0,2.0,0.0,0.0,2.0,21.0,32.0
PA,CAPANEMA,0.0,110.0,25.0,62.0,51.0,65.0,55.0,9.0,1.0,25.0,16.0
PA,CAPITÃO POÇO,6.0,1.0,0.0,5.0,2.0,0.0,10.0,9.0,13.0,2.0,1.0
PA,CASTANHAL,68.0,75.0,175.0,339.0,702.0,895.0,484.0,399.0,364.0,397.0,465.0
PA,CHAVES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0
PA,COLARES,0.0,1.0,0.0,0.0,2.0,20.0,2.0,1.0,2.0,0.0,1.0
PA,CONCEIÇÃO DO ARAGUAIA,0.0,10.0,56.0,83.0,73.0,65.0,38.0,5.0,17.0,28.0,74.0
PA,CONCÓRDIA DO PARÁ,0.0,1.0,3.0,9.0,11.0,3.0,10.0,2.0,4.0,38.0,55.0
PA,CUMARU DO NORTE,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,2.0
PA,CURIONÓPOLIS,0.0,0.0,1.0,3.0,23.0,0.0,4.0,4.0,4.0,5.0,19.0
PA,CURRALINHO,0.0,5.0,2.0,2.0,2.0,20.0,57.0,78.0,65.0,36.0,47.0
PA,CURUÁ,0.0,0.0,2.0,0.0,0.0,4.0,3.0,1.0,3.0,1.0,30.0
PA,CURUÇÁ,2.0,20.0,41.0,90.0,28.0,20.0,9.0,9.0,9.0,40.0,37.0
PA,DOM ELISEU,48.0,23.0,36.0,28.0,48.0,21.0,54.0,3.0,2.0,3.0,1.0
PA,ELDORADO DOS CARAJÁS,1.0,5.0,5.0,2.0,5.0,6.0,10.0,2.0,27.0,8.0,11.0
PA,FARO,0.0,0.0,0.0,0.0,0.0,9.0,0.0,5.0,0.0,1.0,1.0
PA,FLORESTA DO ARAGUAIA,0.0,1.0,5.0,8.0,17.0,15.0,27.0,12.0,0.0,10.0,31.0
PA,GARRAFÃO DO NORTE,0.0,1.0,0.0,5.0,5.0,5.0,8.0,1.0,1.0,2.0,2.0
PA,GOIANÉSIA DO PARÁ,0.0,0.0,16.0,2.0,5.0,4.0,0.0,1.0,0.0,12.0,6.0
PA,GURUPÁ,0.0,0.0,0.0,0.0,0.0,0.0,3.0,46.0,3.0,95.0,28.0
PA,IGARAPÉ-AÇU,2.0,22.0,13.0,34.0,48.0,163.0,70.0,122.0,73.0,108.0,129.0
PA,IGARAPÉ-MIRI,0.0,3.0,3.0,11.0,23.0,20.0,62.0,47.0,27.0,45.0,50.0
PA,INHANGAPI,1.0,6.0,0.0,8.0,8.0,3.0,2.0,3.0,3.0,11.0,3.0
PA,IPIXUNA DO PARÁ,0.0,1.0,5.0,13.0,8.0,20.0,25.0,13.0,12.0,3.0,69.0
PA,IRITUIA,0.0,1.0,1.0,6.0,13.0,43.0,73.0,72.0,65.0,63.0,68.0
PA,ITAITUBA,1.0,42.0,27.0,49.0,241.0,264.0,155.0,214.0,137.0,189.0,275.0
PA,ITUPIRANGA,88.0,36.0,13.0,32.0,9.0,47.0,45.0,40.0,22.0,29.0,32.0
