UF,Municipio,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
PB,AGUIAR,2.0,1.0,1.0,5.0,10.0,35.0,8.0,4.0,0.0,2.0,2.0
PB,ALAGOA GRANDE,10.0,65.0,92.0,81.0,124.0,99.0,79.0,114.0,130.0,167.0,31.0
PB,ALAGOA NOVA,0.0,1.0,2.0,4.0,4.0,3.0,4.0,5.0,2.0,0.0,1.0
PB,ALAGOINHA,4.0,77.0,816.0,749.0,373.0,123.0,90.0,9.0,167.0,119.0,16.0
PB,ALCANTIL,8.0,6.0,4.0,12.0,27.0,43.0,3.0,2.0,10.0,19.0,1.0
PB,ALGODÃO DE JANDAÍRA,1.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,9.0,11.0
PB,ALHANDRA,0.0,22.0,6.0,46.0,91.0,53.0,35.0,41.0,0.0,16.0,11.0
PB,AMPARO,0.0,0.0,0.0,4.0,6.0,14.0,2.0,6.0,4.0,5.0,1.0
PB,APARECIDA,7.0,0.0,2.0,7.0,2.0,0.0,0.0,2.0,0.0,1.0,3.0
PB,ARARA,10.0,0.0,1.0,13.0,0.0,2.0,3.0,2.0,0.0,1.0,2.0
PB,ARARUNA,4.0,4.0,27.0,103.0,98.0,35.0,36.0,0.0,4.0,3.0,4.0
PB,ARAÇAGI,22.0,55.0,55.0,59.0,24.0,25.0,19.0,18.0,23.0,16.0,6.0
PB,AREIA,1.0,0.0,1.0,20.0,5.0,52.0,17.0,2.0,0.0,36.0,34.0
PB,AREIA DE BARAÚNAS,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,AREIAL,0.0,3.0,1.0,24.0,27.0,0.0,0.0,1.0,0.0,2.0,1.0
PB,AROEIRAS,0.0,27.0,24.0,49.0,39.0,96.0,85.0,46.0,29.0,31.0,36.0
PB,ASSUNÇÃO,0.0,4.0,1.0,8.0,7.0,15.0,2.0,0.0,0.0,2.0,5.0
PB,BANANEIRAS,19.0,31.0,17.0,158.0,17.0,27.0,41.0,58.0,5.0,4.0,2.0
PB,BARAÚNA,13.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,BARRA DE SANTA ROSA,18.0,22.0,23.0,48.0,41.0,22.0,28.0,30.0,9.0,27.0,14.0
PB,BARRA DE SANTANA,0.0,0.0,16.0,27.0,57.0,28.0,26.0,53.0,14.0,2.0,8.0
PB,BARRA DE SÃO MIGUEL,0.0,3.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PB,BAYEUX,0.0,93.0,46.0,76.0,73.0,30.0,27.0,34.0,17.0,35.0,19.0
PB,BAÍA DA TRAIÇÃO,0.0,1.0,17.0,14.0,28.0,9.0,12.0,0.0,6.0,4.0,0.0
PB,BELÉM,7.0,35.0,18.0,15.0,12.0,10.0,0.0,3.0,5.0,13.0,11.0
PB,BELÉM DO BREJO DO CRUZ,0.0,21.0,15.0,7.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0
PB,BERNARDINO BATISTA,26.0,98.0,67.0,98.0,175.0,95.0,0.0,0.0,0.0,6.0,12.0
PB,BOA VENTURA,20.0,13.0,23.0,66.0,23.0,38.0,36.0,2.0,0.0,0.0,5.0
PB,BOA VISTA,0.0,2.0,2.0,4.0,13.0,7.0,0.0,0.0,0.0,1.0,0.0
PB,BOM JESUS,0.0,12.0,3.0,1.0,20.0,17.0,1.0,0.0,2.0,1.0,1.0
PB,BOM SUCESSO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PB,BONITO DE SANTA FÉ,2.0,6.0,1.0,1.0,0.0,7.0,4.0,3.0,0.0,11.0,3.0
PB,BOQUEIRÃO,21.0,20.0,35.0,63.0,45.0,47.0,8.0,0.0,1.0,16.0,3.0
PB,BORBOREMA,1.0,0.0,4.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
PB,BREJO DO CRUZ,0.0,1.0,20.0,64.0,26.0,2.0,1.0,0.0,1.0,2.0,3.0
