UF,Municipio,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
PE,ABREU E LIMA,7.0,44.0,89.0,99.0,159.0,112.0,91.0,130.0,131.0,119.0,76.0
PE,AFOGADOS DA INGAZEIRA,0.0,21.0,66.0,59.0,86.0,115.0,14.0,121.0,192.0,286.0,217.0
PE,AFRÂNIO,0.0,6.0,11.0,57.0,4.0,26.0,2.0,2.0,0.0,1.0,6.0
PE,AGRESTINA,0.0,12.0,14.0,19.0,27.0,33.0,9.0,5.0,6.0,7.0,7.0
PE,ALAGOINHA,0.0,0.0,1.0,1.0,12.0,4.0,3.0,0.0,1.0,2.0,14.0
PE,ALIANÇA,0.0,4.0,9.0,42.0,48.0,36.0,17.0,10.0,2.0,7.0,5.0
PE,ALTINHO,0.0,0.0,0.0,7.0,9.0,6.0,4.0,6.0,0.0,8.0,7.0
PE,AMARAJI,0.0,3.0,4.0,16.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0
PE,ANGELIM,0.0,0.0,8.0,12.0,9.0,8.0,16.0,35.0,8.0,4.0,7.0
PE,ARARIPINA,4.0,1.0,37.0,110.0,106.0,105.0,1.0,2.0,0.0,63.0,222.0
PE,ARAÇOIABA,0.0,5.0,59.0,35.0,40.0,76.0,39.0,3.0,16.0,87.0,21.0
PE,ARCOVERDE,320.0,85.0,98.0,92.0,132.0,69.0,30.0,1.0,0.0,94.0,129.0
PE,BARRA DE GUABIRABA,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0
PE,BARREIROS,3.0,26.0,16.0,18.0,17.0,15.0,1.0,13.0,17.0,24.0,11.0
PE,BELO JARDIM,0.0,7.0,114.0,71.0,16.0,33.0,52.0,80.0,11.0,99.0,85.0
PE,BELÉM DE MARIA,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
PE,BELÉM DO SÃO FRANCISCO,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PE,BETÂNIA,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,3.0
PE,BEZERROS,0.0,22.0,59.0,52.0,80.0,66.0,60.0,85.0,41.0,31.0,21.0
PE,BODOCÓ,0.0,0.0,2.0,0.0,12.0,19.0,1.0,2.0,0.0,7.0,11.0
PE,BOM CONSELHO,2.0,0.0,10.0,14.0,38.0,6.0,1.0,101.0,97.0,6.0,24.0
PE,BOM JARDIM,0.0,9.0,6.0,110.0,138.0,117.0,31.0,10.0,11.0,2.0,9.0
PE,BONITO,0.0,0.0,5.0,3.0,35.0,16.0,9.0,10.0,0.0,4.0,7.0
PE,BREJINHO,14.0,88.0,84.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PE,BREJO DA MADRE DE DEUS,0.0,1.0,5.0,0.0,7.0,4.0,9.0,0.0,3.0,4.0,5.0
PE,BREJÃO,4.0,2.0,2.0,7.0,40.0,5.0,0.0,0.0,0.0,9.0,11.0
PE,BUENOS AIRES,0.0,1.0,4.0,101.0,7.0,7.0,7.0,7.0,2.0,8.0,3.0
PE,BUÍQUE,0.0,9.0,50.0,42.0,30.0,23.0,26.0,3.0,0.0,16.0,62.0
PE,CABO DE SANTO AGOSTINHO,0.0,0.0,5.0,129.0,108.0,167.0,68.0,69.0,57.0,42.0,15.0
PE,CABROBÓ,0.0,9.0,21.0,44.0,53.0,169.0,20.0,6.0,3.0,12.0,17.0
PE,CACHOEIRINHA,0.0,4.0,1.0,3.0,11.0,0.0,1.0,5.0,0.0,0.0,0.0
PE,CAETÉS,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,15.0,16.0
PE,CALUMBI,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
PE,CALÇADO,0.0,0.0,20.0,2.0,7.0,18.0,11.0,5.0,2.0,1.0,1.0
PE,CAMARAGIBE,0.0,66.0,149.0,223.0,275.0,230.0,147.0,192.0,205.0,188.0,124.0
PE,CAMOCIM DE SÃO FÉLIX,0.0,0.0,0.0,11.0,5.0,9.0,3.0,0.0,1.0,0.0,0.0
PE,CAMUTANGA,0.0,2.0,3.0,5.0,7.0,4.0,7.0,4.0,3.0,2.0,2.0
PE,CANHOTINHO,0.0,4.0,5.0,15.0,6.0,2.0,5.0,21.0,7.0,12.0,9.0
PE,CAPOEIRAS,0.0,7.0,23.0,28.0,16.0,12.0,9.0,5.0,0.0,3.0,2.0
PE,CARNAUBEIRA DA PENHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,0.0,0.0
PE,CARNAÍBA,0.0,0.0,1.0,9.0,39.0,15.0,52.0,23.0,6.0,16.0,29.0
PE,CARPINA,0.0,2.0,85.0,71.0,112.0,100.0,106.0,114.0,45.0,20.0,18.0
PE,CARUARU,10.0,22.0,70.0,141.0,292.0,260.0,42.0,57.0,64.0,138.0,159.0
PE,CASINHAS,2.0,0.0,2.0,3.0,7.0,2.0,23.0,33.0,0.0,1.0,4.0
PE,CATENDE,0.0,30.0,199.0,252.0,132.0,95.0,68.0,98.0,79.0,32.0,41.0
PE,CEDRO,0.0,0.0,14.0,41.0,20.0,4.0,0.0,0.0,0.0,2.0,1.0
PE,CHÃ DE ALEGRIA,0.0,0.0,2.0,3.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0
PE,CHÃ GRANDE,0.0,0.0,14.0,8.0,12.0,52.0,5.0,5.0,9.0,7.0,8.0
PE,CONDADO,0.0,0.0,7.0,8.0,8.0,5.0,4.0,0.0,2.0,2.0,1.0
PE,CORRENTES,0.0,0.0,0.0,1.0,3.0,8.0,7.0,0.0,3.0,3.0,2.0
PE,CORTÊS,10.0,4.0,9.0,6.0,6.0,1.0,3.0,3.0,1.0,2.0,0.0
PE,CUMARU,0.0,0.0,0.0,4.0,1.0,3.0,4.0,0.0,1.0,2.0,5.0
PE,CUPIRA,13.0,16.0,81.0,46.0,20.0,78.0,75.0,78.0,24.0,10.0,4.0
PE,CUSTÓDIA,0.0,12.0,0.0,25.0,35.0,24.0,18.0,13.0,26.0,8.0,26.0
PE,DORMENTES,0.0,4.0,4.0,9.0,8.0,6.0,12.0,7.0,0.0,6.0,9.0
PE,ESCADA,0.0,3.0,7.0,8.0,13.0,5.0,0.0,8.0,25.0,15.0,10.0
PE,EXU,0.0,0.0,12.0,27.0,13.0,38.0,10.0,2.0,1.0,3.0,2.0
PE,FEIRA NOVA,1.0,0.0,37.0,29.0,48.0,50.0,38.0,30.0,22.0,52.0,46.0
PE,FERNANDO DE NORONHA,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
PE,FERREIROS,0.0,5.0,3.0,6.0,14.0,4.0,2.0,2.0,0.0,0.0,1.0
PE,FLORES,0.0,2.0,14.0,3.0,85.0,15.0,18.0,1.0,0.0,2.0,4.0
PE,FLORESTA,0.0,6.0,13.0,2.0,3.0,13.0,10.0,8.0,14.0,32.0,9.0
PE,FREI MIGUELINHO,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
PE,GAMELEIRA,0.0,0.0,5.0,26.0,52.0,35.0,36.0,22.0,6.0,7.0,10.0
PE,GARANHUNS,35.0,21.0,249.0,199.0,234.0,334.0,114.0,203.0,227.0,210.0,335.0
PE,GLÓRIA DO GOITÁ,0.0,6.0,0.0,13.0,47.0,36.0,17.0,7.0,7.0,4.0,7.0
PE,GOIANA,0.0,22.0,48.0,44.0,93.0,138.0,88.0,6.0,4.0,15.0,15.0
PE,GRANITO,0.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PE,GRAVATÁ,0.0,7.0,16.0,16.0,54.0,168.0,39.0,126.0,157.0,120.0,62.0
PE,IATI,0.0,0.0,0.0,24.0,40.0,3.0,1.0,0.0,0.0,1.0,1.0
PE,IBIMIRIM,59.0,48.0,38.0,63.0,55.0,65.0,50.0,99.0,87.0,27.0,48.0
PE,IBIRAJUBA,0.0,1.0,5.0,2.0,5.0,8.0,0.0,2.0,1.0,0.0,0.0
PE,IGARASSU,7.0,59.0,131.0,113.0,101.0,98.0,43.0,102.0,33.0,20.0,12.0
PE,IGUARACY,0.0,0.0,2.0,5.0,6.0,1.0,3.0,0.0,0.0,5.0,14.0
PE,ILHA DE ITAMARACÁ,23.0,25.0,26.0,43.0,44.0,25.0,22.0,10.0,15.0,17.0,5.0
PE,INAJÁ,0.0,0.0,0.0,6.0,15.0,144.0,82.0,67.0,7.0,28.0,10.0
PE,INGAZEIRA,1.0,0.0,3.0,0.0,1.0,1.0,2.0,0.0,2.0,6.0,3.0
PE,IPOJUCA,1.0,17.0,143.0,106.0,140.0,76.0,23.0,33.0,47.0,57.0,43.0
PE,IPUBI,0.0,0.0,17.0,20.0,72.0,28.0,4.0,28.0,10.0,14.0,10.0
PE,ITAMBÉ,0.0,29.0,32.0,74.0,96.0,58.0,9.0,2.0,2.0,0.0,7.0
PE,ITAPETIM,0.0,0.0,1.0,14.0,3.0,1.0,1.0,69.0,46.0,28.0,21.0
PE,ITAPISSUMA,0.0,0.0,83.0,199.0,331.0,97.0,30.0,13.0,21.0,18.0,9.0
PE,ITAQUITINGA,0.0,0.0,6.0,22.0,7.0,9.0,4.0,0.0,0.0,2.0,12.0
PE,ITAÍBA,0.0,0.0,3.0,6.0,0.0,1.0,1.0,0.0,0.0,2.0,17.0
PE,JABOATÃO DOS GUARARAPES,0.0,15.0,116.0,201.0,475.0,410.0,148.0,113.0,164.0,123.0,165.0
PE,JAQUEIRA,0.0,2.0,13.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0
PE,JATAÚBA,0.0,0.0,0.0,0.0,0.0,2.0,8.0,14.0,31.0,41.0,48.0
PE,JATOBÁ,0.0,3.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0
PE,JOAQUIM NABUCO,0.0,4.0,10.0,5.0,0.0,6.0,14.0,15.0,10.0,7.0,0.0
PE,JOÃO ALFREDO,0.0,35.0,14.0,33.0,22.0,10.0,9.0,3.0,6.0,4.0,7.0
PE,JUCATI,0.0,0.0,5.0,2.0,13.0,9.0,3.0,5.0,2.0,2.0,1.0
PE,JUPI,0.0,1.0,0.0,14.0,5.0,2.0,4.0,3.0,0.0,3.0,8.0
PE,JUREMA,0.0,2.0,2.0,3.0,1.0,4.0,8.0,39.0,33.0,41.0,36.0
PE,LAGOA DE ITAENGA,0.0,1.0,28.0,82.0,150.0,66.0,68.0,23.0,13.0,3.0,0.0
PE,LAGOA DO CARRO,0.0,10.0,13.0,94.0,48.0,35.0,5.0,3.0,7.0,16.0,12.0
PE,LAGOA DO OURO,0.0,0.0,45.0,103.0,91.0,77.0,12.0,64.0,59.0,39.0,43.0
PE,LAGOA DOS GATOS,0.0,6.0,3.0,0.0,3.0,4.0,2.0,13.0,20.0,10.0,1.0
PE,LAGOA GRANDE,0.0,0.0,25.0,61.0,87.0,117.0,54.0,41.0,7.0,27.0,31.0
PE,LAJEDO,2.0,20.0,53.0,37.0,54.0,9.0,5.0,4.0,0.0,49.0,55.0
PE,LIMOEIRO,18.0,17.0,17.0,71.0,43.0,31.0,22.0,5.0,4.0,19.0,21.0
PE,MACAPARANA,0.0,1.0,6.0,2.0,11.0,7.0,1.0,0.0,0.0,0.0,11.0
PE,MACHADOS,2.0,1.0,8.0,11.0,12.0,17.0,6.0,1.0,0.0,0.0,0.0
PE,MANARI,0.0,2.0,17.0,16.0,75.0,39.0,8.0,0.0,0.0,0.0,2.0
PE,MARAIAL,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0
PE,MIRANDIBA,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,2.0
PE,MOREILÂNDIA,0.0,0.0,6.0,3.0,7.0,17.0,5.0,0.0,0.0,3.0,0.0
PE,MORENO,6.0,20.0,60.0,86.0,72.0,88.0,43.0,45.0,31.0,69.0,91.0
PE,NAZARÉ DA MATA,0.0,8.0,9.0,5.0,29.0,17.0,21.0,45.0,29.0,25.0,41.0
PE,OLINDA,0.0,219.0,439.0,321.0,351.0,314.0,76.0,11.0,11.0,86.0,197.0
PE,OROBÓ,0.0,4.0,9.0,10.0,12.0,0.0,1.0,0.0,0.0,2.0,3.0
PE,OROCÓ,0.0,0.0,42.0,5.0,19.0,13.0,2.0,11.0,1.0,8.0,1.0
PE,OURICURI,0.0,8.0,6.0,50.0,28.0,165.0,13.0,1.0,1.0,10.0,6.0
PE,PALMARES,0.0,23.0,12.0,47.0,51.0,52.0,22.0,18.0,11.0,14.0,8.0
PE,PALMEIRINA,0.0,0.0,20.0,8.0,6.0,10.0,3.0,14.0,8.0,8.0,7.0
PE,PANELAS,0.0,118.0,4.0,3.0,8.0,7.0,12.0,16.0,24.0,15.0,21.0
PE,PARANATAMA,2.0,2.0,13.0,10.0,18.0,10.0,1.0,3.0,3.0,16.0,10.0
PE,PARNAMIRIM,0.0,2.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
PE,PASSIRA,0.0,6.0,1.0,8.0,10.0,4.0,13.0,24.0,9.0,20.0,13.0
PE,PAUDALHO,3.0,55.0,14.0,94.0,182.0,482.0,37.0,5.0,1.0,23.0,32.0
PE,PAULISTA,0.0,37.0,76.0,42.0,32.0,49.0,23.0,131.0,124.0,125.0,122.0
PE,PEDRA,19.0,60.0,46.0,44.0,45.0,77.0,18.0,132.0,54.0,18.0,25.0
PE,PESQUEIRA,0.0,0.0,12.0,24.0,132.0,55.0,5.0,16.0,2.0,12.0,27.0
PE,PETROLINA,5.0,19.0,354.0,190.0,294.0,369.0,210.0,185.0,97.0,162.0,200.0
PE,PETROLÂNDIA,2.0,7.0,1.0,3.0,10.0,3.0,9.0,4.0,4.0,4.0,14.0
PE,POMBOS,0.0,0.0,2.0,3.0,24.0,13.0,11.0,0.0,0.0,0.0,5.0
PE,POÇÃO,0.0,0.0,7.0,14.0,22.0,44.0,70.0,16.0,1.0,12.0,30.0
PE,PRIMAVERA,10.0,3.0,2.0,5.0,6.0,4.0,0.0,2.0,0.0,9.0,35.0
PE,QUIPAPÁ,0.0,0.0,2.0,0.0,0.0,10.0,2.0,14.0,4.0,9.0,13.0
PE,QUIXABA,0.0,0.0,0.0,0.0,0.0,22.0,2.0,1.0,0.0,3.0,1.0
PE,RECIFE,0.0,394.0,613.0,757.0,1184.0,1196.0,318.0,203.0,142.0,580.0,1094.0
PE,RIACHO DAS ALMAS,0.0,1.0,4.0,8.0,7.0,2.0,1.0,1.0,0.0,5.0,4.0
PE,RIBEIRÃO,0.0,79.0,57.0,24.0,26.0,19.0,10.0,11.0,26.0,9.0,3.0
PE,RIO FORMOSO,0.0,0.0,1.0,6.0,5.0,4.0,0.0,5.0,10.0,12.0,0.0
PE,SAIRÉ,0.0,3.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0
PE,SALGADINHO,0.0,1.0,3.0,6.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0
PE,SALGUEIRO,0.0,0.0,13.0,9.0,18.0,22.0,0.0,13.0,14.0,12.0,30.0
PE,SALOÁ,2.0,10.0,6.0,56.0,39.0,15.0,10.0,7.0,6.0,5.0,8.0
