UF,Municipio,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
PI,ACAUÃ,0.0,1.0,3.0,17.0,3.0,8.0,0.0,0.0,0.0,0.0,3.0
PI,AGRICOLÂNDIA,0.0,4.0,4.0,1.0,0.0,1.0,7.0,10.0,0.0,0.0,0.0
PI,ALAGOINHA DO PIAUÍ,0.0,0.0,1.0,6.0,6.0,1.0,1.0,1.0,0.0,0.0,1.0
PI,ALEGRETE DO PIAUÍ,0.0,0.0,0.0,5.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0
PI,ALTO LONGÁ,0.0,0.0,15.0,14.0,18.0,7.0,9.0,9.0,1.0,0.0,2.0
PI,ALTOS,0.0,1.0,7.0,36.0,21.0,64.0,123.0,214.0,78.0,54.0,28.0
PI,ALVORADA DO GURGUÉIA,0.0,0.0,18.0,7.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
PI,AMARANTE,0.0,1.0,2.0,31.0,118.0,79.0,119.0,103.0,119.0,84.0,80.0
PI,ANGICAL DO PIAUÍ,0.0,0.0,9.0,34.0,82.0,49.0,66.0,7.0,8.0,16.0,6.0
PI,ANTÔNIO ALMEIDA,0.0,0.0,5.0,10.0,2.0,4.0,8.0,0.0,0.0,1.0,0.0
PI,ANÍSIO DE ABREU,0.0,1.0,75.0,6.0,21.0,3.0,0.0,0.0,6.0,26.0,2.0
PI,AROAZES,0.0,8.0,22.0,35.0,16.0,24.0,4.0,2.0,0.0,0.0,0.0
PI,AROEIRAS DO ITAIM,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
PI,ARRAIAL,0.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
PI,ASSUNÇÃO DO PIAUÍ,0.0,1.0,7.0,8.0,0.0,1.0,13.0,3.0,2.0,0.0,3.0
PI,AVELINO LOPES,0.0,0.0,4.0,3.0,29.0,11.0,1.0,9.0,0.0,0.0,8.0
PI,BAIXA GRANDE DO RIBEIRO,0.0,0.0,3.0,6.0,6.0,15.0,8.0,0.0,0.0,0.0,2.0
PI,BARRA D'ALCÂNTARA,0.0,11.0,8.0,42.0,40.0,132.0,88.0,66.0,10.0,3.0,5.0
PI,BARRAS,0.0,7.0,39.0,84.0,185.0,679.0,558.0,501.0,91.0,140.0,104.0
PI,BARREIRAS DO PIAUÍ,0.0,0.0,0.0,3.0,0.0,26.0,22.0,0.0,1.0,0.0,3.0
PI,BARRO DURO,0.0,0.0,3.0,1.0,2.0,8.0,8.0,0.0,0.0,0.0,1.0
PI,BATALHA,0.0,31.0,30.0,57.0,20.0,61.0,71.0,63.0,2.0,15.0,29.0
PI,BELA VISTA DO PIAUÍ,0.0,0.0,1.0,8.0,1.0,3.0,0.0,7.0,5.0,4.0,6.0
PI,BENEDITINOS,0.0,0.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0
PI,BERTOLÍNIA,0.0,1.0,3.0,4.0,5.0,2.0,0.0,1.0,0.0,1.0,0.0
PI,BETÂNIA DO PIAUÍ,0.0,11.0,19.0,18.0,14.0,15.0,0.0,0.0,0.0,0.0,0.0
PI,BOA HORA,1.0,0.0,22.0,11.0,34.0,16.0,4.0,34.0,26.0,5.0,2.0
PI,BOCAINA,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,2.0
PI,BOM JESUS,75.0,74.0,61.0,49.0,38.0,9.0,13.0,2.0,0.0,56.0,87.0
PI,BOM PRINCÍPIO DO PIAUÍ,0.0,0.0,0.0,1.0,4.0,5.0,2.0,1.0,3.0,5.0,5.0
PI,BONFIM DO PIAUÍ,0.0,2.0,0.0,9.0,13.0,9.0,4.0,6.0,5.0,3.0,9.0
PI,BOQUEIRÃO DO PIAUÍ,0.0,6.0,7.0,19.0,6.0,10.0,29.0,10.0,6.0,0.0,0.0
PI,BRASILEIRA,0.0,0.0,5.0,82.0,39.0,26.0,2.0,1.0,0.0,2.0,0.0
PI,BREJO DO PIAUÍ,0.0,1.0,0.0,2.0,10.0,11.0,0.0,7.0,0.0,1.0,9.0
PI,BURITI DOS LOPES,0.0,0.0,37.0,68.0,135.0,306.0,131.0,76.0,19.0,7.0,34.0
PI,BURITI DOS MONTES,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
PI,CABECEIRAS DO PIAUÍ,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,6.0,6.0,0.0
PI,CAJAZEIRAS DO PIAUÍ,0.0,1.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0
PI,CAJUEIRO DA PRAIA,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0
PI,CALDEIRÃO GRANDE DO PIAUÍ,0.0,1.0,1.0,7.0,7.0,34.0,22.0,29.0,5.0,17.0,31.0
PI,CAMPINAS DO PIAUÍ,0.0,4.0,3.0,8.0,14.0,21.0,23.0,8.0,4.0,9.0,2.0
PI,CAMPO ALEGRE DO FIDALGO,0.0,6.0,6.0,6.0,11.0,6.0,7.0,0.0,0.0,0.0,0.0
