UF,Municipio,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
PR,ABATIÁ,0.0,1.0,54.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0
PR,ADRIANÓPOLIS,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
PR,AGUDOS DO SUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0
PR,ALMIRANTE TAMANDARÉ,0.0,0.0,0.0,19.0,20.0,37.0,20.0,26.0,71.0,103.0,81.0
PR,ALTAMIRA DO PARANÁ,0.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0
PR,ALTO PARANÁ,0.0,1.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
PR,ALTO PIQUIRI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
PR,ALTÔNIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
PR,ALVORADA DO SUL,0.0,5.0,4.0,48.0,19.0,46.0,16.0,9.0,11.0,34.0,5.0
PR,AMAPORÃ,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0
PR,AMPÉRE,0.0,0.0,0.0,2.0,26.0,40.0,89.0,32.0,17.0,15.0,11.0
PR,ANAHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
PR,ANDIRÁ,0.0,0.0,9.0,12.0,97.0,208.0,8.0,9.0,14.0,20.0,36.0
PR,ANTONINA,0.0,10.0,8.0,6.0,9.0,26.0,14.0,40.0,16.0,77.0,47.0
PR,APUCARANA,1.0,95.0,60.0,26.0,57.0,5.0,12.0,26.0,55.0,54.0,27.0
PR,ARAPONGAS,0.0,0.0,0.0,0.0,0.0,11.0,31.0,38.0,26.0,27.0,17.0
PR,ARAPOTI,0.0,0.0,11.0,31.0,26.0,16.0,2.0,17.0,22.0,1.0,0.0
PR,ARAPUÃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
PR,ARARUNA,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PR,ARAUCÁRIA,0.0,71.0,91.0,135.0,181.0,83.0,94.0,111.0,127.0,174.0,165.0
PR,ARIRANHA DO IVAÍ,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PR,ASSAÍ,0.0,5.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
PR,ASTORGA,0.0,11.0,49.0,37.0,46.0,47.0,19.0,58.0,94.0,137.0,63.0
PR,ATALAIA,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
PR,BALSA NOVA,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0
PR,BANDEIRANTES,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PR,BARBOSA FERRAZ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PR,BARRA DO JACARÉ,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
PR,BARRACÃO,0.0,0.0,0.0,19.0,6.0,14.0,3.0,9.0,21.0,7.0,15.0
PR,BELA VISTA DA CAROBA,0.0,3.0,1.0,5.0,0.0,0.0,2.0,1.0,15.0,2.0,0.0
PR,BELA VISTA DO PARAÍSO,0.0,2.0,8.0,15.0,6.0,4.0,2.0,1.0,2.0,22.0,3.0
PR,BOA VENTURA DE SÃO ROQUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0
PR,BOCAIÚVA DO SUL,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0,1.0
PR,BOM JESUS DO SUL,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0
PR,BOM SUCESSO,0.0,2.0,5.0,7.0,2.0,4.0,3.0,9.0,1.0,1.0,5.0
