UF,Municipio,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
RJ,ANGRA DOS REIS,41.0,94.0,85.0,55.0,99.0,142.0,65.0,14.0,4.0,29.0,13.0
RJ,APERIBÉ,0.0,0.0,5.0,7.0,2.0,9.0,2.0,6.0,1.0,0.0,1.0
RJ,ARARUAMA,0.0,0.0,8.0,13.0,13.0,15.0,40.0,45.0,39.0,44.0,54.0
RJ,AREAL,0.0,2.0,7.0,4.0,4.0,5.0,2.0,0.0,2.0,4.0,1.0
RJ,ARMAÇÃO DOS BÚZIOS,0.0,10.0,18.0,0.0,7.0,14.0,4.0,18.0,2.0,3.0,12.0
RJ,ARRAIAL DO CABO,1.0,1.0,5.0,2.0,0.0,0.0,5.0,19.0,81.0,46.0,64.0
RJ,BARRA DO PIRAÍ,0.0,24.0,74.0,45.0,104.0,149.0,81.0,149.0,417.0,187.0,151.0
RJ,BARRA MANSA,0.0,5.0,77.0,189.0,198.0,236.0,87.0,121.0,65.0,115.0,154.0
RJ,BELFORD ROXO,13.0,28.0,42.0,6.0,127.0,293.0,0.0,28.0,30.0,33.0,89.0
RJ,BOM JARDIM,0.0,39.0,39.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0
RJ,BOM JESUS DO ITABAPOANA,0.0,10.0,11.0,44.0,29.0,32.0,12.0,8.0,26.0,12.0,3.0
RJ,CABO FRIO,0.0,4.0,17.0,7.0,37.0,45.0,16.0,44.0,39.0,192.0,232.0
RJ,CACHOEIRAS DE MACACU,0.0,0.0,53.0,135.0,71.0,20.0,12.0,89.0,153.0,148.0,86.0
RJ,CAMBUCI,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0
RJ,CAMPOS DOS GOYTACAZES,0.0,0.0,25.0,35.0,43.0,7.0,3.0,69.0,17.0,9.0,21.0
RJ,CANTAGALO,0.0,29.0,35.0,49.0,2.0,19.0,11.0,0.0,0.0,28.0,16.0
RJ,CARAPEBUS,0.0,0.0,0.0,0.0,17.0,1.0,4.0,5.0,5.0,1.0,5.0
RJ,CARDOSO MOREIRA,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RJ,CARMO,0.0,2.0,23.0,49.0,7.0,0.0,3.0,1.0,8.0,46.0,35.0
RJ,CASIMIRO DE ABREU,0.0,15.0,40.0,65.0,169.0,92.0,74.0,83.0,76.0,100.0,36.0
RJ,COMENDADOR LEVY GASPARIAN,0.0,0.0,32.0,21.0,70.0,179.0,150.0,45.0,20.0,37.0,37.0
RJ,CONCEIÇÃO DE MACABU,3.0,2.0,0.0,0.0,1.0,4.0,1.0,0.0,5.0,7.0,4.0
RJ,CORDEIRO,3.0,2.0,5.0,3.0,0.0,0.0,0.0,3.0,6.0,8.0,36.0
RJ,DUAS BARRAS,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
RJ,DUQUE DE CAXIAS,38.0,118.0,593.0,41.0,29.0,30.0,23.0,46.0,38.0,78.0,57.0
RJ,ENGENHEIRO PAULO DE FRONTIN,0.0,5.0,20.0,12.0,36.0,27.0,21.0,16.0,28.0,70.0,18.0
RJ,GUAPIMIRIM,1.0,29.0,34.0,40.0,76.0,107.0,67.0,62.0,43.0,70.0,74.0
RJ,IGUABA GRANDE,0.0,10.0,22.0,101.0,201.0,229.0,59.0,18.0,11.0,33.0,42.0
RJ,ITABORAÍ,0.0,31.0,34.0,72.0,426.0,715.0,652.0,641.0,239.0,165.0,294.0
