UF,Municipio,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
RN,ACARI,0.0,4.0,5.0,14.0,9.0,38.0,1.0,1.0,0.0,1.0,0.0
RN,AFONSO BEZERRA,0.0,0.0,15.0,44.0,40.0,36.0,2.0,3.0,2.0,2.0,0.0
RN,ALEXANDRIA,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
RN,ALMINO AFONSO,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0
RN,ALTO DO RODRIGUES,0.0,0.0,7.0,25.0,2.0,5.0,6.0,26.0,0.0,0.0,2.0
RN,ANGICOS,57.0,6.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,4.0,0.0
RN,ANTÔNIO MARTINS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
RN,APODI,0.0,0.0,32.0,124.0,162.0,104.0,47.0,34.0,1.0,14.0,17.0
RN,AREIA BRANCA,2.0,5.0,49.0,10.0,21.0,15.0,4.0,22.0,3.0,5.0,5.0
RN,ARÊS,6.0,15.0,6.0,7.0,13.0,0.0,0.0,0.0,0.0,7.0,19.0
RN,AUGUSTO SEVERO,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN,AÇU,26.0,27.0,19.0,40.0,21.0,66.0,30.0,96.0,99.0,30.0,37.0
RN,BARAÚNA,0.0,1.0,20.0,18.0,218.0,374.0,162.0,114.0,116.0,50.0,45.0
RN,BARCELONA,0.0,1.0,1.0,10.0,6.0,0.0,0.0,0.0,1.0,3.0,1.0
RN,BAÍA FORMOSA,0.0,0.0,0.0,1.0,7.0,19.0,0.0,0.0,0.0,6.0,1.0
RN,BENTO FERNANDES,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN,BODÓ,0.0,0.0,3.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0
RN,BOM JESUS,1.0,5.0,1.0,5.0,2.0,2.0,3.0,0.0,0.0,4.0,6.0
RN,BREJINHO,4.0,7.0,1.0,10.0,11.0,2.0,6.0,7.0,0.0,0.0,3.0
RN,CAICÓ,1.0,26.0,27.0,33.0,59.0,40.0,19.0,19.0,69.0,35.0,38.0
RN,CAIÇARA DO NORTE,0.0,0.0,1.0,10.0,12.0,3.0,1.0,13.0,5.0,0.0,3.0
RN,CAIÇARA DO RIO DO VENTO,0.0,8.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0
RN,CAMPO REDONDO,8.0,10.0,8.0,1.0,6.0,6.0,3.0,2.0,3.0,4.0,2.0
RN,CANGUARETAMA,8.0,19.0,24.0,142.0,64.0,71.0,2.0,0.0,0.0,10.0,17.0
RN,CARAÚBAS,0.0,1.0,0.0,66.0,74.0,23.0,3.0,13.0,5.0,16.0,17.0
RN,CARNAUBAIS,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN,CARNAÚBA DOS DANTAS,0.0,0.0,1.0,1.0,4.0,0.0,2.0,0.0,0.0,3.0,5.0
RN,CEARÁ-MIRIM,0.0,0.0,0.0,25.0,27.0,16.0,9.0,13.0,81.0,69.0,15.0
RN,CERRO CORÁ,0.0,8.0,3.0,3.0,3.0,14.0,2.0,11.0,2.0,7.0,1.0
RN,CORONEL EZEQUIEL,0.0,2.0,1.0,4.0,2.0,5.0,0.0,2.0,0.0,0.0,0.0
RN,CORONEL JOÃO PESSOA,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
RN,CRUZETA,1.0,12.0,51.0,33.0,33.0,52.0,43.0,52.0,43.0,2.0,5.0
RN,CURRAIS NOVOS,0.0,17.0,29.0,26.0,23.0,14.0,5.0,3.0,1.0,0.0,11.0
RN,DOUTOR SEVERIANO,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0
RN,ENCANTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
RN,EQUADOR,2.0,3.0,1.0,9.0,6.0,4.0,2.0,0.0,0.0,2.0,4.0
RN,ESPÍRITO SANTO,2.0,1.0,0.0,6.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0
RN,EXTREMOZ,0.0,7.0,2.0,75.0,57.0,36.0,22.0,37.0,12.0,14.0,29.0
RN,FELIPE GUERRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
RN,FERNANDO PEDROZA,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
RN,FLORÂNIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0
RN,FRANCISCO DANTAS,4.0,4.0,11.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0
RN,FRUTUOSO GOMES,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
RN,GALINHOS,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,3.0
RN,GOIANINHA,12.0,4.0,20.0,36.0,82.0,43.0,5.0,0.0,0.0,5.0,12.0
RN,GOVERNADOR DIX-SEPT ROSADO,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
RN,GROSSOS,0.0,1.0,0.0,0.0,0.0,3.0,1.0,8.0,2.0,0.0,0.0
RN,GUAMARÉ,4.0,5.0,6.0,5.0,10.0,3.0,2.0,0.0,0.0,1.0,1.0
RN,IELMO MARINHO,0.0,0.0,4.0,4.0,3.0,5.0,7.0,0.0,0.0,6.0,3.0
RN,IPANGUAÇU,0.0,0.0,1.0,7.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0
RN,IPUEIRA,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
RN,ITAJÁ,1.0,2.0,1.0,10.0,3.0,28.0,0.0,0.0,2.0,0.0,0.0
RN,ITAÚ,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0
RN,JANDAÍRA,0.0,1.0,1.0,80.0,335.0,93.0,32.0,0.0,26.0,6.0,0.0
RN,JANDUÍS,0.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RN,JANUÁRIO CICCO,0.0,1.0,0.0,3.0,9.0,9.0,0.0,1.0,0.0,0.0,2.0
RN,JAPI,2.0,2.0,1.0,29.0,38.0,33.0,7.0,9.0,4.0,17.0,2.0
