UF,Municipio,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
RO,ALTA FLORESTA D'OESTE,0.0,13.0,29.0,43.0,23.0,5.0,2.0,14.0,7.0,26.0,23.0
RO,ALTO ALEGRE DOS PARECIS,0.0,0.0,10.0,7.0,3.0,59.0,33.0,57.0,14.0,3.0,1.0
RO,ALTO PARAÍSO,0.0,1.0,0.0,0.0,2.0,13.0,7.0,0.0,2.0,0.0,1.0
RO,ALVORADA D'OESTE,0.0,0.0,59.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
RO,ARIQUEMES,0.0,10.0,1.0,8.0,17.0,18.0,1.0,2.0,2.0,75.0,150.0
RO,BURITIS,0.0,0.0,210.0,4.0,0.0,8.0,14.0,33.0,76.0,138.0,180.0
RO,CABIXI,0.0,0.0,2.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,2.0
RO,CACAULÂNDIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
RO,CACOAL,0.0,15.0,231.0,240.0,173.0,164.0,43.0,2.0,0.0,50.0,54.0
RO,CAMPO NOVO DE RONDÔNIA,0.0,0.0,0.0,5.0,2.0,8.0,0.0,0.0,0.0,3.0,14.0
RO,CANDEIAS DO JAMARI,0.0,0.0,2.0,11.0,48.0,85.0,16.0,10.0,2.0,6.0,7.0
RO,CASTANHEIRAS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RO,CEREJEIRAS,11.0,10.0,5.0,3.0,4.0,10.0,1.0,1.0,0.0,11.0,7.0
RO,CHUPINGUAIA,0.0,0.0,1.0,0.0,22.0,15.0,1.0,2.0,0.0,5.0,1.0
RO,COLORADO DO OESTE,0.0,1.0,2.0,5.0,2.0,23.0,0.0,0.0,0.0,21.0,11.0
RO,CORUMBIARA,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,6.0
RO,COSTA MARQUES,0.0,0.0,2.0,3.0,3.0,3.0,2.0,0.0,1.0,1.0,16.0
RO,CUJUBIM,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,19.0,8.0
RO,ESPIGÃO D'OESTE,1.0,49.0,280.0,307.0,45.0,5.0,1.0,0.0,0.0,19.0,63.0
RO,GOVERNADOR JORGE TEIXEIRA,0.0,0.0,0.0,0.0,26.0,4.0,0.0,0.0,0.0,3.0,3.0
RO,GUAJARÁ-MIRIM,0.0,63.0,206.0,68.0,220.0,141.0,73.0,48.0,10.0,91.0,151.0
RO,ITAPUÃ DO OESTE,0.0,1.0,0.0,2.0,14.0,8.0,7.0,2.0,0.0,0.0,0.0
RO,JARU,0.0,0.0,10.0,23.0,42.0,14.0,8.0,0.0,4.0,30.0,45.0
RO,JI-PARANÁ,0.0,54.0,210.0,164.0,205.0,123.0,50.0,14.0,15.0,170.0,155.0
RO,MACHADINHO D'OESTE,0.0,0.0,21.0,36.0,88.0,60.0,20.0,5.0,2.0,42.0,27.0
RO,MINISTRO ANDREAZZA,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0
RO,MIRANTE DA SERRA,0.0,0.0,4.0,1.0,0.0,11.0,0.0,1.0,0.0,2.0,1.0
RO,MONTE NEGRO,0.0,10.0,11.0,6.0,6.0,7.0,0.0,8.0,7.0,6.0,1.0
RO,NOVA BRASILÂNDIA D'OESTE,0.0,3.0,79.0,73.0,53.0,36.0,0.0,1.0,0.0,1.0,4.0
RO,NOVA MAMORÉ,0.0,64.0,245.0,88.0,35.0,7.0,8.0,9.0,16.0,5.0,22.0
RO,NOVA UNIÃO,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0
RO,NOVO HORIZONTE DO OESTE,0.0,2.0,0.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
RO,OURO PRETO DO OESTE,0.0,8.0,23.0,7.0,6.0,24.0,123.0,1.0,0.0,26.0,6.0
RO,PARECIS,0.0,0.0,0.0,0.0,0.0,17.0,13.0,11.0,1.0,0.0,0.0
RO,PIMENTA BUENO,0.0,2.0,111.0,70.0,58.0,100.0,30.0,1.0,3.0,19.0,46.0
RO,PIMENTEIRAS DO OESTE,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
RO,PORTO VELHO,0.0,102.0,608.0,386.0,189.0,69.0,40.0,26.0,60.0,152.0,212.0
