UF,Municipio,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
RS,ACEGUÁ,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,2.0
RS,AGUDO,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
RS,ALECRIM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
RS,ALEGRETE,30.0,95.0,103.0,163.0,129.0,156.0,67.0,48.0,44.0,72.0,47.0
RS,ALEGRIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,23.0
RS,ALMIRANTE TAMANDARÉ DO SUL,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
RS,ALPESTRE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
RS,ALTO FELIZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
RS,ALVORADA,8.0,14.0,43.0,76.0,191.0,158.0,93.0,27.0,0.0,295.0,296.0
RS,AMARAL FERRADOR,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,7.0
RS,AMETISTA DO SUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
RS,ANTA GORDA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
RS,ANTÔNIO PRADO,0.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,14.0,0.0
RS,ARAMBARÉ,0.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,4.0
RS,ARARICÁ,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RS,ARATIBA,0.0,10.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,8.0,6.0
RS,ARROIO DO MEIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
RS,ARROIO DO TIGRE,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,10.0,2.0
RS,ARROIO DOS RATOS,0.0,3.0,11.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
RS,ARROIO GRANDE,0.0,1.0,0.0,4.0,0.0,7.0,2.0,0.0,1.0,16.0,6.0
RS,AUGUSTO PESTANA,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0
