UF,Municipio,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
SC,ABDON BATISTA,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SC,ABELARDO LUZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,15.0,7.0
SC,AGROLÂNDIA,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,9.0,20.0,72.0
SC,AGRONÔMICA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SC,ALFREDO WAGNER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SC,ALTO BELA VISTA,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
SC,ANCHIETA,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
SC,ANGELINA,0.0,0.0,9.0,3.0,6.0,1.0,1.0,1.0,1.0,0.0,0.0
SC,ANITA GARIBALDI,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SC,ANITÁPOLIS,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SC,APIÚNA,0.0,0.0,22.0,4.0,2.0,7.0,13.0,14.0,12.0,54.0,53.0
SC,ARABUTÃ,0.0,0.0,0.0,0.0,0.0,8.0,16.0,12.0,14.0,6.0,4.0
SC,ARAQUARI,1.0,20.0,30.0,78.0,49.0,13.0,14.0,22.0,19.0,18.0,8.0
SC,ARARANGUÁ,0.0,64.0,54.0,173.0,39.0,0.0,0.0,0.0,1.0,64.0,103.0
SC,ARMAZÉM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SC,ARROIO TRINTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
SC,ASCURRA,0.0,4.0,22.0,40.0,44.0,11.0,14.0,20.0,12.0,1.0,14.0
SC,AURORA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
SC,BALNEÁRIO ARROIO DO SILVA,0.0,0.0,2.0,6.0,0.0,0.0,4.0,8.0,1.0,0.0,0.0
SC,BALNEÁRIO BARRA DO SUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SC,BALNEÁRIO CAMBORIÚ,0.0,0.0,0.0,53.0,126.0,149.0,124.0,126.0,159.0,92.0,93.0
SC,BALNEÁRIO GAIVOTA,0.0,0.0,0.0,2.0,0.0,2.0,11.0,20.0,5.0,0.0,2.0
SC,BALNEÁRIO PIÇARRAS,23.0,46.0,34.0,1127.0,104.0,83.0,88.0,88.0,14.0,71.0,57.0
SC,BALNEÁRIO RINCÃO,0.0,0.0,14.0,0.0,2.0,2.0,1.0,6.0,1.0,4.0,0.0
SC,BARRA BONITA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
SC,BARRA VELHA,51.0,169.0,96.0,40.0,85.0,56.0,32.0,167.0,314.0,188.0,80.0
SC,BELA VISTA DO TOLDO,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0
SC,BENEDITO NOVO,0.0,0.0,14.0,21.0,15.0,20.0,3.0,7.0,2.0,0.0,2.0
SC,BIGUAÇU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,60.0,105.0,153.0
SC,BLUMENAU,0.0,0.0,71.0,36.0,35.0,15.0,15.0,0.0,0.0,0.0,0.0
SC,BOCAINA DO SUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SC,BOM RETIRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
SC,BOMBINHAS,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0
SC,BOTUVERÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
SC,BRAÇO DO NORTE,0.0,10.0,2.0,35.0,34.0,39.0,42.0,53.0,55.0,148.0,148.0
SC,BRAÇO DO TROMBUDO,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SC,BRUSQUE,43.0,106.0,231.0,254.0,328.0,346.0,345.0,194.0,414.0,742.0,651.0
SC,CAIBI,0.0,0.0,0.0,6.0,15.0,10.0,2.0,0.0,5.0,3.0,3.0
SC,CALMON,0.0,0.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0
SC,CAMBORIÚ,156.0,342.0,327.0,291.0,248.0,78.0,256.0,106.0,20.0,51.0,27.0
SC,CAMPO ALEGRE,0.0,5.0,4.0,1.0,0.0,0.0,1.0,4.0,5.0,1.0,1.0
SC,CAMPO BELO DO SUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
SC,CAMPO ERÊ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,47.0
SC,CAMPOS NOVOS,0.0,0.0,13.0,91.0,29.0,41.0,5.0,25.0,89.0,82.0,81.0
SC,CANELINHA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,9.0
SC,CANOINHAS,0.0,6.0,29.0,27.0,46.0,47.0,11.0,26.0,15.0,24.0,23.0
SC,CAPINZAL,0.0,0.0,4.0,6.0,11.0,2.0,0.0,0.0,0.0,12.0,12.0
SC,CAPIVARI DE BAIXO,0.0,0.0,7.0,148.0,168.0,38.0,79.0,94.0,1.0,6.0,5.0
SC,CATANDUVAS,0.0,0.0,3.0,9.0,47.0,59.0,14.0,0.0,0.0,15.0,20.0
SC,CAXAMBU DO SUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SC,CAÇADOR,0.0,0.0,21.0,10.0,14.0,8.0,28.0,17.0,16.0,68.0,58.0
SC,CHAPADÃO DO LAGEADO,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
SC,CHAPECÓ,0.0,0.0,0.0,5.0,27.0,41.0,11.0,4.0,10.0,5.0,5.0
SC,COCAL DO SUL,0.0,0.0,0.0,2.0,3.0,7.0,1.0,0.0,5.0,0.0,1.0
SC,CONCÓRDIA,0.0,94.0,43.0,12.0,33.0,16.0,10.0,0.0,1.0,33.0,21.0
SC,CORDILHEIRA ALTA,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SC,CORONEL FREITAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
SC,CORREIA PINTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0
SC,CORUPÁ,0.0,0.0,0.0,2.0,4.0,2.0,2.0,3.0,5.0,3.0,3.0
SC,CRICIÚMA,3.0,168.0,388.0,346.0,449.0,485.0,316.0,322.0,335.0,270.0,160.0
SC,CUNHA PORÃ,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
SC,CUNHATAÍ,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0
SC,CURITIBANOS,0.0,0.0,4.0,11.0,6.0,13.0,21.0,35.0,62.0,67.0,74.0
SC,DESCANSO,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
SC,DIONÍSIO CERQUEIRA,0.0,4.0,15.0,7.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0
SC,DOUTOR PEDRINHO,0.0,0.0,3.0,2.0,13.0,1.0,1.0,6.0,0.0,1.0,0.0
SC,ENTRE RIOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
SC,ERVAL VELHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
SC,FAXINAL DOS GUEDES,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SC,FLOR DO SERTÃO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SC,FLORIANÓPOLIS,0.0,0.0,0.0,0.0,0.0,14.0,12.0,33.0,63.0,61.0,62.0
SC,FORQUILHINHA,0.0,0.0,18.0,94.0,131.0,134.0,149.0,177.0,28.0,30.0,18.0
SC,FRAIBURGO,0.0,29.0,107.0,199.0,182.0,158.0,99.0,131.0,92.0,28.0,0.0
SC,GALVÃO,0.0,0.0,0.0,2.0,1.0,4.0,9.0,0.0,0.0,4.0,2.0
SC,GAROPABA,0.0,0.0,21.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
SC,GARUVA,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0
SC,GASPAR,0.0,26.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SC,GOVERNADOR CELSO RAMOS,0.0,0.0,0.0,2.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0
SC,GRAVATAL,0.0,0.0,0.0,1.0,11.0,1.0,1.0,0.0,0.0,4.0,1.0
SC,GRÃO PARÁ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
SC,GUABIRUBA,0.0,0.0,8.0,8.0,38.0,26.0,20.0,14.0,8.0,29.0,22.0
SC,GUARACIABA,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
SC,GUARAMIRIM,0.0,0.0,0.0,0.0,13.0,27.0,6.0,11.0,15.0,25.0,49.0
SC,GUARUJÁ DO SUL,0.0,3.0,7.0,0.0,0.0,11.0,2.0,0.0,0.0,1.0,4.0
SC,GUATAMBÚ,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
SC,HERVAL D'OESTE,0.0,7.0,2.0,3.0,8.0,0.0,0.0,0.0,0.0,21.0,51.0
SC,IBIAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
SC,IBICARÉ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
SC,IBIRAMA,0.0,0.0,49.0,46.0,42.0,29.0,6.0,30.0,35.0,41.0,40.0
SC,ILHOTA,0.0,0.0,1.0,3.0,22.0,75.0,2.0,6.0,3.0,5.0,1.0
SC,IMARUÍ,0.0,0.0,5.0,2.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0
SC,IMBITUBA,0.0,0.0,7.0,30.0,29.0,60.0,72.0,155.0,125.0,138.0,136.0
SC,INDAIAL,0.0,0.0,81.0,71.0,110.0,80.0,55.0,92.0,70.0,82.0,38.0
SC,IOMERÊ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SC,IPIRA,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SC,IPORÃ DO OESTE,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0
SC,IPUAÇU,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0
SC,IPUMIRIM,0.0,0.0,2.0,0.0,2.0,8.0,1.0,41.0,30.0,35.0,29.0
SC,IRANI,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SC,IRATI,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
SC,IRINEÓPOLIS,0.0,0.0,0.0,6.0,4.0,4.0,113.0,188.0,260.0,218.0,165.0
SC,ITAIÓPOLIS,1.0,44.0,145.0,13.0,39.0,7.0,14.0,15.0,0.0,37.0,17.0
SC,ITAJAÍ,0.0,114.0,173.0,318.0,402.0,336.0,257.0,284.0,522.0,540.0,399.0
SC,ITAPEMA,1.0,0.0,0.0,1.0,10.0,1.0,0.0,0.0,0.0,73.0,92.0
SC,ITAPOÁ,0.0,0.0,0.0,3.0,14.0,2.0,4.0,19.0,28.0,114.0,46.0
SC,ITUPORANGA,0.0,6.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0
SC,ITÁ,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
SC,IÇARA,0.0,0.0,0.0,1887.0,81.0,41.0,40.0,75.0,74.0,66.0,55.0
SC,JABORÁ,0.0,0.0,0.0,0.0,10.0,10.0,0.0,2.0,0.0,1.0,0.0
SC,JACINTO MACHADO,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
SC,JAGUARUNA,0.0,0.0,0.0,85.0,8.0,2.0,1.0,1.0,3.0,3.0,7.0
SC,JARAGUÁ DO SUL,0.0,0.0,0.0,101.0,245.0,470.0,345.0,559.0,510.0,473.0,321.0
SC,JARDINÓPOLIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
SC,JOAÇABA,0.0,0.0,0.0,3.0,6.0,19.0,6.0,0.0,0.0,1.0,0.0
SC,JOINVILLE,0.0,1.0,183.0,285.0,672.0,1079.0,1088.0,1352.0,908.0,853.0,725.0
SC,JOSÉ BOITEUX,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SC,JUPIÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
