UF,Municipio,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
SE,AMPARO DE SÃO FRANCISCO,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
SE,AQUIDABÃ,0.0,1.0,13.0,11.0,5.0,8.0,27.0,36.0,32.0,15.0,2.0
SE,ARACAJU,1.0,146.0,227.0,365.0,365.0,436.0,271.0,408.0,319.0,279.0,164.0
SE,ARAUÁ,1.0,0.0,0.0,3.0,1.0,0.0,3.0,1.0,3.0,2.0,2.0
SE,AREIA BRANCA,0.0,0.0,7.0,5.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0
SE,BARRA DOS COQUEIROS,0.0,20.0,18.0,75.0,37.0,33.0,68.0,34.0,52.0,46.0,25.0
SE,BOQUIM,2.0,17.0,71.0,44.0,51.0,34.0,6.0,8.0,18.0,24.0,18.0
SE,BREJO GRANDE,0.0,3.0,15.0,2.0,34.0,4.0,0.0,10.0,37.0,12.0,13.0
SE,CAMPO DO BRITO,1.0,5.0,10.0,13.0,5.0,2.0,8.0,5.0,9.0,5.0,3.0
SE,CANHOBA,0.0,1.0,0.0,0.0,0.0,0.0,4.0,66.0,43.0,4.0,3.0
SE,CANINDÉ DE SÃO FRANCISCO,1.0,10.0,13.0,20.0,43.0,46.0,18.0,0.0,0.0,9.0,4.0
SE,CAPELA,0.0,5.0,10.0,17.0,31.0,40.0,35.0,47.0,34.0,7.0,7.0
SE,CARIRA,25.0,40.0,18.0,32.0,186.0,134.0,49.0,12.0,17.0,2.0,6.0
SE,CARMÓPOLIS,4.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
SE,CEDRO DE SÃO JOÃO,0.0,0.0,4.0,16.0,9.0,8.0,3.0,3.0,2.0,0.0,0.0
SE,CRISTINÁPOLIS,14.0,22.0,11.0,22.0,24.0,5.0,22.0,51.0,71.0,6.0,7.0
SE,CUMBE,0.0,10.0,7.0,3.0,19.0,16.0,0.0,0.0,0.0,2.0,0.0
SE,DIVINA PASTORA,0.0,0.0,2.0,1.0,0.0,3.0,1.0,4.0,1.0,1.0,0.0
SE,ESTÂNCIA,12.0,29.0,35.0,27.0,18.0,8.0,4.0,6.0,14.0,32.0,64.0
SE,FEIRA NOVA,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
SE,FREI PAULO,0.0,2.0,0.0,5.0,3.0,17.0,22.0,8.0,0.0,1.0,5.0
SE,GARARU,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0
SE,GENERAL MAYNARD,5.0,0.0,1.0,0.0,3.0,8.0,0.0,0.0,4.0,0.0,0.0
SE,GRACHO CARDOSO,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0
SE,ILHA DAS FLORES,0.0,14.0,38.0,14.0,11.0,8.0,2.0,5.0,10.0,17.0,4.0
SE,INDIAROBA,0.0,3.0,0.0,1.0,8.0,5.0,12.0,2.0,6.0,4.0,3.0
SE,ITABAIANA,13.0,7.0,2.0,1.0,5.0,11.0,13.0,29.0,18.0,23.0,40.0
SE,ITABAIANINHA,40.0,28.0,43.0,52.0,65.0,59.0,27.0,41.0,28.0,21.0,31.0
