UF,Municipio,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
SP,ADAMANTINA,2.0,3.0,48.0,470.0,330.0,89.0,88.0,115.0,40.0,101.0,127.0
SP,ADOLFO,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SP,AGUAÍ,0.0,0.0,1.0,4.0,3.0,64.0,65.0,59.0,64.0,93.0,30.0
SP,AGUDOS,0.0,29.0,21.0,43.0,63.0,163.0,60.0,129.0,153.0,179.0,126.0
SP,ALAMBARI,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0
SP,ALFREDO MARCONDES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SP,ALTAIR,0.0,2.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0
SP,ALTINÓPOLIS,0.0,0.0,0.0,2.0,8.0,3.0,27.0,22.0,14.0,9.0,5.0
SP,ALTO ALEGRE,1.0,1.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0
SP,ALUMÍNIO,0.0,0.0,0.0,12.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0
SP,ALVINLÂNDIA,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0
SP,AMERICANA,0.0,7.0,101.0,45.0,41.0,58.0,109.0,52.0,7.0,145.0,179.0
SP,AMPARO,0.0,0.0,9.0,48.0,78.0,53.0,50.0,44.0,43.0,67.0,14.0
SP,AMÉRICO BRASILIENSE,2.0,15.0,5.0,29.0,8.0,1.0,0.0,0.0,5.0,35.0,29.0
SP,AMÉRICO DE CAMPOS,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SP,ANALÂNDIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0
SP,ANDRADINA,63.0,58.0,27.0,44.0,41.0,40.0,42.0,68.0,46.0,111.0,72.0
SP,ANGATUBA,0.0,26.0,26.0,17.0,7.0,8.0,5.0,4.0,6.0,31.0,101.0
