UF,Municipio,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
TO,ABREULÂNDIA,0.0,0.0,10.0,12.0,17.0,5.0,4.0,0.0,0.0,1.0,1.0
TO,AGUIARNÓPOLIS,0.0,1.0,2.0,6.0,18.0,36.0,26.0,10.0,12.0,2.0,1.0
TO,ALIANÇA DO TOCANTINS,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0
TO,ALMAS,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0
TO,ALVORADA,0.0,58.0,64.0,104.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
TO,ANANÁS,0.0,0.0,34.0,9.0,60.0,101.0,43.0,2.0,0.0,7.0,1.0
TO,ANGICO,0.0,0.0,0.0,14.0,1.0,1.0,0.0,0.0,2.0,11.0,2.0
TO,APARECIDA DO RIO NEGRO,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO,ARAGOMINAS,4.0,14.0,11.0,44.0,32.0,15.0,7.0,1.0,0.0,6.0,5.0
TO,ARAGUACEMA,1.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TO,ARAGUANÃ,0.0,0.0,5.0,6.0,228.0,276.0,52.0,125.0,171.0,610.0,599.0
TO,ARAGUATINS,0.0,0.0,56.0,5.0,13.0,4.0,3.0,23.0,1.0,10.0,14.0
TO,ARAGUAÇU,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0
TO,ARAGUAÍNA,13.0,10.0,41.0,59.0,61.0,65.0,36.0,20.0,13.0,85.0,106.0
TO,ARAPOEMA,0.0,6.0,5.0,2.0,2.0,1.0,0.0,0.0,0.0,9.0,0.0
TO,ARRAIAS,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0
TO,AUGUSTINÓPOLIS,0.0,22.0,62.0,6.0,4.0,0.0,0.0,0.0,0.0,13.0,2.0
TO,AURORA DO TOCANTINS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,6.0
TO,AXIXÁ DO TOCANTINS,4.0,2.0,1.0,34.0,118.0,50.0,32.0,2.0,15.0,4.0,9.0
TO,BABAÇULÂNDIA,3.0,0.0,1.0,3.0,5.0,18.0,17.0,46.0,0.0,8.0,3.0
TO,BANDEIRANTES DO TOCANTINS,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
TO,BARRA DO OURO,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
TO,BARROLÂNDIA,10.0,0.0,6.0,8.0,7.0,5.0,3.0,5.0,0.0,0.0,0.0
TO,BERNARDO SAYÃO,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,13.0,8.0
TO,BOM JESUS DO TOCANTINS,0.0,0.0,0.0,0.0,50.0,19.0,1.0,3.0,0.0,0.0,0.0
TO,BRASILÂNDIA DO TOCANTINS,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
TO,BREJINHO DE NAZARÉ,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0
TO,BURITI DO TOCANTINS,0.0,0.0,23.0,45.0,50.0,15.0,3.0,25.0,3.0,10.0,2.0
TO,CAMPOS LINDOS,0.0,0.0,24.0,2.0,4.0,1.0,0.0,0.0,1.0,3.0,11.0
TO,CARIRI DO TOCANTINS,0.0,15.0,58.0,93.0,36.0,6.0,0.0,0.0,0.0,0.0,0.0
TO,CARMOLÂNDIA,0.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0
TO,CARRASCO BONITO,1.0,4.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO,CASEARA,1.0,2.0,6.0,7.0,5.0,2.0,0.0,0.0,0.0,0.0,11.0
TO,CENTENÁRIO,0.0,1.0,4.0,5.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0
TO,CHAPADA DA NATIVIDADE,0.0,4.0,1.0,2.0,4.0,0.0,0.0,7.0,0.0,1.0,3.0
TO,COLINAS DO TOCANTINS,0.0,22.0,36.0,92.0,28.0,25.0,1.0,1.0,0.0,36.0,29.0
TO,COLMÉIA,0.0,0.0,3.0,2.0,7.0,7.0,24.0,17.0,7.0,2.0,0.0
TO,COMBINADO,3.0,0.0,2.0,49.0,6.0,10.0,6.0,1.0,0.0,2.0,5.0
TO,CONCEIÇÃO DO TOCANTINS,10.0,1.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO,COUTO MAGALHÃES,1.0,0.0,7.0,3.0,1.0,4.0,9.0,0.0,0.0,1.0,1.0
TO,CRISTALÂNDIA,2.0,1.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,5.0
TO,CRIXÁS DO TOCANTINS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
TO,DARCINÓPOLIS,0.0,0.0,10.0,3.0,2.0,26.0,20.0,15.0,12.0,12.0,4.0
TO,DIANÓPOLIS,0.0,5.0,25.0,9.0,8.0,6.0,3.0,0.0,1.0,11.0,27.0
TO,DIVINÓPOLIS DO TOCANTINS,1.0,0.0,4.0,5.0,10.0,3.0,0.0,0.0,4.0,0.0,0.0
TO,DOIS IRMÃOS DO TOCANTINS,6.0,1.0,2.0,5.0,9.0,7.0,0.0,0.0,0.0,1.0,0.0
TO,DUERÉ,0.0,66.0,82.0,191.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TO,ESPERANTINA,0.0,0.0,1.0,1.0,3.0,0.0,2.0,0.0,0.0,2.0,4.0
TO,FIGUEIRÓPOLIS,0.0,0.0,0.0,0.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0
TO,FILADÉLFIA,0.0,0.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,4.0,5.0
TO,FORMOSO DO ARAGUAIA,0.0,1.0,1.0,18.0,33.0,16.0,3.0,8.0,0.0,2.0,6.0
TO,FORTALEZA DO TABOCÃO,0.0,1.0,11.0,24.0,22.0,23.0,12.0,76.0,14.0,0.0,1.0
TO,FÁTIMA,0.0,0.0,0.0,4.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
TO,GOIANORTE,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,7.0,0.0,4.0
TO,GOIATINS,3.0,0.0,2.0,0.0,28.0,16.0,41.0,46.0,45.0,28.0,16.0
TO,GUARAÍ,0.0,13.0,23.0,1.0,0.0,1.0,0.0,2.0,2.0,5.0,0.0
TO,GURUPI,0.0,27.0,279.0,1248.0,1524.0,699.0,55.0,56.0,55.0,28.0,17.0
TO,IPUEIRAS,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,7.0
TO,ITACAJÁ,0.0,0.0,0.0,3.0,9.0,4.0,2.0,35.0,43.0,0.0,0.0
TO,ITAGUATINS,0.0,0.0,0.0,0.0,0.0,12.0,5.0,1.0,1.0,2.0,4.0
TO,ITAPIRATINS,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,4.0
TO,ITAPORÃ DO TOCANTINS,1.0,2.0,2.0,22.0,29.0,81.0,36.0,0.0,68.0,86.0,75.0
TO,JAÚ DO TOCANTINS,0.0,131.0,341.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO,JUARINA,4.0,15.0,16.0,10.0,12.0,12.0,5.0,3.0,0.0,2.0,13.0
TO,LAGOA DA CONFUSÃO,2.0,13.0,3.0,10.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0
TO,LAGOA DO TOCANTINS,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
TO,LAJEADO,0.0,0.0,2.0,1.0,1.0,0.0,6.0,10.0,27.0,21.0,0.0
TO,LAVANDEIRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
TO,LIZARDA,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TO,LUZINÓPOLIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
TO,MARIANÓPOLIS DO TOCANTINS,4.0,8.0,2.0,15.0,6.0,3.0,0.0,0.0,0.0,1.0,1.0
TO,MATEIROS,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,7.0,1.0
TO,MAURILÂNDIA DO TOCANTINS,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0
TO,MIRACEMA DO TOCANTINS,0.0,1.0,7.0,19.0,40.0,22.0,15.0,6.0,51.0,67.0,13.0
TO,MIRANORTE,6.0,96.0,104.0,53.0,16.0,3.0,0.0,0.0,3.0,3.0,4.0
