UF,COD. UF,COD. MUNIC,NOME DO MUNICÍPIO,POPULAÇÃO ESTIMADA
RO,11,00015,Alta Floresta D'Oeste,25652
RO,11,00379,Alto Alegre dos Parecis,13884
RO,11,00403,Alto Paraíso,19841
RO,11,00346,Alvorada D'Oeste,17228
RO,11,00023,Ariquemes,102860
RO,11,00452,Buritis,37207
RO,11,00031,Cabixi,6424
RO,11,00601,Cacaulândia,6318
RO,11,00049,Cacoal,86556
RO,11,00700,Campo Novo de Rondônia,14081
RO,11,00809,Candeias do Jamari,23573
RO,11,00908,Castanheiras,3653
RO,11,00056,Cerejeiras,18013
RO,11,00924,Chupinguaia,9887
RO,11,00064,Colorado do Oeste,19001
RO,11,00072,Corumbiara,8938
RO,11,00080,Costa Marques,16258
RO,11,00940,Cujubim,20204
RO,11,00098,Espigão D'Oeste,32047
RO,11,01005,Governador Jorge Teixeira,10327
RO,11,00106,Guajará-Mirim,46203
RO,11,01104,Itapuã do Oeste,9831
RO,11,00114,Jaru,55669
RO,11,00122,Ji-Paraná,129242
RO,11,00130,Machadinho D'Oeste,36412
RO,11,01203,Ministro Andreazza,10860
RO,11,01302,Mirante da Serra,12414
RO,11,01401,Monte Negro,15710
RO,11,00148,Nova Brasilândia D'Oeste,21511
RO,11,00338,Nova Mamoré,26925
RO,11,01435,Nova União,7853
RO,11,00502,Novo Horizonte do Oeste,10393
RO,11,00155,Ouro Preto do Oeste,40010
RO,11,01450,Parecis,5589
RO,11,00189,Pimenta Bueno,37230
RO,11,01468,Pimenteiras do Oeste,2432
RO,11,00205,Porto Velho,494013
RO,11,00254,Presidente Médici,22783
RO,11,01476,Primavera de Rondônia,3548
RO,11,00262,Rio Crespo,3709
RO,11,00288,Rolim de Moura,55807
RO,11,00296,Santa Luzia D'Oeste,8706
RO,11,01484,São Felipe D'Oeste,6160
RO,11,01492,São Francisco do Guaporé,18640
RO,11,00320,São Miguel do Guaporé,23803
RO,11,01500,Seringueiras,12543
RO,11,01559,Teixeirópolis,5041
RO,11,01609,Theobroma,11345
RO,11,01708,Urupá,13391
RO,11,01757,Vale do Anari,10682
RO,11,01807,Vale do Paraíso,8327
RO,11,00304,Vilhena,89797
AC,12,00013,Acrelândia,13613
AC,12,00054,Assis Brasil,6610
AC,12,00104,Brasiléia,23378
AC,12,00138,Bujari,9173
AC,12,00179,Capixaba,10170
AC,12,00203,Cruzeiro do Sul,80953
AC,12,00252,Epitaciolândia,16417
AC,12,00302,Feijó,32398
AC,12,00328,Jordão,7330
AC,12,00336,Mâncio Lima,16795
AC,12,00344,Manoel Urbano,8514
AC,12,00351,Marechal Thaumaturgo,16380
AC,12,00385,Plácido de Castro,17979
AC,12,00807,Porto Acre,16396
AC,12,00393,Porto Walter,10453
AC,12,00401,Rio Branco,363928
AC,12,00427,Rodrigues Alves,16475
AC,12,00435,Santa Rosa do Purus,5593
AC,12,00500,Sena Madureira,41036
AC,12,00450,Senador Guiomard,20992
AC,12,00609,Tarauacá,38201
AC,12,00708,Xapuri,17317
AM,13,00029,Alvarães,15357
AM,13,00060,Amaturá,10644
AM,13,00086,Anamã,11981
AM,13,00102,Anori,18826
AM,13,00144,Apuí,20258
AM,13,00201,Atalaia do Norte,17658
AM,13,00300,Autazes,36301
AM,13,00409,Barcelos,27273
AM,13,00508,Barreirinha,30202
AM,13,00607,Benjamin Constant,38533
AM,13,00631,Beruri,17755
AM,13,00680,Boa Vista do Ramos,17248
AM,13,00706,Boca do Acre,33148
AM,13,00805,Borba,38688
AM,13,00839,Caapiranga,12214
AM,13,00904,Canutama,14944
AM,13,01001,Carauari,27645
AM,13,01100,Careiro,35938
AM,13,01159,Careiro da Várzea,27357
AM,13,01209,Coari,82209
AM,13,01308,Codajás,26242
AM,13,01407,Eirunepé,33580
AM,13,01506,Envira,18422
AM,13,01605,Fonte Boa,21295
AM,13,01654,Guajará,15561
AM,13,01704,Humaitá,50230
AM,13,01803,Ipixuna,26118
AM,13,01852,Iranduba,45250
AM,13,01902,Itacoatiara,95714
AM,13,01951,Itamarati,8205
AM,13,02009,Itapiranga,8864
AM,13,02108,Japurá,5599
AM,13,02207,Juruá,12807
AM,13,02306,Jutaí,16977
AM,13,02405,Lábrea,42439
AM,13,02504,Manacapuru,92996
AM,13,02553,Manaquiri,27480
AM,13,02603,Manaus,2020301
AM,13,02702,Manicoré,52200
AM,13,02801,Maraã,18367
AM,13,02900,Maués,58834
AM,13,03007,Nhamundá,20078
AM,13,03106,Nova Olinda do Norte,34498
AM,13,03205,Novo Airão,17199
AM,13,03304,Novo Aripuanã,23905
AM,13,03403,Parintins,110411
AM,13,03502,Pauini,19265
AM,13,03536,Presidente Figueiredo,31903
AM,13,03569,Rio Preto da Eva,29771
AM,13,03601,Santa Isabel do Rio Negro,21702
AM,13,03700,Santo Antônio do Içá,24005
AM,13,03809,São Gabriel da Cachoeira,42342
AM,13,03908,São Paulo de Olivença,35757
AM,13,03957,São Sebastião do Uatumã,12451
AM,13,04005,Silves,9014
AM,13,04062,Tabatinga,59684
AM,13,04104,Tapauá,18266
AM,13,04203,Tefé,62662
AM,13,04237,Tonantins,18322
AM,13,04260,Uarini,12963
AM,13,04302,Urucará,17264
AM,13,04401,Urucurituba,20621
RR,14,00050,Alto Alegre,16301
RR,14,00027,Amajari,10721
RR,14,00100,Boa Vista,314900
RR,14,00159,Bonfim,11632
RR,14,00175,Cantá,15774
RR,14,00209,Caracaraí,19981
RR,14,00233,Caroebe,8997
RR,14,00282,Iracema,10043
RR,14,00308,Mucajaí,16137
RR,14,00407,Normandia,9953
RR,14,00456,Pacaraima,11667
RR,14,00472,Rorainópolis,26811
RR,14,00506,São João da Baliza,7401
RR,14,00605,São Luiz,7309
RR,14,00704,Uiramutã,9309
PA,15,00107,Abaetetuba,148873
PA,15,00131,Abel Figueiredo,7070
PA,15,00206,Acará,54047
PA,15,00305,Afuá,37004
PA,15,00347,Água Azul do Norte,26105
PA,15,00404,Alenquer,54353
PA,15,00503,Almeirim,33466
PA,15,00602,Altamira,106768
PA,15,00701,Anajás,27051
PA,15,00800,Ananindeua,499776
PA,15,00859,Anapu,24525
PA,15,00909,Augusto Corrêa,43154
PA,15,00958,Aurora do Pará,28974
PA,15,01006,Aveiro,15956
PA,15,01105,Bagre,27491
PA,15,01204,Baião,42513
PA,15,01253,Bannach,3303
PA,15,01303,Barcarena,112921
PA,15,01402,Belém,1432844
PA,15,01451,Belterra,16924
PA,15,01501,Benevides,57393
PA,15,01576,Bom Jesus do Tocantins,16074
PA,15,01600,Bonito,14990
PA,15,01709,Bragança,120124
PA,15,01725,Brasil Novo,15139
PA,15,01758,Brejo Grande do Araguaia,7258
PA,15,01782,Breu Branco,59651
PA,15,01808,Breves,97351
PA,15,01907,Bujaru,27349
PA,15,02004,Cachoeira do Arari,22100
PA,15,01956,Cachoeira do Piriá,30430
PA,15,02103,Cametá,129161
PA,15,02152,Canaã dos Carajás,32366
PA,15,02202,Capanema,65932
PA,15,02301,Capitão Poço,52616
PA,15,02400,Castanhal,186895
PA,15,02509,Chaves,22302
PA,15,02608,Colares,11641
PA,15,02707,Conceição do Araguaia,46302
PA,15,02756,Concórdia do Pará,30801
PA,15,02764,Cumaru do Norte,12069
PA,15,02772,Curionópolis,17844
PA,15,02806,Curralinho,31591
PA,15,02855,Curuá,13333
PA,15,02905,Curuçá,37188
PA,15,02939,Dom Eliseu,55513
PA,15,02954,Eldorado dos Carajás,32544
PA,15,03002,Faro,7504
PA,15,03044,Floresta do Araguaia,19005
PA,15,03077,Garrafão do Norte,25307
PA,15,03093,Goianésia do Pará,37249
PA,15,03101,Gurupá,31182
PA,15,03200,Igarapé-Açu,37112
PA,15,03309,Igarapé-Miri,59998
PA,15,03408,Inhangapi,10876
PA,15,03457,Ipixuna do Pará,56613
