CD_UF;NM_UF;SG_UF;CD_MUNIC;NM_MUNIC;IDCQ0001;OCORRENCIA;CD_LQ;PREFIXO;NM_CQ;CD_AGLOM;NM_AGLOM;CD_TQ;NM_TQ;P_FCP;Lat_d;Long_d
27;ALAGOAS;AL;2709152;Teotônio Vilela;00015;1;2709152000151;COMUNIDADE QUILOMBOLA;ABOBREIRA;00010;COMUNIDADE QUILOMBOLA ABOBREIRAS;282;ABOBREIRAS;01420.002213/2009-34;-9.99129711098;-36.3749300423
27;ALAGOAS;AL;2703304;Inhapi;00100;1;2703304001001;COMUNIDADE QUILOMBOLA;AGUADINHA;;;;;01420.100570/2021-53;-9.22062354161;-37.7280079028
27;ALAGOAS;AL;2701803;Carneiros;00111;1;2701803001111;COMUNIDADE QUILOMBOLA;AGUAZINHA;00002;COMUNIDADE QUILOMBOLA AGUAZINHA;;;;-9.50943677762;-37.379437638
27;ALAGOAS;AL;2705705;Olho d'Água das Flores;00112;1;2705705001121;COMUNIDADE QUILOMBOLA;AGUAZINHA;00004;COMUNIDADE QUILOMBOLA AGUAZINHA;;;01420.002205/2009-98;-9.51158858241709;-37.3763921082197
27;ALAGOAS;AL;2701803;Carneiros;00111;2;2701803001112;COMUNIDADE QUILOMBOLA;AGUAZINHA;;;;;01420.002205/2009-98;-9.51815600048161;-37.3806890062842
27;ALAGOAS;AL;2705804;Olho d'Água do Casado;00205;1;2705804002051;COMUNIDADE QUILOMBOLA;ALTO DA BOA VISTA;;;;;01420.002004/2015-39;-9.50663782753371;-37.8261891828408
27;ALAGOAS;AL;2703403;Jacaré dos Homens;00208;1;2703403002081;COMUNIDADE QUILOMBOLA;ALTO DA MADEIRA;00002;COMUNIDADE QUILOMBOLA ALTO DA MADEIRA;;;01420.002203/2009-07;-9.70708237487;-37.2401224443
27;ALAGOAS;AL;2708006;Santana do Ipanema;00222;1;2708006002221;COMUNIDADE QUILOMBOLA;ALTO DO TAMANDUÁ;00004;COMUNIDADE QUILOMBOLA ALTO DO TAMANDUÁ;;;01420.001246/2004-52;-9.34163798449995;-37.2806708284767
27;ALAGOAS;AL;2708006;Santana do Ipanema;00222;2;2708006002222;COMUNIDADE QUILOMBOLA;ALTO DO TAMANDUÁ;00013;COMUNIDADE QUILOMBOLA BAIXO DO TAMANDUÁ 2;;;01420.001246/2004-52;-9.34909730166254;-37.289356344322
27;ALAGOAS;AL;2708006;Santana do Ipanema;00222;3;2708006002223;COMUNIDADE QUILOMBOLA;ALTO DO TAMANDUÁ;00004;COMUNIDADE QUILOMBOLA ALTO DO TAMANDUÁ;;;01420.001246/2004-52;-9.34352868338797;-37.2849606035229
27;ALAGOAS;AL;2707206;Poço das Trincheiras;00223;3;2707206002233;COMUNIDADE QUILOMBOLA;ALTO DO TAMANDUÁ;00009;COMUNIDADE QUILOMBOLA ALTO DO TAMANDUÁ 2;;;01420.001246/2004-52;-9.33217216974558;-37.2892263079063
27;ALAGOAS;AL;2707206;Poço das Trincheiras;00223;1;2707206002231;COMUNIDADE QUILOMBOLA;ALTO DO TAMANDUÁ;00004;COMUNIDADE QUILOMBOLA ALTO DO TAMANDUÁ;;;01420.001246/2004-52;-9.34063293037;-37.284474333
27;ALAGOAS;AL;2707206;Poço das Trincheiras;00223;2;2707206002232;COMUNIDADE QUILOMBOLA;ALTO DO TAMANDUÁ;00009;COMUNIDADE QUILOMBOLA ALTO DO TAMANDUÁ 2;;;01420.001246/2004-52;-9.32678713229324;-37.291714847941
27;ALAGOAS;AL;2705408;Monteirópolis;00582;1;2705408005821;COMUNIDADE QUILOMBOLA;BAIXAS;;;;;;-9.61742669437;-37.2754308484
27;ALAGOAS;AL;2703403;Jacaré dos Homens;00583;1;2703403005831;COMUNIDADE QUILOMBOLA;BAIXAS;00003;COMUNIDADE QUILOMBOLA BAIXAS;;;01420.007107/2010-81;-9.68947225267618;-37.2063659750223
27;ALAGOAS;AL;2708006;Santana do Ipanema;00592;1;2708006005921;COMUNIDADE QUILOMBOLA;BAIXO TAMANDUÁ;00005;COMUNIDADE QUILOMBOLA BAIXO DO TAMANDUÁ;;;01420.101548/2020-40;-9.34756386098;-37.2798093609
27;ALAGOAS;AL;2703304;Inhapi;00596;1;2703304005961;COMUNIDADE QUILOMBOLA;BALDE;;;;;01420.100634/2021-16;-9.23397094131066;-37.7541101501757
27;ALAGOAS;AL;2700102;Água Branca;00663;1;2700102006631;COMUNIDADE QUILOMBOLA;BARRADOS;;;;;;-9.2484746078826;-37.9073593613743
27;ALAGOAS;AL;2700102;Água Branca;00730;1;2700102007301;COMUNIDADE QUILOMBOLA;BARRO PRETO;00019;COMUNIDADE QUILOMBOLA BARRO PRETO;;;01420.002212/2009-90;-9.29368854799995;-37.8878647238442
27;ALAGOAS;AL;2700102;Água Branca;00730;2;2700102007302;COMUNIDADE QUILOMBOLA;BARRO PRETO;00044;COMUNIDADE QUILOMBOLA BARRO PRETO 2;;;01420.002212/2009-90;-9.29462431809013;-37.8791548632975
27;ALAGOAS;AL;2709202;Traipu;00827;3;2709202008273;COMUNIDADE QUILOMBOLA;BELO HORIZONTE;;;;;01420.002198/2009-24;-9.97452374076024;-36.846642301041
27;ALAGOAS;AL;2709202;Traipu;00827;1;2709202008271;COMUNIDADE QUILOMBOLA;BELO HORIZONTE;00044;COMUNIDADE QUILOMBOLA BELO HORIZONTE 2;;;01420.002198/2009-24;-9.96575769675796;-36.8476131035
27;ALAGOAS;AL;2709202;Traipu;00827;2;2709202008272;COMUNIDADE QUILOMBOLA;BELO HORIZONTE;00037;COMUNIDADE QUILOMBOLA BELO HORIZONTE;;;01420.002198/2009-24;-9.95830619172483;-36.847429560703
27;ALAGOAS;AL;2709202;Traipu;00827;4;2709202008274;COMUNIDADE QUILOMBOLA;BELO HORIZONTE;;;;;01420.002198/2009-24;-9.97759897381459;-36.8632830021447
27;ALAGOAS;AL;2702306;Coruripe;00861;1;2702306008611;COMUNIDADE QUILOMBOLA;BIRRUS;;;;;;-10.2018444106135;-36.3351505048318
27;ALAGOAS;AL;2709152;Teotônio Vilela;00862;1;2709152008621;COMUNIDADE QUILOMBOLA;BIRRUS;00012;COMUNIDADE QUILOMBOLA BIRRUS;;;01420.002214/2009-89;-9.92142332331817;-36.4037053209423
27;ALAGOAS;AL;2709103;Taquarana;00973;1;2709103009731;COMUNIDADE QUILOMBOLA;BOCA DA MATA;00031;COMUNIDADE QUILOMBOLA BOCA DA MATA;;;;-9.66475541699998;-36.458069806
27;ALAGOAS;AL;2706505;Passo de Camaragibe;00999;1;2706505009991;COMUNIDADE QUILOMBOLA;BOM DESPACHO;00002;COMUNIDADE QUILOMBOLA BOM DESPACHO;;;01420.002220/2009-36;-9.28108092244784;-35.4336222469189
27;ALAGOAS;AL;2706422;Pariconha;01206;1;2706422012061;COMUNIDADE QUILOMBOLA;BURNIL;00006;COMUNIDADE QUILOMBOLA BURNIL;;;01420.002209/2009-76;-9.27070862529056;-37.9885138634509
27;ALAGOAS;AL;2708402;São José da Tapera;01243;2;2708402012432;COMUNIDADE QUILOMBOLA;CABLOCO;;;;;;-9.56268848886984;-37.3831763434205
27;ALAGOAS;AL;2708402;São José da Tapera;01253;1;2708402012531;COMUNIDADE QUILOMBOLA;CABOCLO;00003;COMUNIDADE QUILOMBOLA CABOCLO;;;01420.002201/2009-18;-9.53505058316;-37.5208451799
27;ALAGOAS;AL;2708402;São José da Tapera;01301;2;2708402013012;COMUNIDADE QUILOMBOLA;CACIMBA DO BARRO;;;;;01420.002200/2009-65;-9.58091908441159;-37.5286501215092
27;ALAGOAS;AL;2708402;São José da Tapera;01301;3;2708402013013;COMUNIDADE QUILOMBOLA;CACIMBA DO BARRO;;;;;01420.002200/2009-65;-9.56207655279571;-37.3839106667094
27;ALAGOAS;AL;2708402;São José da Tapera;01301;1;2708402013011;COMUNIDADE QUILOMBOLA;CACIMBA DO BARRO;00012;COMUNIDADE QUILOMBOLA CACIMBA DE  BARRO;;;01420.002200/2009-65;-9.56925150326484;-37.5163132352817
27;ALAGOAS;AL;2703403;Jacaré dos Homens;01347;1;2703403013471;COMUNIDADE QUILOMBOLA;CAITITU;00001;CAITITU;;;01420.101930/2022-15;-9.69871018041;-37.2506428741
27;ALAGOAS;AL;2700706;Batalha;01354;3;2700706013543;COMUNIDADE QUILOMBOLA;CAJA DOS NEGROS;00021;COMUNIDADE QUILOMBOLA CAJÁ DOS NEGROS 2;;;01420.001245/2004-16;-9.73769257563489;-37.0667900585818
27;ALAGOAS;AL;2700706;Batalha;01354;1;2700706013541;COMUNIDADE QUILOMBOLA;CAJA DOS NEGROS;00012;COMUNIDADE QUILOMBOLA CAJÁ DOS NEGROS;357;CAJÁ DOS NEGROS;01420.001245/2004-16;-9.75125748049654;-37.0923397965016
27;ALAGOAS;AL;2700706;Batalha;01354;2;2700706013542;COMUNIDADE QUILOMBOLA;CAJA DOS NEGROS;;;;;01420.001245/2004-16;-9.76284492587913;-37.0957880242061
27;ALAGOAS;AL;2700706;Batalha;01355;4;2700706013554;COMUNIDADE QUILOMBOLA;CAJÁ DOS NEGROS;00012;COMUNIDADE QUILOMBOLA CAJÁ DOS NEGROS;;;01420.001245/2004-16;-9.75724409599089;-37.095952292
27;ALAGOAS;AL;2709202;Traipu;01700;1;2709202017001;COMUNIDADE QUILOMBOLA;CARRASCO;00036;COMUNIDADE QUILOMBOLA TABULEIRO;;;;-9.95595456937;-36.8699939317
27;ALAGOAS;AL;2702355;Craíbas;01701;1;2702355017011;COMUNIDADE QUILOMBOLA;CARRASCO;00049;COMUNIDADE QUILOMBOLA CARRASCO 2;;;;-9.64958112494;-36.6918057648
27;ALAGOAS;AL;2709202;Traipu;01700;2;2709202017002;COMUNIDADE QUILOMBOLA;CARRASCO;;;;;;-9.95025646168176;-36.8628008056018
27;ALAGOAS;AL;2700300;Arapiraca;01702;3;2700300017023;COMUNIDADE QUILOMBOLA;CARRASCO;;;;;01420.000322/1999-10;-9.67636358720957;-36.6724890930935
27;ALAGOAS;AL;2700300;Arapiraca;01702;1;2700300017021;COMUNIDADE QUILOMBOLA;CARRASCO;00032;COMUNIDADE QUILOMBOLA CARRASCO;;;01420.000322/1999-10;-9.68046265233;-36.6770427818
27;ALAGOAS;AL;2700300;Arapiraca;01702;2;2700300017022;COMUNIDADE QUILOMBOLA;CARRASCO;00032;COMUNIDADE QUILOMBOLA CARRASCO;;;01420.000322/1999-10;-9.6686722504745;-36.6803592981247
27;ALAGOAS;AL;2700300;Arapiraca;01702;4;2700300017024;COMUNIDADE QUILOMBOLA;CARRASCO;;;;;01420.000322/1999-10;-9.67946397100975;-36.6894815812291
27;ALAGOAS;AL;2706208;Palestina;01910;1;2706208019101;COMUNIDADE QUILOMBOLA;CHIFRE DE BODE;00004;COMUNIDADE QUILOMBOLA CHIFRE DE BODE;;;;-9.70369148951826;-37.3172423641544
27;ALAGOAS;AL;2706406;Pão de Açúcar;01911;1;2706406019111;COMUNIDADE QUILOMBOLA;CHIFRE DO BODE;00009;COMUNIDADE QUILOMBOLA CHIFRE DE BODE;;;01420.001613/2006-80;-9.70935936690385;-37.3169087660596
27;ALAGOAS;AL;2706406;Pão de Açúcar;01911;2;2706406019112;COMUNIDADE QUILOMBOLA;CHIFRE DO BODE;00009;COMUNIDADE QUILOMBOLA CHIFRE DE BODE;;;01420.001613/2006-80;-9.70509780612822;-37.3182561845
27;ALAGOAS;AL;2702405;Delmiro Gouveia;02156;1;2702405021561;COMUNIDADE QUILOMBOLA;CRUZ;00003;COMUNIDADE QUILOMBOLA CRUZ;;;01420.001297/2004-84;-9.4262524025;-38.089520045
27;ALAGOAS;AL;2708105;Santana do Mundaú;02645;1;2708105026451;COMUNIDADE QUILOMBOLA;FILUS;00003;COMUNIDADE QUILOMBOLA FILUS;;;01420.001612/2006-35;-9.07356128634537;-36.1467507152239
27;ALAGOAS;AL;2708105;Santana do Mundaú;02646;1;2708105026461;COMUNIDADE QUILOMBOLA;FILUS 2;00006;COMUNIDADE QUILOMBOLA FILUS 2;;;;-9.06952950718849;-36.1471242998061
27;ALAGOAS;AL;2705705;Olho d'Água das Flores;02770;2;2705705027702;COMUNIDADE QUILOMBOLA;GAMELEIRO;;;;;01420.000529/2008-19;-9.52656896209436;-37.2523673583745
