CD_UF;NM_UF;SG_UF;CD_MUNIC;NM_MUNIC;IDCQ0001;OCORRENCIA;CD_LQ;PREFIXO;NM_CQ;CD_AGLOM;NM_AGLOM;CD_TQ;NM_TQ;P_FCP;Lat_d;Long_d
13;AMAZONAS;AM;1300508;Barreirinha;00425;1;1300508004251;COMUNIDADE QUILOMBOLA;ARQJU;;;;;;-2.74187813885;-57.4287327644
13;AMAZONAS;AM;1302603;Manaus;00667;1;1302603006671;COMUNIDADE QUILOMBOLA;BARRANCO DE SÃO BENEDITO;;;;;01420.015560/2013-11;-3.12234976386;-60.0120181531
13;AMAZONAS;AM;1300508;Barreirinha;00896;1;1300508008961;COMUNIDADE QUILOMBOLA;BOA FÉ;00158;COMUNIDADE QUILOMBOLA BOA FÉ;281;RIO ANDIRÁ;01420.003753/2012-31;-2.96218044442;-57.1081676942
13;AMAZONAS;AM;1300508;Barreirinha;00897;1;1300508008971;COMUNIDADE QUILOMBOLA;BOA FÉ (IGARAPÉ CHAPELEIRO);00222;COMUNIDADE QUILOMBOLA IGARAPÉ CHAPELEIRO 13;281;RIO ANDIRÁ;;-3.05153178049995;-57.1313325160774
13;AMAZONAS;AM;1300508;Barreirinha;00925;1;1300508009251;COMUNIDADE QUILOMBOLA;BOA VISTA;00129;COMUNIDADE QUILOMBOLA IGARAPÉ SN ANDIRÁ 34;;;;-2.96061239;-57.19026599
13;AMAZONAS;AM;1300508;Barreirinha;00965;1;1300508009651;COMUNIDADE QUILOMBOLA;BOAS NOVAS;00097;COMUNIDADE QUILOMBOLA IGARAPÉ SN ANDIRÁ 1;;;;-2.94503972221;-57.1927779444
13;AMAZONAS;AM;1300508;Barreirinha;00966;1;1300508009661;COMUNIDADE QUILOMBOLA;BOAS NOVAS (IGARAPÉ DAS QUEIMADAS);00146;COMUNIDADE QUILOMBOLA IGARAPÉ SN ANDIRÁ 51;;;;-2.97662672299995;-57.2490489132629
13;AMAZONAS;AM;1300508;Barreirinha;00967;1;1300508009671;COMUNIDADE QUILOMBOLA;BOAS NOVAS (IGARAPÉ DO JAUARI);00100;COMUNIDADE QUILOMBOLA IGARAPÉ SN ANDIRÁ 5;;;;-2.95196574599995;-57.18911839733
13;AMAZONAS;AM;1300508;Barreirinha;00968;1;1300508009681;COMUNIDADE QUILOMBOLA;BOAS NOVAS (IGARAPÉ-AÇU);00092;COMUNIDADE QUILOMBOLA IGARAPÉ ANDIRÁ 4;;;;-2.94929411699994;-57.1877883727465
13;AMAZONAS;AM;1303205;Novo Airão;01264;1;1303205012641;COMUNIDADE QUILOMBOLA;CACHOEIRA;;;;;;-1.88660380554;-61.6752961391
13;AMAZONAS;AM;1300409;Barcelos;01265;1;1300409012651;COMUNIDADE QUILOMBOLA;CACHOEIRA;00143;COMUNIDADE QUILOMBOLA CACHOEIRA GRANDE;;;;-1.8836151111;-61.6780502919
13;AMAZONAS;AM;1300508;Barreirinha;02938;1;1300508029381;COMUNIDADE QUILOMBOLA;IGARAPÉ DO CURUPIRA;00204;COMUNIDADE QUILOMBOLA RIO ANDIRÁ 23;281;RIO ANDIRÁ;;-3.00318984416843;-57.119588494
