CD_UF;NM_UF;SG_UF;CD_MUNIC;NM_MUNIC;IDCQ0001;OCORRENCIA;CD_LQ;PREFIXO;NM_CQ;CD_AGLOM;NM_AGLOM;CD_TQ;NM_TQ;P_FCP;Lat_d;Long_d
16;AMAPÁ;AP;1600303;Macapá;00006;2;1600303000062;COMUNIDADE QUILOMBOLA;ABACATE DA PEDREIRA;;;;;;0.048509388570868;-51.0538630832722
16;AMAPÁ;AP;1600303;Macapá;00006;1;1600303000061;COMUNIDADE QUILOMBOLA;ABACATE DA PEDREIRA;00002;COMUNIDADE QUILOMBOLA ABACATE DA PEDREIRA;;;01420.002351/2015-61;0.270465499995;-50.9136157082
16;AMAPÁ;AP;1600303;Macapá;00261;2;1600303002612;COMUNIDADE QUILOMBOLA;AMBÉ;;;;;;0.0500115031436943;-51.0599335391122
16;AMAPÁ;AP;1600303;Macapá;00261;1;1600303002611;COMUNIDADE QUILOMBOLA;AMBÉ;00045;COMUNIDADE QUILOMBOLA AMBÉ;508;AMBE;01420.000133/2006-00;0.309977;-50.936372
16;AMAPÁ;AP;1600303;Macapá;00391;1;1600303003911;COMUNIDADE QUILOMBOLA;AREAL MATAPI;;;;;;0.259524361109;-51.1634496111
16;AMAPÁ;AP;1600279;Laranjal do Jari;00410;1;1600279004101;COMUNIDADE QUILOMBOLA;ARIRAMBA;00037;COMUNIDADE QUILOMBOLA ARIRAMBA;;;;-0.684631368011943;-51.9961036034754
16;AMAPÁ;AP;1600279;Laranjal do Jari;00458;1;1600279004581;COMUNIDADE QUILOMBOLA;ATURIA;00041;COMUNIDADE QUILOMBOLA ATURIÁ DO CAJARI;;;;-0.751593952909299;-51.9469967934145
16;AMAPÁ;AP;1600279;Laranjal do Jari;00977;1;1600279009771;COMUNIDADE QUILOMBOLA;BOCA DO BRAÇO;00036;COMUNIDADE QUILOMBOLA BOCA DO BRAÇO;;;;-0.608858820568473;-52.0604326041169
16;AMAPÁ;AP;1600303;Macapá;01451;1;1600303014511;COMUNIDADE QUILOMBOLA;CAMPINA GRANDE;;;509;CAMPINA GRANDE;01420.008998/2013-35;0.23429183333;-51.1415123055
16;AMAPÁ;AP;1600303;Macapá;01678;2;1600303016782;COMUNIDADE QUILOMBOLA;CARMO DO MARUANUM;;;;;01420.009442/2013-66;0.0539828609957549;-51.0596678327186
16;AMAPÁ;AP;1600303;Macapá;01678;1;1600303016781;COMUNIDADE QUILOMBOLA;CARMO DO MARUANUM;00036;COMUNIDADE QUILOMBOLA CARMO DO MARUANUM;510;CARMO DO MARUANUM;01420.009442/2013-66;0.182215974078276;-51.270065893714
16;AMAPÁ;AP;1600402;Mazagão;01725;1;1600402017251;COMUNIDADE QUILOMBOLA;CARVÃO;00010;COMUNIDADE QUILOMBOLA CARVÃO;;;;-0.185014111106;-51.354978861
16;AMAPÁ;AP;1600303;Macapá;01729;1;1600303017291;COMUNIDADE QUILOMBOLA;CASA GRANDE;;;;;;0.191224986108;-51.0083491668
16;AMAPÁ;AP;1600600;Santana;01929;1;1600600019291;COMUNIDADE QUILOMBOLA;CINCO CHAGAS;00005;COMUNIDADE QUILOMBOLA CINCO CHAGAS;511;CINCO CHAGAS DO MATAPI;01420.002363/2009-48;0.0204858611109;-51.2363138333
16;AMAPÁ;AP;1600279;Laranjal do Jari;01992;1;1600279019921;COMUNIDADE QUILOMBOLA;CONCEIÇÃO;00039;COMUNIDADE QUILOMBOLA CONCEIÇÃO DO MURIACÁ;;;;-0.862495361104;-51.9626623473
16;AMAPÁ;AP;1600303;Macapá;02011;1;1600303020111;COMUNIDADE QUILOMBOLA;CONCEICÃO DO MACACOARI;;;54;CONCEIÇÃO DO MACACOARI;01420.002182/2005-98;0.45720837501;-50.7591657778
16;AMAPÁ;AP;1600303;Macapá;02011;2;1600303020112;COMUNIDADE QUILOMBOLA;CONCEICÃO DO MACACOARI;;;;;01420.002182/2005-98;0.0990730555551;-51.05223525
16;AMAPÁ;AP;1600402;Mazagão;02012;2;1600402020122;COMUNIDADE QUILOMBOLA;CONCEICÃO DO MARACÁ;;;;;;-0.18058583333;-51.7356533472
16;AMAPÁ;AP;1600402;Mazagão;02012;1;1600402020121;COMUNIDADE QUILOMBOLA;CONCEICÃO DO MARACÁ;00005;COMUNIDADE QUILOMBOLA CONCEIÇÃO DO MARACÁ;514;IGARAPÉ DO LAGO DO MARACA;;-0.293573;-51.692552
16;AMAPÁ;AP;1600600;Santana;02013;1;1600600020131;COMUNIDADE QUILOMBOLA;CONCEICÃO DO MARUANUM;00011;COMUNIDADE QUILOMBOLA CONCEIÇÃO DO MARUANUM;;;;0.189643305553;-51.2908274862
16;AMAPÁ;AP;1600303;Macapá;02189;1;1600303021891;COMUNIDADE QUILOMBOLA;CUNANI;;;;;;0.0993112916661;-51.04491025
16;AMAPÁ;AP;1600204;Calçoene;02190;1;1600204021901;COMUNIDADE QUILOMBOLA;CUNANI;00004;COMUNIDADE QUILOMBOLA CUNANI;272;CUNANI;01420.000018/2005-46;2.85531793053;-51.1267954174
16;AMAPÁ;AP;1600303;Macapá;02201;3;1600303022013;COMUNIDADE QUILOMBOLA;CURIAÚ;;;;;;0.0488797701873358;-51.0587276229393
16;AMAPÁ;AP;1600303;Macapá;02201;1;1600303022011;COMUNIDADE QUILOMBOLA;CURIAÚ;00039;COMUNIDADE QUILOMBOLA DO CURIAÚ;56;CURIAÚ;08100.004127/1997-23;0.13427664878;-51.0539825415
16;AMAPÁ;AP;1600303;Macapá;02201;2;1600303022012;COMUNIDADE QUILOMBOLA;CURIAÚ;;;;;08100.004127/1997-23;0.102245388887;-51.0484054028
16;AMAPÁ;AP;1600303;Macapá;02229;1;1600303022291;COMUNIDADE QUILOMBOLA;CURRALINHO;00033;COMUNIDADE QUILOMBOLA CURRALINHO;512;CURRALINHO;01420.003000/2009-20;0.122508596962555;-51.1123766895
