CD_UF;NM_UF;SG_UF;CD_MUNIC;NM_MUNIC;IDCQ0001;OCORRENCIA;CD_LQ;PREFIXO;NM_CQ;CD_AGLOM;NM_AGLOM;CD_TQ;NM_TQ;P_FCP;Lat_d;Long_d
29;BAHIA;BA;2903003;Barra do Mendes;00007;1;2903003000071;COMUNIDADE QUILOMBOLA;ABADE;;;;;;-11.7385644583;-42.0965991116
29;BAHIA;BA;2912400;Ibipeba;00008;1;2912400000081;COMUNIDADE QUILOMBOLA;ABADE;;;;;;-11.7357934582;-42.0936808801
29;BAHIA;BA;2905800;Camamu;00012;1;2905800000121;COMUNIDADE QUILOMBOLA;ABÓBORA;;;;;;-13.9983579305;-39.2934835852
29;BAHIA;BA;2906006;Campo Formoso;00019;1;2906006000191;COMUNIDADE QUILOMBOLA;ABREUS;00010;AGRUPAMENTO QUILOMBOLA ABREUS;;;;-10.0116439721;-40.6911947758
29;BAHIA;BA;2920700;Maraú;00027;1;2920700000271;COMUNIDADE QUILOMBOLA;ACARAÍ;;;;;;-13.9027691944;-38.9567892488
29;BAHIA;BA;2905800;Camamu;00028;1;2905800000281;COMUNIDADE QUILOMBOLA;ACARAÍ;00003;COMUNIDADE QUILOMBOLA ACARAÍ;;;01420.001402/2007-28;-13.9720271681029;-39.1356547914999
29;BAHIA;BA;2921500;Monte Santo;00031;1;2921500000311;COMUNIDADE QUILOMBOLA;ACARU;;;;;;-10.2642647777;-39.3718829731
29;BAHIA;BA;2900108;Abaíra;00033;1;2900108000331;COMUNIDADE QUILOMBOLA;ACENTO;;;;;;-13.2951834303;-41.6526273526
29;BAHIA;BA;2914505;Irará;00039;1;2914505000391;COMUNIDADE QUILOMBOLA;AÇOUGUE VELHO;;;;;;-12.0179632916;-38.7792153461
29;BAHIA;BA;2928604;Santo Amaro;00048;1;2928604000481;COMUNIDADE QUILOMBOLA;ACUPE;00029;AGRUPAMENTO QUILOMBOLA ALTO DO CRUZEIRO-ACUPE;;;;-12.6656733194;-38.7489499937
29;BAHIA;BA;2904902;Cachoeira;00049;1;2904902000491;COMUNIDADE QUILOMBOLA;ACUTINGA;00005;ACUTINGA;;;01420.012864/2016-61;-12.6155335692;-38.8255272718
29;BAHIA;BA;2902005;Aracatu;00051;1;2902005000511;COMUNIDADE QUILOMBOLA;ADOBO;;;;;;-14.2895207219;-41.4013954092
29;BAHIA;BA;2918100;Jeremoabo;00052;1;2918100000521;COMUNIDADE QUILOMBOLA;ADRIANA;;;;;01420.103354/2018-64;-10.0846098471;-38.4122793241
29;BAHIA;BA;2918100;Jeremoabo;00053;1;2918100000531;COMUNIDADE QUILOMBOLA;ADRIANA E BANANEIRINHA;;;;;;-10.1046909166;-38.3779395388
29;BAHIA;BA;2904001;Boninal;00055;1;2904001000551;COMUNIDADE QUILOMBOLA;AGRESTE;;;;;;-12.7002257916;-41.8412083203
29;BAHIA;BA;2931806;Tremedal;00057;1;2931806000571;COMUNIDADE QUILOMBOLA;AGRESTE;00016;COMUNIDADE QUILOMBOLA AGRESTE;;;01420.014304/2011-37;-15.129022885;-41.4235408470884
29;BAHIA;BA;2929909;Seabra;00058;1;2929909000581;COMUNIDADE QUILOMBOLA;AGRESTE;;;174;AGRESTE;01420.001533/2005-43;-12.5260201109;-41.8866940768
29;BAHIA;BA;2931806;Tremedal;00057;2;2931806000572;COMUNIDADE QUILOMBOLA;AGRESTE;00016;COMUNIDADE QUILOMBOLA AGRESTE;;;01420.014304/2011-37;-15.1341564714;-41.4228059328
29;BAHIA;BA;2926400;Riacho de Santana;00059;1;2926400000591;COMUNIDADE QUILOMBOLA;AGRESTE;00007;COMUNIDADE QUILOMBOLA AGRESTE;;;01420.000247/2005-61;-13.8737034998;-43.2118684349
29;BAHIA;BA;2923407;Palmas de Monte Alto;00061;1;2923407000611;COMUNIDADE QUILOMBOLA;AGRESTINHO;;;;;;-14.2474053054;-43.1593610861
29;BAHIA;BA;2926400;Riacho de Santana;00062;1;2926400000621;COMUNIDADE QUILOMBOLA;AGRESTINHO;00008;COMUNIDADE QUILOMBOLA AGRESTINHO;;;01420.001845/2005-57;-13.9785738053;-43.2207099644
29;BAHIA;BA;2921401;Mirangaba;00066;1;2921401000661;COMUNIDADE QUILOMBOLA;ÁGUA BRANCA;;;;;;-10.9576700555;-40.5730916379
29;BAHIA;BA;2923407;Palmas de Monte Alto;00067;1;2923407000671;COMUNIDADE QUILOMBOLA;ÁGUA BRANCA;;;;;;-14.2604869582;-43.17107007
29;BAHIA;BA;2911303;Gentio do Ouro;00070;1;2911303000701;COMUNIDADE QUILOMBOLA;ÁGUA DOCE;;;;;01420.102372/2018-29;-11.3070966249;-42.4272102366
29;BAHIA;BA;2901205;Anagé;00072;1;2901205000721;COMUNIDADE QUILOMBOLA;ÁGUA DOCE;;;;;01420.008818/2013-15;-14.5178162777;-40.703689558
29;BAHIA;BA;2930154;Serra do Ramalho;00076;2;2930154000762;COMUNIDADE QUILOMBOLA;ÁGUA FRIA;;;;;01420.004840/2012-13;-13.2787297221;-43.5870407241
29;BAHIA;BA;2930154;Serra do Ramalho;00076;1;2930154000761;COMUNIDADE QUILOMBOLA;ÁGUA FRIA;00027;COMUNIDADE QUILOMBOLA ÁGUA FRIA;;;01420.004840/2012-13;-13.6812024347716;-43.5688605324999
29;BAHIA;BA;2919157;Lapão;00088;1;2919157000881;COMUNIDADE QUILOMBOLA;ÁGUA NOVA;;;;;;-11.4564501386;-41.8122473582
29;BAHIA;BA;2914901;Itacaré;00097;1;2914901000971;COMUNIDADE QUILOMBOLA;ÁGUA VERMELHA;;;;;01420.000438/2006-11;-14.308339;-39.105002
29;BAHIA;BA;2910859;Filadélfia;00099;1;2910859000991;COMUNIDADE QUILOMBOLA;AGUADA;00002;COMUNIDADE QUILOMBOLA AGUADA;;;;-10.6811680039899;-40.184381291
29;BAHIA;BA;2910859;Filadélfia;00099;2;2910859000992;COMUNIDADE QUILOMBOLA;AGUADA;;;;;01420.001318/2009-76;-10.6980822915;-40.1986577936
29;BAHIA;BA;2930105;Senhor do Bonfim;00103;1;2930105001031;COMUNIDADE QUILOMBOLA;ÁGUAS CLARAS;;;;;;-10.489044736;-40.1614548172
29;BAHIA;BA;2923704;Paratinga;00109;1;2923704001091;COMUNIDADE QUILOMBOLA;ÁGUAS PAULISTA;;;;;;-12.4984906111;-43.0721413056
29;BAHIA;BA;2903904;Bom Jesus da Lapa;00121;1;2903904001211;COMUNIDADE QUILOMBOLA;ALAGADIÇO;;;417;JUÁ-BANDEIRA;;-12.9260819027;-43.3040085278
29;BAHIA;BA;2922052;Mulungu do Morro;00122;1;2922052001221;COMUNIDADE QUILOMBOLA;ALAGADIÇO;00009;COMUNIDADE QUILOMBOLA ALAGADIÇO;;;;-11.9223789859;-41.5685430083
29;BAHIA;BA;2918407;Juazeiro;00124;1;2918407001241;COMUNIDADE QUILOMBOLA;ALAGADIÇO;;;;;01420.008396/2015-40;-9.47769672214;-40.5978047504
29;BAHIA;BA;2906006;Campo Formoso;00125;1;2906006001251;COMUNIDADE QUILOMBOLA;ALAGADIÇO DE LAJES DOS NEGROS;00095;COMUNIDADE QUILOMBOLA ALAGADIÇO DE  LAGE DOS NEGROS;;;;-10.1801098193;-40.9447550386
29;BAHIA;BA;2922052;Mulungu do Morro;00126;1;2922052001261;COMUNIDADE QUILOMBOLA;ALAGADIÇO II;;;;;01420.006781/2014-71;-11.9112021664;-41.580897894
29;BAHIA;BA;2918100;Jeremoabo;00128;1;2918100001281;COMUNIDADE QUILOMBOLA;ALAGOINHAS;;;;;;-10.0652515276;-38.382044956
29;BAHIA;BA;2911303;Gentio do Ouro;00130;1;2911303001301;COMUNIDADE QUILOMBOLA;ALAGOINHAS;00006;COMUNIDADE QUILOMBOLA ALAGOINHAS;;;01420.000959/2010-47;-11.653075613;-42.6836794849993
29;BAHIA;BA;2906204;Canarana;00133;1;2906204001331;COMUNIDADE QUILOMBOLA;ALDEIA;;;;;;-11.6163899721;-41.6070878388
29;BAHIA;BA;2905800;Camamu;00135;1;2905800001351;COMUNIDADE QUILOMBOLA;ALDEIA VELHA;;;;;;-13.9651001665;-39.0150939913
29;BAHIA;BA;2928307;Santanópolis;00140;1;2928307001401;COMUNIDADE QUILOMBOLA;ALECRIM;;;;;;-12.0081310831;-38.8460416027
