CD_UF;NM_UF;SG_UF;CD_MUNIC;NM_MUNIC;IDCQ0001;OCORRENCIA;CD_LQ;PREFIXO;NM_CQ;CD_AGLOM;NM_AGLOM;CD_TQ;NM_TQ;P_FCP;Lat_d;Long_d
23;CEARÁ;CE;2304236;Croatá;00002;1;2304236000021;COMUNIDADE QUILOMBOLA;3 IRMÃOS;00007;COMUNIDADE QUILOMBOLA 3 IRMÃOS;219;TRÊS IRMÃOS;;-4.43469207968259;-41.0817837249122
23;CEARÁ;CE;2313559;Tururu;00090;1;2313559000901;COMUNIDADE QUILOMBOLA;ÁGUA PRETA;00003;COMUNIDADE QUILOMBOLA ÁGUAS PRETAS;270;ÁGUA PRETA;01420.000346/2004-61;-3.61541448605;-39.394343041
23;CEARÁ;CE;2303709;Caucaia;00174;1;2303709001741;COMUNIDADE QUILOMBOLA;ALTO ALEGRE;00050;COMUNIDADE QUILOMBOLA PORTEIRAS;;;;-3.73760831942;-38.7615791393
23;CEARÁ;CE;2305233;Horizonte;00175;2;2305233001752;COMUNIDADE QUILOMBOLA;ALTO ALEGRE;00003;COMUNIDADE QUILOMBOLA ALTO DA BOA VISTA;;;01420.001078/2005-86;-4.13330766645;-38.4946463718
23;CEARÁ;CE;2305233;Horizonte;00175;1;2305233001751;COMUNIDADE QUILOMBOLA;ALTO ALEGRE;00001;COMUNIDADE QUILOMBOLA ALTO ALEGRE;259;ALTO ALEGRE;01420.001078/2005-86;-4.13835212378236;-38.4981108670245
23;CEARÁ;CE;2308906;Morrinhos;00176;1;2308906001761;COMUNIDADE QUILOMBOLA;ALTO ALEGRE;00014;COMUNIDADE QUILOMBOLA ALTO ALEGRE;;;01420.101569/2019-21;-3.25968327775;-40.1161317918
23;CEARÁ;CE;2305233;Horizonte;00181;1;2305233001811;COMUNIDADE QUILOMBOLA;ALTO BOA VISTA;;;;;;-4.12959105547;-38.4984368049
23;CEARÁ;CE;2305233;Horizonte;00230;1;2305233002301;COMUNIDADE QUILOMBOLA;ALTO ESTRELA;00004;COMUNIDADE QUILOMBOLA ALTO ESTRELA;259;ALTO ALEGRE;;-4.13967060839658;-38.4900369426436
23;CEARÁ;CE;2301703;Aurora;00335;1;2301703003351;COMUNIDADE QUILOMBOLA;ANTAS DOS LIMAS;;;;;;-7.00598234716;-38.9136363737
23;CEARÁ;CE;2311959;Salitre;00548;1;2311959005481;COMUNIDADE QUILOMBOLA;BAIXA FUNDA;00009;COMUNIDADE QUILOMBOLA BAIXA FUNDA;;;;-7.23232452463202;-40.3716703130467
23;CEARÁ;CE;2300606;Altaneira;00610;1;2300606006101;COMUNIDADE QUILOMBOLA;BANANEIRAS;00006;SÍTIO BANANEIRAS 3;;;;-6.96796763878;-39.6366050176
23;CEARÁ;CE;2300606;Altaneira;00610;2;2300606006102;COMUNIDADE QUILOMBOLA;BANANEIRAS;00003;SÍTIO BANANEIRAS 1;;;;-6.97531331939;-39.6614220979
23;CEARÁ;CE;2308351;Milhã;00657;1;2308351006571;COMUNIDADE QUILOMBOLA;BARRA JUAZEIRO;;;;;;-5.68604497216;-39.1235076673
23;CEARÁ;CE;2313203;Tamboril;00710;1;2313203007101;COMUNIDADE QUILOMBOLA;BARRIGUDA;;;;;;-4.81480245827;-40.1556253739
23;CEARÁ;CE;2309409;Novo Oriente;00713;1;2309409007131;COMUNIDADE QUILOMBOLA;BARRIGUDA;00020;COMUNIDADE QUILOMBOLA BARRIGUDA;;;01420.001795/2009-31;-5.60853979149;-40.7920916033
23;CEARÁ;CE;2309607;Pacajus;00755;1;2309607007551;COMUNIDADE QUILOMBOLA;BASE;00004;COMUNIDADE QUILOMBOLA DA BASE;259;ALTO ALEGRE;;-4.14681033697284;-38.5045146515
23;CEARÁ;CE;2309607;Pacajus;00755;2;2309607007552;COMUNIDADE QUILOMBOLA;BASE;;;259;ALTO ALEGRE;01420.001104/2006-57;-4.14866861108;-38.510955611
23;CEARÁ;CE;2309003;Mucambo;00770;1;2309003007701;COMUNIDADE QUILOMBOLA;BATOQUE;;;;;;-3.95658743053;-40.6970977357
23;CEARÁ;CE;2302305;Bela Cruz;00771;1;2302305007711;COMUNIDADE QUILOMBOLA;BATOQUE;00008;COMUNIDADE QUILOMBOLA BATOQUE;;;;-3.16976118048;-40.2860669196
23;CEARÁ;CE;2309904;Pacujá;00772;1;2309904007721;COMUNIDADE QUILOMBOLA;BATOQUE;00001;COMUNIDADE QUILOMBOLA BATOQUE;;;01420.001527/2010-53;-3.96507237996496;-40.6950266775
23;CEARÁ;CE;2302800;Canindé;00839;2;2302800008392;COMUNIDADE QUILOMBOLA;BENFICA;;;;;;-4.39572813879;-39.3692536968
23;CEARÁ;CE;2302800;Canindé;00839;1;2302800008391;COMUNIDADE QUILOMBOLA;BENFICA;00027;AGRUPAMENTO INDÍGENA BENFICA;;;;-4.39663456452945;-39.3691393865161
23;CEARÁ;CE;2308609;Monsenhor Tabosa;00950;1;2308609009501;COMUNIDADE QUILOMBOLA;BOA VISTA;;;;;01420.003842/2012-87;-4.93414503066303;-40.0235519438192
23;CEARÁ;CE;2313203;Tamboril;01011;1;2313203010111;COMUNIDADE QUILOMBOLA;BOM JARDIM;;;;;;-4.83132290274;-40.3268968606
23;CEARÁ;CE;2303709;Caucaia;01045;1;2303709010451;COMUNIDADE QUILOMBOLA;BOM SUCESSO;00050;COMUNIDADE QUILOMBOLA PORTEIRAS;;;;-3.73808831942;-38.7622891388
23;CEARÁ;CE;2309409;Novo Oriente;01049;1;2309409010491;COMUNIDADE QUILOMBOLA;BOM SUCESSO;00009;COMUNIDADE QUILOMBOLA BOM SUCESSO;;;01420.000455/2010-27;-5.68394093045;-40.8593259183
23;CEARÁ;CE;2302404;Boa Viagem;01075;1;2302404010751;COMUNIDADE QUILOMBOLA;BOQUEIRÃO;00023;COMUNIDADE QUILOMBOLA BUQUEIRÃO;;;01420.003791/2012-93;-4.97380473607;-39.95926443
23;CEARÁ;CE;2303709;Caucaia;01076;1;2303709010761;COMUNIDADE QUILOMBOLA;BOQUEIRÃO DA ARARA;00047;COMUNIDADE QUILOMBOLA BOQUEIRÃO DA ARARA;271;BOQUEIRÃO DA ARARA;;-3.73314345799994;-38.7883621619551
23;CEARÁ;CE;2303709;Caucaia;01076;2;2303709010762;COMUNIDADE QUILOMBOLA;BOQUEIRÃO DA ARARA;00054;COMUNIDADE QUILOMBOLA BOQUEIRÃO;;;01420.001103/2012-51;-3.72837631942;-38.7685126663
23;CEARÁ;CE;2303709;Caucaia;01080;1;2303709010801;COMUNIDADE QUILOMBOLA;BOQUEIRÃOZINHO;00054;COMUNIDADE QUILOMBOLA BOQUEIRÃO;;;01420.100882/2018-61;-3.72603890268;-38.7678609054
23;CEARÁ;CE;2313203;Tamboril;01157;1;2313203011571;COMUNIDADE QUILOMBOLA;BRUTOS;00022;COMUNIDADE QUILOMBOLA BRUTOS;;;01420.003085/2009-46;-4.80369972214;-40.3204704843
23;CEARÁ;CE;2301307;Araripe;01292;1;2301307012921;COMUNIDADE QUILOMBOLA;CACHOEIRINHA;00002;COMUNIDADE QUILOMBOLA CACHOEIRINHA;;;;-7.10003131936;-40.2111143497
23;CEARÁ;CE;2302206;Beberibe;01314;1;2302206013141;COMUNIDADE QUILOMBOLA;CAETANO;;;;;;-4.21821222218;-38.0744735419
23;CEARÁ;CE;2303709;Caucaia;01317;1;2303709013171;COMUNIDADE QUILOMBOLA;CAETANOS CAPUAN;00049;COMUNIDADE QUILOMBOLA CAPUAN;;;01420.008813/2011-21;-3.73197651384;-38.6969360132
23;CEARÁ;CE;2305233;Horizonte;01374;1;2305233013741;COMUNIDADE QUILOMBOLA;CAJUEIRO;;;;;;-4.13109999995;-38.4863986535
23;CEARÁ;CE;2303709;Caucaia;01420;1;2303709014201;COMUNIDADE QUILOMBOLA;CAMARA;;;;;;-3.70441823607;-38.7587024571
