CD_UF;NM_UF;SG_UF;CD_MUNIC;NM_MUNIC;IDCQ0001;OCORRENCIA;CD_LQ;PREFIXO;NM_CQ;CD_AGLOM;NM_AGLOM;CD_TQ;NM_TQ;P_FCP;Lat_d;Long_d
32;ESPÍRITO SANTO;ES;3202405;Guarapari;00233;1;3202405002331;COMUNIDADE QUILOMBOLA;ALTO IGUAPE;;;;;01420.002060/2012-21;-20.5764790137;-40.5241947345
32;ESPÍRITO SANTO;ES;3201605;Conceição da Barra;00293;1;3201605002931;COMUNIDADE QUILOMBOLA;ANGELIM;00010;COMUNIDADE QUILOMBOLA SANTANA;;;01420.002134/2006-81;-18.5651218609;-39.7533267498
32;ESPÍRITO SANTO;ES;3201605;Conceição da Barra;00293;2;3201605002932;COMUNIDADE QUILOMBOLA;ANGELIM;00010;COMUNIDADE QUILOMBOLA SANTANA;;;01420.002134/2006-81;-18.568386722;-39.7598186342
32;ESPÍRITO SANTO;ES;3201605;Conceição da Barra;00295;1;3201605002951;COMUNIDADE QUILOMBOLA;ANGELIM DISA;;;;;01420.002134/2006-81;-18.4876404303;-39.9308146799
32;ESPÍRITO SANTO;ES;3201605;Conceição da Barra;00296;2;3201605002962;COMUNIDADE QUILOMBOLA;ANGELIM I;;;;;01420.002142/2006-27;-18.4304950416;-39.7482607362
32;ESPÍRITO SANTO;ES;3201605;Conceição da Barra;00296;1;3201605002961;COMUNIDADE QUILOMBOLA;ANGELIM I;00012;COMUNIDADE QUILOMBOLA ANGELIM I;;;01420.002142/2006-27;-18.4292842221;-39.7328312478
32;ESPÍRITO SANTO;ES;3201605;Conceição da Barra;00297;1;3201605002971;COMUNIDADE QUILOMBOLA;ANGELIM II;00016;COMUNIDADE QUILOMBOLA ANGELIM II;;;01420.002134/2006-81;-18.4821023055;-39.8706045839
32;ESPÍRITO SANTO;ES;3204906;São Mateus;00298;1;3204906002981;COMUNIDADE QUILOMBOLA;ANGELIM III;;;;;01420.002134/2006-81;-18.7211853887;-39.8729226133
32;ESPÍRITO SANTO;ES;3201605;Conceição da Barra;00299;2;3201605002992;COMUNIDADE QUILOMBOLA;ANGELIM III;;;;;01420.002134/2006-81;-18.5035911248;-39.9799293492
32;ESPÍRITO SANTO;ES;3201605;Conceição da Barra;00299;1;3201605002991;COMUNIDADE QUILOMBOLA;ANGELIM III;00018;COMUNIDADE QUILOMBOLA ANGELIM III;;;01420.002134/2006-81;-18.499508776;-39.9741131197259
32;ESPÍRITO SANTO;ES;3204302;Presidente Kennedy;00437;1;3204302004371;COMUNIDADE QUILOMBOLA;ARUEIRA;;;;;;-21.151636722;-40.9741593782
32;ESPÍRITO SANTO;ES;3204906;São Mateus;00805;1;3204906008051;COMUNIDADE QUILOMBOLA;BEIRA RIO;00017;COMUNIDADE QUILOMBOLA BEIRA RIO;;;01420.002133/2006-36;-18.675196819;-40.0642675651
32;ESPÍRITO SANTO;ES;3204302;Presidente Kennedy;00891;1;3204302008911;COMUNIDADE QUILOMBOLA;BOA ESPERANÇA;00003;COMUNIDADE QUILOMBOLA BOA ESPERANÇA;;;01420.001981/2005-47;-21.1479486384;-40.9836275945
