CD_UF;NM_UF;SG_UF;CD_MUNIC;NM_MUNIC;IDCQ0001;OCORRENCIA;CD_LQ;PREFIXO;NM_CQ;CD_AGLOM;NM_AGLOM;CD_TQ;NM_TQ;P_FCP;Lat_d;Long_d
52;GOIÁS;GO;5214903;Nova Roma;00014;1;5214903000141;COMUNIDADE QUILOMBOLA;ABOBREIRA;00005;COMUNIDADE QUILOMBOLA ABOBREIRA;;;01420.001558/2007-17;-13.4502740832;-47.1049005569
52;GOIÁS;GO;5208905;Goiás;00079;1;5208905000791;COMUNIDADE QUILOMBOLA;ÁGUA LIMPA;;;;;;-15.946317361;-50.1398458337
52;GOIÁS;GO;5207535;Faina;00084;1;5207535000841;COMUNIDADE QUILOMBOLA;ÁGUA LIMPA;;;;;01420.013039/2016-84;-15.5798269699529;-50.178063000386
52;GOIÁS;GO;5222005;Vianópolis;00163;1;5222005001631;COMUNIDADE QUILOMBOLA;ALMEIDAS;;;;;;-16.7378079026;-48.4929284614
52;GOIÁS;GO;5220603;Silvânia;00164;1;5220603001641;COMUNIDADE QUILOMBOLA;ALMEIDAS;00004;COMUNIDADE QUILOMBOLA ALMEIDAS;;;01420.000522/2004-65;-16.6905616527;-48.2561049988
52;GOIÁS;GO;5220603;Silvânia;00164;2;5220603001642;COMUNIDADE QUILOMBOLA;ALMEIDAS;;;;;;-16.5854576790404;-48.3457089571433
52;GOIÁS;GO;5208905;Goiás;00221;1;5208905002211;COMUNIDADE QUILOMBOLA;ALTO DO SANTANA;;;;;01420.005751/2017-91;-15.9295785554;-50.1395042089
52;GOIÁS;GO;5217104;Piracanjuba;00271;1;5217104002711;COMUNIDADE QUILOMBOLA;ANA LAURA;;;;;01420.007528/2014-35;-17.2998263469;-49.0313126898
52;GOIÁS;GO;5203203;Barro Alto;00338;1;5203203003381;COMUNIDADE QUILOMBOLA;ANTÔNIO BORGES;;;;;01420.001174/2007-96;-14.963747597;-48.9189994132
52;GOIÁS;GO;5218300;Posse;00476;1;5218300004761;COMUNIDADE QUILOMBOLA;BACO PARI;00009;COMUNIDADE QUILOMBOLA BACO PARI RAJADO;126;BACO PARI;01420.000559/2006-55;-14.171199597;-46.4775812174
52;GOIÁS;GO;5219456;Santa Rita do Novo Destino;00595;1;5219456005951;COMUNIDADE QUILOMBOLA;BALBINO DOS SANTOS;00004;COMUNIDADE QUILOMBOLA BALBINO DOS SANTOS;;;01420.004623/2014-87;-14.9779034025;-49.0846757917
52;GOIÁS;GO;5218391;Professor Jamil;00904;1;5218391009041;COMUNIDADE QUILOMBOLA;BOA NOVA;00002;COMUNIDADE QUILOMBOLA BOA NOVA;;;01420.011634/2014-13;-17.2555522216;-49.246845061
52;GOIÁS;GO;5218391;Professor Jamil;00904;2;5218391009042;COMUNIDADE QUILOMBOLA;BOA NOVA;00002;COMUNIDADE QUILOMBOLA BOA NOVA;;;01420.011634/2014-13;-17.260576033;-49.2489054605479
52;GOIÁS;GO;5207907;Flores de Goiás;01046;1;5207907010461;COMUNIDADE QUILOMBOLA;BOM SUCESSO;;;;;;-14.5055521666;-47.0944514722
52;GOIÁS;GO;5204904;Campos Belos;01116;1;5204904011161;COMUNIDADE QUILOMBOLA;BREJÃO;;;;;01420.001212/2006-20;-12.9933146249;-46.6635043742
52;GOIÁS;GO;5218102;Portelândia;01174;1;5218102011741;COMUNIDADE QUILOMBOLA;BURACÃO;;;;;;-17.3501193192;-52.682898054
52;GOIÁS;GO;5213103;Mineiros;01175;1;5213103011751;COMUNIDADE QUILOMBOLA;BURACÃO;;;349;BURACÃO;;-17.2457946940935;-52.7857855376942
52;GOIÁS;GO;5213103;Mineiros;01175;2;5213103011752;COMUNIDADE QUILOMBOLA;BURACÃO;;;;;01420.002664/2006-29;-17.578426097;-52.54760398
52;GOIÁS;GO;5218300;Posse;01297;1;5218300012971;COMUNIDADE QUILOMBOLA;CACHOEIRINHA;;;;;01420.103541/2018-48;-14.2085277777778;-46.4348055555556
52;GOIÁS;GO;5207907;Flores de Goiás;01511;1;5207907015111;COMUNIDADE QUILOMBOLA;CANA BRAVA;00010;COMUNIDADE QUILOMBOLA CANA BRAVA;;;;-14.9760777841062;-46.6457446674963
52;GOIÁS;GO;5207907;Flores de Goiás;01511;2;5207907015112;COMUNIDADE QUILOMBOLA;CANA BRAVA;;;;;;-14.7577998886;-46.6741715522
52;GOIÁS;GO;5205521;Colinas do Sul;01591;1;5205521015911;COMUNIDADE QUILOMBOLA;CAPELA;;;;;;-14.1576594165;-48.0778115593
52;GOIÁS;GO;5205307;Cavalcante;01592;1;5205307015921;COMUNIDADE QUILOMBOLA;CAPELA;00003;COMUNIDADE QUILOMBOLA CAPELA;;;01420.000025/2017-81;-14.039723323519;-47.818266712
52;GOIÁS;GO;5205307;Cavalcante;01592;2;5205307015922;COMUNIDADE QUILOMBOLA;CAPELA;;;;;01420.000025/2017-81;-13.7974375691;-47.4429015714
52;GOIÁS;GO;5200803;Alvorada do Norte;01757;1;5200803017571;COMUNIDADE QUILOMBOLA;CASTELO;;;;;;-14.4952099999;-46.6782649861
52;GOIÁS;GO;5220686;Simolândia;01759;1;5220686017591;COMUNIDADE QUILOMBOLA;CASTELO;;;;;01420.012628/2016-45;-14.4836806388;-46.6911836776
52;GOIÁS;GO;5213087;Minaçu;01790;1;5213087017901;COMUNIDADE QUILOMBOLA;CAVALCANTE;;;;;;-13.5259868748;-48.2110592264
52;GOIÁS;GO;5205521;Colinas do Sul;01791;1;5205521017911;COMUNIDADE QUILOMBOLA;CAVALCANTE;;;;;;-14.1519217082;-48.0779486645
52;GOIÁS;GO;5213103;Mineiros;01810;1;5213103018101;COMUNIDADE QUILOMBOLA;CEDREIRO;;;;;;-17.5816164859;-52.565677626
52;GOIÁS;GO;5218102;Portelândia;01813;1;5218102018131;COMUNIDADE QUILOMBOLA;CEDRO;;;;;;-17.3493677915;-52.6821504844
52;GOIÁS;GO;5213103;Mineiros;01816;1;5213103018161;COMUNIDADE QUILOMBOLA;CEDRO;00002;COMUNIDADE QUILOMBOLA CEDRO;348;CEDRO;;-17.5835065833;-52.5869786213
52;GOIÁS;GO;5213103;Mineiros;01816;2;5213103018162;COMUNIDADE QUILOMBOLA;CEDRO;;;348;CEDRO;01420.000099/1999-01;-17.5706247428;-52.5881981645
52;GOIÁS;GO;5213103;Mineiros;01816;3;5213103018163;COMUNIDADE QUILOMBOLA;CEDRO;;;;;01420.000099/1999-01;-17.5720148884;-52.5696026269
52;GOIÁS;GO;5218102;Portelândia;01861;1;5218102018611;COMUNIDADE QUILOMBOLA;CERRADÃO;;;;;;-17.3510487637;-52.6810920301
52;GOIÁS;GO;5213509;Monte Alegre de Goiás;02033;1;5213509020331;COMUNIDADE QUILOMBOLA;CONTENDAS;;;;;;-13.432168361;-47.1938116667
52;GOIÁS;GO;5211503;Itumbiara;02084;1;5211503020841;COMUNIDADE QUILOMBOLA;CÓRREGO DO INHAMBU;;;;;;-18.3969206665;-49.2441412514
52;GOIÁS;GO;5204250;Cachoeira Dourada;02085;2;5204250020852;COMUNIDADE QUILOMBOLA;CÓRREGO DO INHAMBÚ;;;;;01420.004421/2017-88;-18.4967926386;-49.6895379621
52;GOIÁS;GO;5204250;Cachoeira Dourada;02085;1;5204250020851;COMUNIDADE QUILOMBOLA;CÓRREGO DO INHAMBÚ;;;;;01420.004421/2017-88;-18.4803864581;-49.6424813761
52;GOIÁS;GO;5204409;Caiapônia;02149;1;5204409021491;COMUNIDADE QUILOMBOLA;CRISTININHA;;;;;01420.103260/2018-95;-16.9670679023;-51.8116310172
52;GOIÁS;GO;5216908;Pilar de Goiás;02165;1;5216908021651;COMUNIDADE QUILOMBOLA;CRUZEIRO;00002;COMUNIDADE QUILOMBOLA CRUZEIRO;;;;-14.6675217083469;-49.5944593956945
52;GOIÁS;GO;5221080;Teresina de Goiás;02294;1;5221080022941;COMUNIDADE QUILOMBOLA;DIADEMA;;;124;KALUNGA;;-13.4799083748;-47.208297634
52;GOIÁS;GO;5221080;Teresina de Goiás;02335;1;5221080023351;COMUNIDADE QUILOMBOLA;EMA;;;;;;-13.7764414303;-47.2640550332
52;GOIÁS;GO;5205307;Cavalcante;02364;2;5205307023642;COMUNIDADE QUILOMBOLA;ENGENHO II;;;;;;-13.7980630969;-47.4470936629
52;GOIÁS;GO;5205307;Cavalcante;02364;1;5205307023641;COMUNIDADE QUILOMBOLA;ENGENHO II;00004;COMUNIDADE QUILOMBOLA KALUNGA ENGENHO DOIS;124;KALUNGA;;-13.5819669718;-47.471399527
52;GOIÁS;GO;5205307;Cavalcante;02364;3;5205307023643;COMUNIDADE QUILOMBOLA;ENGENHO II;;;;;;-13.7931467219;-47.4587894371
52;GOIÁS;GO;5209903;Iaciara;02480;1;5209903024801;COMUNIDADE QUILOMBOLA;EXTREMA;00005;COMUNIDADE QUILOMBOLA EXTREMA;;;01420.000935/2014-11;-14.0492399026;-46.6476401653
52;GOIÁS;GO;5214903;Nova Roma;02497;1;5214903024971;COMUNIDADE QUILOMBOLA;FAMÍLIA MAGALHAES;;;127;FAMÍLIA MAGALHÃES;01420.000121/2004-13;-13.562634861;-46.9562992778
52;GOIÁS;GO;5213509;Monte Alegre de Goiás;02524;1;5213509025241;COMUNIDADE QUILOMBOLA;FAZENDA AREIA;;;124;KALUNGA;;-13.3104194442;-47.344130603
52;GOIÁS;GO;5213509;Monte Alegre de Goiás;02542;1;5213509025421;COMUNIDADE QUILOMBOLA;FAZENDA CAROLINA;;;124;KALUNGA;;-13.2598560138;-47.2928946546
52;GOIÁS;GO;5213509;Monte Alegre de Goiás;02595;1;5213509025951;COMUNIDADE QUILOMBOLA;FAZENDA SÃO PEDRO;;;124;KALUNGA;;-13.241798736;-47.3716786835
52;GOIÁS;GO;5207907;Flores de Goiás;02671;1;5207907026711;COMUNIDADE QUILOMBOLA;FLORES DE GOIÁS;00009;COMUNIDADE QUILOMBOLA FLORES VELHA;;;;-14.4553579581;-47.0350660563
52;GOIÁS;GO;5207907;Flores de Goiás;02672;1;5207907026721;COMUNIDADE QUILOMBOLA;FLORES VELHA;00009;COMUNIDADE QUILOMBOLA FLORES VELHA;;;01420.015245/2013-86;-14.4576123469;-47.0387527926
52;GOIÁS;GO;5220009;São João d'Aliança;02702;1;5220009027021;COMUNIDADE QUILOMBOLA;FORTE;00005;COMUNIDADE QUILOMBOLA FORTE;;;01420.000288/2008-08;-14.3095442776;-47.2900419604
52;GOIÁS;GO;5215702;Palmeiras de Goiás;02819;1;5215702028191;COMUNIDADE QUILOMBOLA;GOIANINHA;;;;;01420.002366/2017-91;-16.8028782636;-49.9148262627
52;GOIÁS;GO;5206206;Cristalina;03033;1;5206206030331;COMUNIDADE QUILOMBOLA;INOCÊNCIO PEREIRA DE OLIVEIRA;;;;;01420.001463/2009-57;-16.7617188;-47.6050575
52;GOIÁS;GO;5201405;Aparecida de Goiânia;03188;1;5201405031881;COMUNIDADE QUILOMBOLA;JARDIM CASCATA;00001;COMUNIDADE QUILOMBOLA JARDIM CASCATA;;;01420.000120/2007-11;-16.8241606248;-49.3421981249
52;GOIÁS;GO;5221080;Teresina de Goiás;03190;1;5221080031901;COMUNIDADE QUILOMBOLA;JATAROBA;;;124;KALUNGA;;-13.502381861;-47.1919900561
52;GOIÁS;GO;5221601;Uruaçu;03221;1;5221601032211;COMUNIDADE QUILOMBOLA;JESUS;;;;;;-14.5310296387;-49.1320765593
52;GOIÁS;GO;5221601;Uruaçu;03237;2;5221601032372;COMUNIDADE QUILOMBOLA;JOÃO BORGES VIEIRA;;;;;01420.000011/2009-58;-14.5331278054;-49.1308252353
52;GOIÁS;GO;5221601;Uruaçu;03237;1;5221601032371;COMUNIDADE QUILOMBOLA;JOÃO BORGES VIEIRA;00002;COMUNIDADE QUILOMBOLA JOÃO BORGES VIEIRA;;;01420.000011/2009-58;-14.5369555615;-49.1149392765309
52;GOIÁS;GO;5221601;Uruaçu;03237;3;5221601032373;COMUNIDADE QUILOMBOLA;JOÃO BORGES VIEIRA;;;;;01420.000011/2009-58;-14.5377425414;-49.1281237246
52;GOIÁS;GO;5200605;Alto Paraíso de Goiás;03321;1;5200605033211;COMUNIDADE QUILOMBOLA;KALUNGA;;;;;;-14.1375027775;-47.5187176012
52;GOIÁS;GO;5214903;Nova Roma;03322;1;5214903033221;COMUNIDADE QUILOMBOLA;KALUNGA;;;;;;-13.4445046665;-47.0996703904
52;GOIÁS;GO;5213087;Minaçu;03324;1;5213087033241;COMUNIDADE QUILOMBOLA;KALUNGA;;;;;;-13.5219883885;-48.2201205557
52;GOIÁS;GO;5214606;Niquelândia;03325;1;5214606033251;COMUNIDADE QUILOMBOLA;KALUNGA;;;;;;-14.4699806388;-48.4739510843
52;GOIÁS;GO;5205521;Colinas do Sul;03327;1;5205521033271;COMUNIDADE QUILOMBOLA;KALUNGA;;;;;01420.000010/2009-11;-14.15305118;-48.0738181161
52;GOIÁS;GO;5221080;Teresina de Goiás;03328;1;5221080033281;COMUNIDADE QUILOMBOLA;KALUNGA;;;;;01420.000298/1998-11;-13.7740539996;-47.2623812089
52;GOIÁS;GO;5213509;Monte Alegre de Goiás;03329;1;5213509033291;COMUNIDADE QUILOMBOLA;KALUNGA;;;;;01420.000298/1998-11;-13.2601864304;-46.8824275087
52;GOIÁS;GO;5205307;Cavalcante;03330;1;5205307033301;COMUNIDADE QUILOMBOLA;KALUNGA;;;124;KALUNGA;01420.000298/1998-11;-13.2462118886;-47.6460376454
52;GOIÁS;GO;5221080;Teresina de Goiás;03333;1;5221080033331;COMUNIDADE QUILOMBOLA;KALUNGA RIBEIRÃO DOS BOIS;00002;COMUNIDADE QUILOMBOLA KALUNGA RIBEIRÃO DOS BOIS;124;KALUNGA;;-13.4686886116871;-47.207103843
52;GOIÁS;GO;5220157;São Luiz do Norte;03645;1;5220157036451;COMUNIDADE QUILOMBOLA;LAVRINHAS;00001;COMUNIDADE QUILOMBOLA PORTO LEUCÁDIO;;;;-14.9662209303;-49.2733786255
52;GOIÁS;GO;5213087;Minaçu;03946;1;5213087039461;COMUNIDADE QUILOMBOLA;MATA DO CAFÉ;;;;;01420.101650/2022-15;-13.5285237177111;-48.2251682989119
52;GOIÁS;GO;5205497;Cidade Ocidental;04046;1;5205497040461;COMUNIDADE QUILOMBOLA;MESQUITA;00002;COMUNIDADE QUILOMBOLA MESQUITA;128;MESQUITA;01420.000359/1998-40;-16.0877802218;-47.8775117987
