CD_UF;NM_UF;SG_UF;CD_MUNIC;NM_MUNIC;IDCQ0001;OCORRENCIA;CD_LQ;PREFIXO;NM_CQ;CD_AGLOM;NM_AGLOM;CD_TQ;NM_TQ;P_FCP;Lat_d;Long_d
21;MARANHÃO;MA;2110203;Santa Rita;00010;1;2110203000101;COMUNIDADE QUILOMBOLA;ABANA FOGO;;;;;01420.100075/2019-20;-3.24769744442;-44.1524031945
21;MARANHÃO;MA;2106805;Mirinzal;00035;1;2106805000351;COMUNIDADE QUILOMBOLA;ACHUÍ;;;;;01420.010888/2011-71;-2.06329685580314;-44.7956036062151
21;MARANHÃO;MA;2108306;Penalva;00036;1;2108306000361;COMUNIDADE QUILOMBOLA;ACHUÍ I;;;;;01420.100150/2017-91;-3.1904917083;-45.2685725837
21;MARANHÃO;MA;2108306;Penalva;00037;1;2108306000371;COMUNIDADE QUILOMBOLA;ACHUÍ II;;;;;01420.100150/2017-91;-3.18603734716;-45.2574922931
21;MARANHÃO;MA;2101202;Bacabal;00038;1;2101202000381;COMUNIDADE QUILOMBOLA;ACOCHADINHO;;;;;;-4.25067461108;-44.6730467917
21;MARANHÃO;MA;2111789;Serrano do Maranhão;00040;1;2111789000401;COMUNIDADE QUILOMBOLA;ACRE;00043;COMUNIDADE QUILOMBOLA ACRE;;;;-1.75300909721;-44.915172389
21;MARANHÃO;MA;2103703;Cururupu;00041;1;2103703000411;COMUNIDADE QUILOMBOLA;ACRE;;;;;01420.011163/2013-62;-1.82117720831;-44.8728228751
21;MARANHÃO;MA;2103703;Cururupu;00043;1;2103703000431;COMUNIDADE QUILOMBOLA;AÇUDE;;;;;;-1.81986008332;-44.8732359027
21;MARANHÃO;MA;2111789;Serrano do Maranhão;00045;1;2111789000451;COMUNIDADE QUILOMBOLA;AÇUDE;;;;;01420.007121/2011-65;-1.7360458611;-44.9718415141
21;MARANHÃO;MA;2111706;São Vicente Ferrer;00077;1;2111706000771;COMUNIDADE QUILOMBOLA;ÁGUA LIMPA;;;;;;-2.87969838884;-44.8082478185
