CD_UF;NM_UF;SG_UF;CD_MUNIC;NM_MUNIC;IDCQ0001;OCORRENCIA;CD_LQ;PREFIXO;NM_CQ;CD_AGLOM;NM_AGLOM;CD_TQ;NM_TQ;P_FCP;Lat_d;Long_d
31;MINAS GERAIS;MG;3128204;Guaraciaba;00017;1;3128204000171;COMUNIDADE QUILOMBOLA;ABRE CAMPO;00003;COMUNIDADE QUILOMBOLA ABRE CAMPO;;;;-20.530363833;-42.9794733933
31;MINAS GERAIS;MG;3106507;Berilo;00018;1;3106507000181;COMUNIDADE QUILOMBOLA;ABREU;;;;;;-16.9492376664;-42.4575911455
31;MINAS GERAIS;MG;3158953;Santana do Paraíso;00034;1;3158953000341;COMUNIDADE QUILOMBOLA;ACHADO DE CIMA;00010;COMUNIDADE QUILOMBOLA ACHADO DE CIMA;;;01420.100186/2021-51;-19.3668916668368;-42.6424890494965
31;MINAS GERAIS;MG;3134608;Jaboticatubas;00044;1;3134608000441;COMUNIDADE QUILOMBOLA;AÇUDE;00008;COMUNIDADE QUILOMBOLA AÇUDE;;;01420.000134/2006-46;-19.3505541665;-43.6551108342
31;MINAS GERAIS;MG;3162401;São João da Ponte;00056;1;3162401000561;COMUNIDADE QUILOMBOLA;AGRESTE;00004;COMUNIDADE QUILOMBOLA AGRESTE;;;01420.011139/2012-42;-15.9503399025;-43.6530067808
31;MINAS GERAIS;MG;3169901;Ubá;00064;1;3169901000641;COMUNIDADE QUILOMBOLA;AGROCERES;00009;COMUNIDADE QUILOMBOLA NAMASTÊ;;;;-21.1125992638;-42.926131681
31;MINAS GERAIS;MG;3148608;Peçanha;00069;1;3148608000691;COMUNIDADE QUILOMBOLA;ÁGUA BRANCA E JORGES;;;;;01420.100946/2017-43;-18.6420523887;-42.5200291888
31;MINAS GERAIS;MG;3106507;Berilo;00078;1;3106507000781;COMUNIDADE QUILOMBOLA;ÁGUA LIMPA;;;;;;-16.9549866802;-42.4633627674
31;MINAS GERAIS;MG;3116100;Chapada do Norte;00080;1;3116100000801;COMUNIDADE QUILOMBOLA;ÁGUA LIMPA;;;;;;-17.0484886249;-42.450486844
31;MINAS GERAIS;MG;3160207;Santo Antônio do Itambé;00081;1;3160207000811;COMUNIDADE QUILOMBOLA;ÁGUA LIMPA;;;;;;-18.4912928469;-43.1902790245
31;MINAS GERAIS;MG;3135100;Janaúba;00082;1;3135100000821;COMUNIDADE QUILOMBOLA;ÁGUA LIMPA;;;;;;-15.801276736;-43.3473561525
31;MINAS GERAIS;MG;3146206;Ouro Verde de Minas;00083;2;3146206000832;COMUNIDADE QUILOMBOLA;ÁGUA LIMPA;;;;;01420.001095/2007-85;-17.9994887637;-41.2629915321
