CD_UF;NM_UF;SG_UF;CD_MUNIC;NM_MUNIC;IDCQ0001;OCORRENCIA;CD_LQ;PREFIXO;NM_CQ;CD_AGLOM;NM_AGLOM;CD_TQ;NM_TQ;P_FCP;Lat_d;Long_d
50;MATO GROSSO DO SUL;MS;5002209;Bonito;00106;1;5002209001061;COMUNIDADE QUILOMBOLA;ÁGUAS DO RIO MIRANDA;;;;;01420.017088/2011-81;-20.7628235831;-56.0947691032
50;MATO GROSSO DO SUL;MS;5008008;Terenos;00429;1;5008008004291;COMUNIDADE QUILOMBOLA;ARQUITERC (OS PRETOS);;;;;01420.001445/2005-41;-20.254317361;-54.9047951667
50;MATO GROSSO DO SUL;MS;5008008;Terenos;00429;2;5008008004292;COMUNIDADE QUILOMBOLA;ARQUITERC (OS PRETOS);;;;;01420.001445/2005-41;-20.3073531527;-54.9260161673
50;MATO GROSSO DO SUL;MS;5005806;Nioaque;01168;1;5005806011681;COMUNIDADE QUILOMBOLA;BULHOES;;;;;01420.005327/2011-51;-21.1622447082;-55.8082934015
50;MATO GROSSO DO SUL;MS;5003207;Corumbá;01505;1;5003207015051;COMUNIDADE QUILOMBOLA;CAMPOS CORREIA;;;;;01420.010015/2012-40;-18.997602361;-57.6431464737
50;MATO GROSSO DO SUL;MS;5002704;Campo Grande;01879;1;5002704018791;COMUNIDADE QUILOMBOLA;CHÁCARA BURITI;00007;COMUNIDADE QUILOMBOLA BURITI;120;CHÁCARA BURITI;01420.001446/2005-96;-20.7418149442;-54.5317893184
50;MATO GROSSO DO SUL;MS;5004502;Itaporã;02292;1;5004502022921;COMUNIDADE QUILOMBOLA;DEZIDEIRIO FELIPE DE OLIVEIRA E PICADINHA;00005;COMUNIDADE QUILOMBOLA PICADINHA;300;PICADINHA;01420.000491/2005-23;-22.1567555554;-54.9456571636
50;MATO GROSSO DO SUL;MS;5003702;Dourados;02293;1;5003702022931;COMUNIDADE QUILOMBOLA;DEZIDEIRIO FELIPE DE OLIVEIRA E PICADINHA;;;;;01420.000491/2005-23;-22.1633848889999;-54.978684528
50;MATO GROSSO DO SUL;MS;5005806;Nioaque;02489;1;5005806024891;COMUNIDADE QUILOMBOLA;FAMÍLIA ARAÚJO;;;298;FAMÍLIAS ARAÚJO E RIBEIRO;;-21.168395111;-55.814417168
50;MATO GROSSO DO SUL;MS;5007935;Sonora;02490;1;5007935024901;COMUNIDADE QUILOMBOLA;FAMÍLIA BISPO;;;;;01420.001442/2005-16;-17.621195944;-54.9650356939999
50;MATO GROSSO DO SUL;MS;5005806;Nioaque;02491;1;5005806024911;COMUNIDADE QUILOMBOLA;FAMÍLIA CARDOSO;00020;COMUNIDADE QUILOMBOLA FAMÍLIA CARDOSO;214;FAMILIA CARDOSO;01420.002183/2005-32;-21.1798475499603;-55.8304816144501
50;MATO GROSSO DO SUL;MS;5007208;Rio Brilhante;02495;1;5007208024951;COMUNIDADE QUILOMBOLA;FAMÍLIA JARCEM;;;297;FAMÍLIA JARCEM;;-21.6081222620835;-54.9238211464522
50;MATO GROSSO DO SUL;MS;5007208;Rio Brilhante;02495;2;5007208024952;COMUNIDADE QUILOMBOLA;FAMÍLIA JARCEM;;;;;01420.000122/2007-01;-21.8098949721;-54.533308191
50;MATO GROSSO DO SUL;MS;5005806;Nioaque;02500;1;5005806025001;COMUNIDADE QUILOMBOLA;FAMÍLIA RIBEIRO;00013;COMUNIDADE QUILOMBOLA FAMÍLIA RIBEIRO;298;FAMÍLIAS ARAÚJO E RIBEIRO;;-21.168867572;-55.8158504666681
50;MATO GROSSO DO SUL;MS;5005806;Nioaque;02507;1;5005806025071;COMUNIDADE QUILOMBOLA;FAMÍLIAS ARAÚJO E RIBEIRO;00012;COMUNIDADE QUILOMBOLA FAMÍLIA ARAÚJO;298;FAMÍLIAS ARAÚJO E RIBEIRO;01420.003218/2005-51;-21.167728736;-55.8169750105
