CD_UF;NM_UF;SG_UF;CD_MUNIC;NM_MUNIC;IDCQ0001;OCORRENCIA;CD_LQ;PREFIXO;NM_CQ;CD_AGLOM;NM_AGLOM;CD_TQ;NM_TQ;P_FCP;Lat_d;Long_d
51;MATO GROSSO;MT;5107800;Santo Antônio de Leverger;00016;1;5107800000161;COMUNIDADE QUILOMBOLA;ABOLIÇÃO;;;;;;-15.7764916527;-55.587459141
51;MATO GROSSO;MT;5101704;Barra do Bugres;00071;1;5101704000711;COMUNIDADE QUILOMBOLA;ÁGUA DOCE;;;;;01420.010181/2015-99;-15.2469033055;-56.9695683335
51;MATO GROSSO;MT;5103403;Cuiabá;00073;1;5103403000731;COMUNIDADE QUILOMBOLA;ÁGUA FRIA;;;;;;-15.5400756387;-56.0703594722
51;MATO GROSSO;MT;5103007;Chapada dos Guimarães;00074;1;5103007000741;COMUNIDADE QUILOMBOLA;ÁGUA FRIA;;;;;;-15.1813129164;-55.7506704362
51;MATO GROSSO;MT;5106109;Nossa Senhora do Livramento;00095;1;5106109000951;COMUNIDADE QUILOMBOLA;ÁGUA VERMELHA;;;;;;-16.1587374999;-56.3580100027
51;MATO GROSSO;MT;5106505;Poconé;00096;1;5106505000961;COMUNIDADE QUILOMBOLA;ÁGUA VERMELHA;;;;;;-16.2647194444;-56.6415838611
51;MATO GROSSO;MT;5103403;Cuiabá;00110;1;5103403001101;COMUNIDADE QUILOMBOLA;AGUASSÚ;;;;;01420.001839/2005-08;-15.2788299169999;-56.126032611
51;MATO GROSSO;MT;5100102;Acorizal;00138;1;5100102001381;COMUNIDADE QUILOMBOLA;ALDEIAS;;;;;01420.001779/2005-15;-15.1208055555556;-56.2526388888889
51;MATO GROSSO;MT;5106505;Poconé;00366;1;5106505003661;COMUNIDADE QUILOMBOLA;ARANHA;00005;COMUNIDADE QUILOMBOLA ARANHA;;;01420.001784/2005-28;-15.8810761804;-56.7337934094
51;MATO GROSSO;MT;5103007;Chapada dos Guimarães;00406;1;5103007004061;COMUNIDADE QUILOMBOLA;ARICÁ-AÇU;;;;;01420.001831/2005-33;-15.4415277777778;-55.7379444444444
51;MATO GROSSO;MT;5106505;Poconé;00493;1;5106505004931;COMUNIDADE QUILOMBOLA;BAIA DO CAMPO;;;;;;-16.0170920138;-56.9305097207
51;MATO GROSSO;MT;5101704;Barra do Bugres;00590;1;5101704005901;COMUNIDADE QUILOMBOLA;BAIXIO;00008;COMUNIDADE QUILOMBOLA BAIXIU;;;01420.001777/2005-26;-15.332521486;-56.9982986387
51;MATO GROSSO;MT;5106505;Poconé;00687;1;5106505006871;COMUNIDADE QUILOMBOLA;BARREIRO;;;;;;-15.7433937359;-56.4902270749
51;MATO GROSSO;MT;5106109;Nossa Senhora do Livramento;00694;1;5106109006941;COMUNIDADE QUILOMBOLA;BARREIRO;;;;;01420.001829/2005-64;-15.768732486;-56.4722041688
51;MATO GROSSO;MT;5100102;Acorizal;00782;1;5100102007821;COMUNIDADE QUILOMBOLA;BAÚS;;;;;01420.001809/2005-93;-15.234614769792;-56.2941700769387
51;MATO GROSSO;MT;5105507;Vila Bela da Santíssima Trindade;00812;2;5105507008122;COMUNIDADE QUILOMBOLA;BELA COR;;;;;;-15.0059194023;-59.9480196339
51;MATO GROSSO;MT;5105507;Vila Bela da Santíssima Trindade;00812;1;5105507008121;COMUNIDADE QUILOMBOLA;BELA COR;;;;;01420.001827/2005-75;-15.0116057221;-59.9679765132
51;MATO GROSSO;MT;5105507;Vila Bela da Santíssima Trindade;00812;3;5105507008123;COMUNIDADE QUILOMBOLA;BELA COR;;;;;01420.001827/2005-75;-15.0059546664;-59.9522551016
51;MATO GROSSO;MT;5106851;Porto Estrela;00981;1;5106851009811;COMUNIDADE QUILOMBOLA;BOCAINA;;;;;01420.004705/2011-89;-15.4309955995732;-57.1910679625141
51;MATO GROSSO;MT;5106505;Poconé;00986;1;5106505009861;COMUNIDADE QUILOMBOLA;BOI DE CARRO;;;;;;-16.2520940693;-56.5942279852
51;MATO GROSSO;MT;5106109;Nossa Senhora do Livramento;01237;1;5106109012371;COMUNIDADE QUILOMBOLA;CABECEIRA DO SANTANA;;;;;01420.001810/2005-18;-15.7369085832;-56.4214775443
51;MATO GROSSO;MT;5103007;Chapada dos Guimarães;01283;1;5103007012831;COMUNIDADE QUILOMBOLA;CACHOEIRA DO BOM JARDIM;;;;;01420.001832/2005-88;-15.168540944;-55.845254222
51;MATO GROSSO;MT;5103007;Chapada dos Guimarães;01289;1;5103007012891;COMUNIDADE QUILOMBOLA;CACHOEIRA RICA;00002;COMUNIDADE QUILOMBOLA CACHOEIRA RICA;;;;-15.2692516665;-55.6111148525
51;MATO GROSSO;MT;5106505;Poconé;01333;1;5106505013331;COMUNIDADE QUILOMBOLA;CÁGADO;00004;COMUNIDADE QUILOMBOLA CANTO DO AGOSTINHO/CÁGADO;;;01420.001787/2005-61;-16.0974883332;-56.7123912399
51;MATO GROSSO;MT;5101704;Barra do Bugres;01421;1;5101704014211;COMUNIDADE QUILOMBOLA;CAMARINHA;00006;COMUNIDADE QUILOMBOLA CAMARINHA;;;;-15.3561988887211;-56.9781068575
51;MATO GROSSO;MT;5103007;Chapada dos Guimarães;01422;1;5103007014221;COMUNIDADE QUILOMBOLA;CAMBAMBÉ;;;;;01420.000049/2009-21;-15.0904909583;-55.7821884303
51;MATO GROSSO;MT;5106505;Poconé;01445;1;5106505014451;COMUNIDADE QUILOMBOLA;CAMPINA;;;;;;-15.9340869999;-56.895571001
51;MATO GROSSO;MT;5106505;Poconé;01447;1;5106505014471;COMUNIDADE QUILOMBOLA;CAMPINA DE PEDRA;;;137;CAMPINA DE PEDRA;01420.001797/2005-05;-16.0455100614;-56.8821108741
51;MATO GROSSO;MT;5102504;Cáceres;01450;1;5102504014501;COMUNIDADE QUILOMBOLA;CAMPINA GRANDE;;;;;;-15.7922766805;-57.0659581672
51;MATO GROSSO;MT;5106505;Poconé;01452;1;5106505014521;COMUNIDADE QUILOMBOLA;CAMPINA II;;;;;01420.001772/2005-01;-15.9353941665;-56.8903078217
51;MATO GROSSO;MT;5106109;Nossa Senhora do Livramento;01453;1;5106109014531;COMUNIDADE QUILOMBOLA;CAMPINA VERDE;;;;;01420.001828/2005-10;-16.2034166666667;-56.4158055555556
51;MATO GROSSO;MT;5106505;Poconé;01487;1;5106505014871;COMUNIDADE QUILOMBOLA;CAMPO LIMPO;;;;;;-15.9467086249;-56.6742292779
51;MATO GROSSO;MT;5103007;Chapada dos Guimarães;01553;1;5103007015531;COMUNIDADE QUILOMBOLA;CANSANÇÃO;;;;;01420.001840/2005-24;-15.4657777777778;-55.7455833333333
51;MATO GROSSO;MT;5106505;Poconé;01585;1;5106505015851;COMUNIDADE QUILOMBOLA;CAPÃO DE ANGICO;;;;;;-16.3023597637;-56.6100261979
51;MATO GROSSO;MT;5105507;Vila Bela da Santíssima Trindade;01587;1;5105507015871;COMUNIDADE QUILOMBOLA;CAPÃO DO NEGRO;;;;;01420.003368/2006-45;-14.9730277777778;-60.1491111111111
51;MATO GROSSO;MT;5108402;Várzea Grande;01588;1;5108402015881;COMUNIDADE QUILOMBOLA;CAPÃO DO NEGRO CRISTO REI;;;;;01420.001832/2009-10;-15.6481496386;-56.105394488
51;MATO GROSSO;MT;5106505;Poconé;01590;1;5106505015901;COMUNIDADE QUILOMBOLA;CAPÃO VERDE;;;;;01420.001771/2005-59;-15.8338730138;-56.7619712811
51;MATO GROSSO;MT;5106505;Poconé;01670;1;5106505016701;COMUNIDADE QUILOMBOLA;CARIJO;;;;;;-15.8510883888;-56.5799599722
51;MATO GROSSO;MT;5106505;Poconé;01710;1;5106505017101;COMUNIDADE QUILOMBOLA;CARRETÃO;;;;;01420.006383/2017-06;-15.9684755138;-57.1043084437
51;MATO GROSSO;MT;5105507;Vila Bela da Santíssima Trindade;01736;1;5105507017361;COMUNIDADE QUILOMBOLA;CASALVASCO;;;;;;-15.006358333;-59.9448149901
51;MATO GROSSO;MT;5103403;Cuiabá;01801;1;5103403018011;COMUNIDADE QUILOMBOLA;CAXIPÓ AÇÚ;;;;;01420.001842/2005-13;-15.6384722222222;-56.0739444444445
51;MATO GROSSO;MT;5106505;Poconé;01869;1;5106505018691;COMUNIDADE QUILOMBOLA;CÉU AZUL;;;;;01420.001782/2005-39;-15.7896363471;-56.6450143778
51;MATO GROSSO;MT;5106505;Poconé;01885;1;5106505018851;COMUNIDADE QUILOMBOLA;CHAFARIZ URUBAMA;;;;;01420.001783/2005-83;-15.8436725137;-56.9300943748
51;MATO GROSSO;MT;5102504;Cáceres;01899;1;5102504018991;COMUNIDADE QUILOMBOLA;CHAPADINHA;;;;;01420.001836/2005-66;-15.6669444444444;-57.6114166666667
51;MATO GROSSO;MT;5106505;Poconé;01914;1;5106505019141;COMUNIDADE QUILOMBOLA;CHUMBO;;;;;01420.001793/2005-19;-16.2672005415;-56.6443296275
51;MATO GROSSO;MT;5106505;Poconé;01967;1;5106505019671;COMUNIDADE QUILOMBOLA;COITINHO;;;;;01420.001775/2005-37;-15.9955157637;-56.9683444832
51;MATO GROSSO;MT;5106505;Poconé;02224;1;5106505022241;COMUNIDADE QUILOMBOLA;CURRALINHO;;;;;01420.001789/2005-51;-15.8616836526;-56.6675703066
51;MATO GROSSO;MT;5106109;Nossa Senhora do Livramento;02389;1;5106109023891;COMUNIDADE QUILOMBOLA;ENTRADA DO BANANAL;;;;;01420.001830/2005-99;-15.5861388888889;-56.3573611111111
51;MATO GROSSO;MT;5106505;Poconé;02412;1;5106505024121;COMUNIDADE QUILOMBOLA;ESPINHAL;;;;;;-16.2670386666;-56.6394132778
51;MATO GROSSO;MT;5102504;Cáceres;02481;1;5102504024811;COMUNIDADE QUILOMBOLA;EXU;;;;;01420.001835/2005-11;-15.9523611111111;-57.6608611111111
51;MATO GROSSO;MT;5106315;Novo Santo Antônio;02505;1;5106315025051;COMUNIDADE QUILOMBOLA;FAMÍLIA VIEIRA AMORIM;;;;;01420.000379/2014-83;-12.2906292221;-50.9645782659
51;MATO GROSSO;MT;5106505;Poconé;03016;1;5106505030161;COMUNIDADE QUILOMBOLA;IMBÉ;;;;;01420.001795/2005-16;-16.0334388749;-56.8911665301
51;MATO GROSSO;MT;5108402;Várzea Grande;03077;1;5108402030771;COMUNIDADE QUILOMBOLA;ITAMBÉ;;;;;;-15.6274432777;-56.1163499863
51;MATO GROSSO;MT;5103007;Chapada dos Guimarães;03078;1;5103007030781;COMUNIDADE QUILOMBOLA;ITAMBÉ;;;;;;-15.262947966751;-55.6132023315642
51;MATO GROSSO;MT;5106109;Nossa Senhora do Livramento;03128;1;5106109031281;COMUNIDADE QUILOMBOLA;JACARÉ DE CIMA;;;;;01420.001778/2005-71;-15.5506111111111;-56.7866944444444
51;MATO GROSSO;MT;5108402;Várzea Grande;03208;1;5108402032081;COMUNIDADE QUILOMBOLA;JEJUM;;;;;;-15.626561986;-56.1046654863
51;MATO GROSSO;MT;5106505;Poconé;03209;1;5106505032091;COMUNIDADE QUILOMBOLA;JEJUM;;;;;01420.001774/2005-92;-16.2669229998;-56.6469549935
51;MATO GROSSO;MT;5103007;Chapada dos Guimarães;03238;1;5103007032381;COMUNIDADE QUILOMBOLA;JOÃO CARRO;;;;;;-15.0898424997;-55.6570483136
51;MATO GROSSO;MT;5106315;Novo Santo Antônio;03362;1;5106315033621;COMUNIDADE QUILOMBOLA;LAGO BONITO;;;;;;-12.2926308193;-50.9687699821
51;MATO GROSSO;MT;5103007;Chapada dos Guimarães;03572;1;5103007035721;COMUNIDADE QUILOMBOLA;LAGOINHA DE BAIXO;00007;AGRUPAMENTO QUILOMBOLA LAGOINHA DE BAIXO;136;LAGOINHA DE BAIXO;01420.000844/2005-95;-15.3574045276;-55.550403595
51;MATO GROSSO;MT;5103007;Chapada dos Guimarães;03573;1;5103007035731;COMUNIDADE QUILOMBOLA;LAGOINHA DE CIMA;;;;;01420.000846/2005-84;-15.4567874721;-55.549989142
51;MATO GROSSO;MT;5106505;Poconé;03620;1;5106505036201;COMUNIDADE QUILOMBOLA;LARANJAL;;;332;LARANJAL;01420.001798/2005-41;-15.937187222;-56.7125590957
51;MATO GROSSO;MT;5108402;Várzea Grande;03672;1;5108402036721;COMUNIDADE QUILOMBOLA;LIVRAMENTO;;;;;;-15.6387271527;-56.1087229053
51;MATO GROSSO;MT;5105507;Vila Bela da Santíssima Trindade;03795;1;5105507037951;COMUNIDADE QUILOMBOLA;MANGA E CASALVASCO;;;;;01420.001841/2005-79;-15.0117760138;-59.9704609606
51;MATO GROSSO;MT;5106505;Poconé;03848;1;5106505038481;COMUNIDADE QUILOMBOLA;MARAVILHA;;;;;;-16.2928442499;-56.5798757645
51;MATO GROSSO;MT;5108402;Várzea Grande;03930;1;5108402039301;COMUNIDADE QUILOMBOLA;MATA CAVALO;;;;;;-15.6384032218;-56.1097973603
51;MATO GROSSO;MT;5103403;Cuiabá;03931;1;5103403039311;COMUNIDADE QUILOMBOLA;MATA CAVALO;;;;;;-15.5680765415;-56.1222103645
51;MATO GROSSO;MT;5106505;Poconé;03932;1;5106505039321;COMUNIDADE QUILOMBOLA;MATA CAVALO;;;;;;-16.2673397498;-56.6467211476
51;MATO GROSSO;MT;5106109;Nossa Senhora do Livramento;03933;1;5106109039331;COMUNIDADE QUILOMBOLA;MATA CAVALO;;;135;MATA CAVALO;01420.000586/2007-17;-15.9192812777;-56.4136932778
51;MATO GROSSO;MT;5106109;Nossa Senhora do Livramento;03933;4;5106109039334;COMUNIDADE QUILOMBOLA;MATA CAVALO;;;135;MATA CAVALO;;-15.8943545555;-56.4512549167
51;MATO GROSSO;MT;5106109;Nossa Senhora do Livramento;03934;1;5106109039341;COMUNIDADE QUILOMBOLA;MATA CAVALO - PEQUIZEIRO;;;135;MATA CAVALO;;-15.9150163194;-56.4191338472
51;MATO GROSSO;MT;5108402;Várzea Grande;03935;1;5108402039351;COMUNIDADE QUILOMBOLA;MATA CAVALO DE BAIXO;;;;;;-15.6685593331;-56.1174899323
51;MATO GROSSO;MT;5106109;Nossa Senhora do Livramento;03936;1;5106109039361;COMUNIDADE QUILOMBOLA;MATA CAVALO DE BAIXO;;;135;MATA CAVALO;01420.000586/2007-17;-15.8661849027;-56.4154356952
51;MATO GROSSO;MT;5108402;Várzea Grande;03937;1;5108402039371;COMUNIDADE QUILOMBOLA;MATA CAVALO DE CIMA;;;;;;-15.667376597;-56.1186541919
51;MATO GROSSO;MT;5106109;Nossa Senhora do Livramento;03938;1;5106109039381;COMUNIDADE QUILOMBOLA;MATA CAVALO DE CIMA;;;;;01420.000586/2007-17;-15.8105048054;-56.368034412
51;MATO GROSSO;MT;5103007;Chapada dos Guimarães;03957;1;5103007039571;COMUNIDADE QUILOMBOLA;MATA GRANDE;00006;COMUNIDADE QUILOMBOLA MATA GRANDE;;;;-15.4215915624999;-55.3826897536543
51;MATO GROSSO;MT;5106505;Poconé;04061;1;5106505040611;COMUNIDADE QUILOMBOLA;MINADOURO 2;;;;;01420.001767/2005-91;-16.0784070138;-56.5679355139
51;MATO GROSSO;MT;5102504;Cáceres;04133;1;5102504041331;COMUNIDADE QUILOMBOLA;MONJOLO;;;;;01420.001773/2005-48;-15.8019047638;-57.113964819
51;MATO GROSSO;MT;5106505;Poconé;04197;1;5106505041971;COMUNIDADE QUILOMBOLA;MORRINHOS;00003;COMUNIDADE QUILOMBOLA MORRINHOS;;;01420.001769/2005-80;-16.1713720829999;-56.443741722
51;MATO GROSSO;MT;5106505;Poconé;04197;2;5106505041972;COMUNIDADE QUILOMBOLA;MORRINHOS;;;;;01420.001769/2005-80;-16.2670904026;-56.6456125884
51;MATO GROSSO;MT;5106505;Poconé;04202;1;5106505042021;COMUNIDADE QUILOMBOLA;MORRO CORTADO;;;;;01420.001785/2005-72;-15.800293611;-56.6913813748
51;MATO GROSSO;MT;5101704;Barra do Bugres;04223;1;5101704042231;COMUNIDADE QUILOMBOLA;MORRO REDONDO;;;;;01420.001177/2007-20;-15.2984517915;-56.9400121973
51;MATO GROSSO;MT;5106109;Nossa Senhora do Livramento;04325;1;5106109043251;COMUNIDADE QUILOMBOLA;MUTUCA;;;135;MATA CAVALO;01420.000223/2006-92;-15.8721348609;-56.4252252844
51;MATO GROSSO;MT;5106505;Poconé;04366;1;5106505043661;COMUNIDADE QUILOMBOLA;NOSSA SENHORA APARECIDA DO CHUMBO;00001;COMUNIDADE QUILOMBOLA NOSSA SENHORA APARECIDA DO CHUMBO;;;;-16.048477083;-56.7223632297
51;MATO GROSSO;MT;5108402;Várzea Grande;04401;1;5108402044011;COMUNIDADE QUILOMBOLA;NOSSA SENHORA DO LIVRAMENTO;;;;;;-15.633406361;-56.1101833333
51;MATO GROSSO;MT;5106505;Poconé;04678;1;5106505046781;COMUNIDADE QUILOMBOLA;PANTANALZINHO;;;;;01420.001786/2005-17;-16.2669636664;-56.6465607601
51;MATO GROSSO;MT;5106505;Poconé;04736;1;5106505047361;COMUNIDADE QUILOMBOLA;PASSAGEM DE CARRO;;;;;01420.001796/2005-52;-15.81728125;-56.809039028
51;MATO GROSSO;MT;5106505;Poconé;04830;1;5106505048301;COMUNIDADE QUILOMBOLA;PEDRA BRANCA;;;;;;-16.0487602776;-56.5541182588
51;MATO GROSSO;MT;5106505;Poconé;04859;1;5106505048591;COMUNIDADE QUILOMBOLA;PEDRA VIVA;;;;;01420.001794/2005-63;-16.2650146109;-56.6399787893
51;MATO GROSSO;MT;5106505;Poconé;04895;1;5106505048951;COMUNIDADE QUILOMBOLA;PERAPUTANGA;;;;;;-16.2759768194;-56.6452248049
51;MATO GROSSO;MT;5102504;Cáceres;04992;1;5102504049921;COMUNIDADE QUILOMBOLA;PITA CANUDOS;;;;;01420.010591/2013-78;-16.0653616249;-57.6732428613
51;MATO GROSSO;MT;5102504;Cáceres;05081;1;5102504050811;COMUNIDADE QUILOMBOLA;PONTA DO MORRO;;;;;01420.001834/2005-77;-16.5166944444444;-58.2266666666667
51;MATO GROSSO;MT;5106109;Nossa Senhora do Livramento;05095;1;5106109050951;COMUNIDADE QUILOMBOLA;PONTE DA ESTIVA OURINHOS;;;135;MATA CAVALO;;-15.8470631944;-56.4185522508
