CD_UF;NM_UF;SG_UF;CD_MUNIC;NM_MUNIC;IDCQ0001;OCORRENCIA;CD_LQ;PREFIXO;NM_CQ;CD_AGLOM;NM_AGLOM;CD_TQ;NM_TQ;P_FCP;Lat_d;Long_d
15;PARÁ;PA;1500800;Ananindeua;00004;1;1500800000041;COMUNIDADE QUILOMBOLA;ABACATAL;00001;COMUNIDADE QUILOMBOLA ABACATAL;;;01420.011454/2012-70;-1.42288461899994;-48.367975492773
15;PARÁ;PA;1500800;Ananindeua;00005;1;1500800000051;COMUNIDADE QUILOMBOLA;ABACATAL AURÁ;00002;COMUNIDADE QUILOMBOLA ABACATAL AURÁ;53;ABACATAL-AURÁ;;-1.421954052394;-48.3502345045
15;PARÁ;PA;1500107;Abaetetuba;00009;1;1500107000091;COMUNIDADE QUILOMBOLA;ABAETE;;;;;;-1.73290002776;-48.8908205557
15;PARÁ;PA;1505304;Oriximiná;00020;1;1505304000201;COMUNIDADE QUILOMBOLA;ABUÍ;;;;;01420.008337/2011-48;-1.74523383332;-55.8595629446
15;PARÁ;PA;1505304;Oriximiná;00021;1;1505304000211;COMUNIDADE QUILOMBOLA;ABUÍ GRANDE;;;;;;-1.77318640277;-55.8546826529
15;PARÁ;PA;1505304;Oriximiná;00022;1;1505304000221;COMUNIDADE QUILOMBOLA;ABUÍ, PARANÁ ABUÍ, TAPAGEM, SAGRADO CORAÇÃO;;;;;;-1.7535285972;-55.8500742356
15;PARÁ;PA;1501204;Baião;00024;1;1501204000241;COMUNIDADE QUILOMBOLA;AÇAIZAL;;;;;;-2.8041579722;-49.668452278
15;PARÁ;PA;1505304;Oriximiná;00025;1;1505304000251;COMUNIDADE QUILOMBOLA;ACAPU;;;46;EREPECURU;01420.007674/2013-80;-1.26228727777;-56.1459905416
15;PARÁ;PA;1504703;Moju;00026;1;1504703000261;COMUNIDADE QUILOMBOLA;ACARÁ;;;;;;-1.98166902777;-48.5989850834
15;PARÁ;PA;1500107;Abaetetuba;00029;1;1500107000291;COMUNIDADE QUILOMBOLA;ACARAQUI;;;29;ALTO ITACURUÇÁ, BAIXO ITACURUÇÁ, BOM REMÉDIO;01420.008228/2012-10;-1.77776830552;-48.9062971529
15;PARÁ;PA;1502103;Cametá;00042;1;1502103000421;COMUNIDADE QUILOMBOLA;ACUÁ;;;;;;-2.42083388887;-49.5562217359
15;PARÁ;PA;1504703;Moju;00063;1;1504703000631;COMUNIDADE QUILOMBOLA;AGRICULTORES DE SÃO MANOEL;00024;COMUNIDADE QUILOMBOLA SÃO MANOEL;23;SÃO MANOEL - PA;;-1.81795199996;-48.5265985148
15;PARÁ;PA;1506302;Salvaterra;00065;1;1506302000651;COMUNIDADE QUILOMBOLA;ÁGUA BOA;00030;COMUNIDADE QUILOMBOLA AGUA BOA;;;01420.005952/2016-15;-0.849335791641;-48.5155403194
15;PARÁ;PA;1505304;Oriximiná;00075;1;1505304000751;COMUNIDADE QUILOMBOLA;ÁGUA FRIA;00019;COMUNIDADE QUILOMBOLA ÁGUA FRIA;45;ÁGUA FRIA;01420.007680/2013-37;-1.51033580554;-56.017165139
15;PARÁ;PA;1504802;Monte Alegre;00114;1;1504802001141;COMUNIDADE QUILOMBOLA;AIRI;;;;;;-1.97905319443;-54.1061408754
15;PARÁ;PA;1501105;Bagre;00116;1;1501105001161;COMUNIDADE QUILOMBOLA;AJARA;;;476;TATITUQUARA, SÃO SEBASTIÃO;01420.005379/2012-16;-2.68358548609;-49.9751858061
15;PARÁ;PA;1502103;Cametá;00117;1;1502103001171;COMUNIDADE QUILOMBOLA;AJARAPANEMA;;;;;;-2.37830486108;-49.4369123483
15;PARÁ;PA;1500107;Abaetetuba;00118;1;1500107001181;COMUNIDADE QUILOMBOLA;AJUAÍ;;;;;;-1.73450819441;-48.8910764852
15;PARÁ;PA;1505304;Oriximiná;00119;1;1505304001191;COMUNIDADE QUILOMBOLA;AJUDANTE;;;;;;-1.44397144444;-56.3681983333
15;PARÁ;PA;1504109;Magalhães Barata;00154;1;1504109001541;COMUNIDADE QUILOMBOLA;ALGODOALZINHO;;;;;;-0.751563888871;-47.638193555
15;PARÁ;PA;1501709;Bragança;00171;1;1501709001711;COMUNIDADE QUILOMBOLA;ALTO ALEGRE;;;;;;-1.28329111109;-46.9706737362
15;PARÁ;PA;1501303;Barcarena;00216;1;1501303002161;COMUNIDADE QUILOMBOLA;ALTO DO ACARÁ;;;;;01420.013418/2011-60;-1.50586003228458;-48.6183705488258
15;PARÁ;PA;1503101;Gurupá;00234;1;1503101002341;COMUNIDADE QUILOMBOLA;ALTO IPIXUNA;;;;;01420.000529/2004-87;-1.41295209721;-51.645135986
15;PARÁ;PA;1500107;Abaetetuba;00235;1;1500107002351;COMUNIDADE QUILOMBOLA;ALTO ITACURUÇÁ;00005;COMUNIDADE QUILOMBOLA ALTO ITACURUÇÁ OU SÃO ALTO;29;ALTO ITACURUÇÁ, BAIXO ITACURUÇÁ, BOM REMÉDIO;;-1.87849762494;-48.9257680293
15;PARÁ;PA;1503101;Gurupá;00244;1;1503101002441;COMUNIDADE QUILOMBOLA;ALTO PUCURUÍ;;;;;01420.000527/2004-98;-1.41050940275;-51.6454780552
15;PARÁ;PA;1501303;Barcarena;00254;1;1501303002541;COMUNIDADE QUILOMBOLA;AMARANTE;;;;;;-1.57599580553;-48.6029965975
15;PARÁ;PA;1501303;Barcarena;00262;1;1501303002621;COMUNIDADE QUILOMBOLA;AMBLA;;;;;;-1.57339222221;-48.6091847777
15;PARÁ;PA;1501709;Bragança;00268;1;1501709002681;COMUNIDADE QUILOMBOLA;AMÉRICA;00038;COMUNIDADE QUILOMBOLA AMÉRICA;;;01420.015899/2014-91;-0.989937256999951;-46.7681940638519
15;PARÁ;PA;1501709;Bragança;00268;2;1501709002682;COMUNIDADE QUILOMBOLA;AMÉRICA;;;;;01420.015899/2014-91;-0.988497944433;-46.7495507359
15;PARÁ;PA;1502103;Cametá;00280;1;1502103002801;COMUNIDADE QUILOMBOLA;ANANIN;;;;;;-2.25807104165;-49.5124719303
15;PARÁ;PA;1505106;Óbidos;00284;1;1505106002841;COMUNIDADE QUILOMBOLA;ANDIROBAL;;;;;;-1.84302954165;-55.1838266247
15;PARÁ;PA;1500107;Abaetetuba;00292;1;1500107002921;COMUNIDADE QUILOMBOLA;ANEQUARA;;;;;;-1.71229819444;-48.8795369722
15;PARÁ;PA;1501204;Baião;00327;1;1501204003271;COMUNIDADE QUILOMBOLA;ANILZINHO;;;;;;-3.22689979159;-49.7501661531
15;PARÁ;PA;1501709;Bragança;00332;1;1501709003321;COMUNIDADE QUILOMBOLA;ANOIRA DOS GAMA;;;;;;-1.30147370832;-46.9985458194
15;PARÁ;PA;1506500;Santa Izabel do Pará;00342;1;1506500003421;COMUNIDADE QUILOMBOLA;APETEUA CONCEICÃO ITA;;;;;;-1.42933383332;-48.0598131112
15;PARÁ;PA;1505106;Óbidos;00343;1;1505106003431;COMUNIDADE QUILOMBOLA;APUI;;;;;01420.012122/2014-74;-1.91353222221;-55.5200293195
15;PARÁ;PA;1505304;Oriximiná;00348;1;1505304003481;COMUNIDADE QUILOMBOLA;ARAÇÁ;00020;COMUNIDADE QUILOMBOLA ARAÇÁ;46;EREPECURU;01420.007674/2013-80;-1.16551968855467;-56.06286931
15;PARÁ;PA;1505304;Oriximiná;00353;1;1505304003531;COMUNIDADE QUILOMBOLA;ARAÇÁ DE DENTRO;00141;AGLOMERADO QUILOMBOLA ARACA DE DENTRO;46;EREPECURU;;-1.17527134721;-56.0836505973
15;PARÁ;PA;1505304;Oriximiná;00354;1;1505304003541;COMUNIDADE QUILOMBOLA;ARACA DE DENTRO II;00142;AGLOMERADO QUILOMBOLA ARACA DE DENTRO II;46;EREPECURU;;-1.17903024039142;-56.0871792988996
15;PARÁ;PA;1505304;Oriximiná;00360;2;1505304003602;COMUNIDADE QUILOMBOLA;ARACUÃ DE BAIXO;00136;COMUNIDADE QUILOMBOLA VILA DO CHICO;48;TROMBETAS;;-1.51199494444;-56.0961500833
15;PARÁ;PA;1505304;Oriximiná;00360;3;1505304003603;COMUNIDADE QUILOMBOLA;ARACUÃ DE BAIXO;;;;;;-1.74761136109;-55.8725879305
15;PARÁ;PA;1505304;Oriximiná;00360;1;1505304003601;COMUNIDADE QUILOMBOLA;ARACUÃ DE BAIXO;00021;ARACUAN DE BAIXO;48;TROMBETAS;01420.004800/2013-44;-1.51635402776;-56.0953416387
15;PARÁ;PA;1505304;Oriximiná;00361;1;1505304003611;COMUNIDADE QUILOMBOLA;ARACUÁN DE CIMA;00073;COMUNIDADE QUILOMBOLA ARACUAN DE CIMA;48;TROMBETAS;01420.004800/2013-44;-1.50509591399996;-56.1745363215567
