CD_UF;NM_UF;SG_UF;CD_MUNIC;NM_MUNIC;IDCQ0001;OCORRENCIA;CD_LQ;PREFIXO;NM_CQ;CD_AGLOM;NM_AGLOM;CD_TQ;NM_TQ;P_FCP;Lat_d;Long_d
25;PARAÍBA;PB;2516805;Triunfo;00003;1;2516805000031;COMUNIDADE QUILOMBOLA;40 NEGROS;;;;;01420.004576/2011-29;-6.57817788879;-38.5985404721
25;PARAÍBA;PB;2511905;Pitimbu;00340;1;2511905003401;COMUNIDADE QUILOMBOLA;APASA;;;;;;-7.41163398601;-34.8528372349
25;PARAÍBA;PB;2503555;Cacimbas;00357;1;2503555003571;COMUNIDADE QUILOMBOLA;ARACATI;00017;COMUNIDADE QUILOMBOLA ARACATI;;;;-7.21367607823503;-37.1676335135389
25;PARAÍBA;PB;2503555;Cacimbas;00358;2;2503555003582;COMUNIDADE QUILOMBOLA;ARAÇATI;;;;;01420.001451/2007-61;-7.21944019434;-37.1526088729
25;PARAÍBA;PB;2503407;Cacimba de Areia;00359;1;2503407003591;COMUNIDADE QUILOMBOLA;ARAÇÁTI;00006;COMUNIDADE QUILOMBOLA ARACATI;;;;-7.21407793049;-37.170897304
25;PARAÍBA;PB;2508505;Livramento;00397;1;2508505003971;COMUNIDADE QUILOMBOLA;AREIA DE VERÃO;00008;COMUNIDADE QUILOMBOLA AREIA DE VERÃO.;;;01420.001965/2008-05;-7.32540323595;-36.9576434936
25;PARAÍBA;PB;2508505;Livramento;00398;1;2508505003981;COMUNIDADE QUILOMBOLA;AREIA DE VERÃO, SUSSUARANA E VILA TEIMOSA;00001;COMUNIDADE QUILOMBOLA VILA TEIMOSA;;;01420.001965/2008-05;-7.33719054161;-36.9555441313
25;PARAÍBA;PB;2505600;Diamante;00640;1;2505600006401;COMUNIDADE QUILOMBOLA;BARRA DE OITIS;00002;COMUNIDADE QUILOMBOLA BARRA DE OITIS;;;01420.001377/2009-44;-7.39136123605;-38.3052427647
25;PARAÍBA;PB;2504801;Coremas;00677;1;2504801006771;COMUNIDADE QUILOMBOLA;BARREIRAS;;;;;01420.001197/2006-10;-7.0423849583;-38.0106688334
25;PARAÍBA;PB;2514107;São João do Tigre;01303;1;2514107013031;COMUNIDADE QUILOMBOLA;CACIMBA NOVA;00003;COMUNIDADE QUILOMBOLA CACIMBA NOVA;;;01420.100361/2017-23;-8.03180309691;-36.6871568089
25;PARAÍBA;PB;2509339;Matinhas;01336;1;2509339013361;COMUNIDADE QUILOMBOLA;CAIANA DOS CRIOLOS;00005;CAIANA DOS CRIOLOS;284;CAIANA DOS CRIOULOS;;-7.1000979086568;-35.7139097380537
25;PARAÍBA;PB;2500304;Alagoa Grande;01337;1;2500304013371;COMUNIDADE QUILOMBOLA;CAIANA DOS CRIOULOS;00005;CAIANA DOS CRIOULOS;284;CAIANA DOS CRIOULOS;01420.000267/1998-23;-7.10359011426;-35.6990404439
25;PARAÍBA;PB;2500304;Alagoa Grande;01337;2;2500304013372;COMUNIDADE QUILOMBOLA;CAIANA DOS CRIOULOS;;;;;01420.000267/1998-23;-7.05103024967;-35.6467380805
25;PARAÍBA;PB;2503555;Cacimbas;01871;2;2503555018712;COMUNIDADE QUILOMBOLA;CHÃ;;;;;;-7.21804713876;-37.1533706371
25;PARAÍBA;PB;2503555;Cacimbas;01871;1;2503555018711;COMUNIDADE QUILOMBOLA;CHÃ;00019;COMUNIDADE QUILOMOBOLA CHÃ 2;;;01420.001451/2007-61;-7.21759766661;-37.1590453047
25;PARAÍBA;PB;2503555;Cacimbas;01872;1;2503555018721;COMUNIDADE QUILOMBOLA;CHÃ 1;00018;COMUNIDADE QUILOMOBOLA CHÃ 1;;;01420.001451/2007-61;-7.21106969437;-37.1603530418
25;PARAÍBA;PB;2503308;Cachoeira dos Índios;01939;1;2503308019391;COMUNIDADE QUILOMBOLA;CIPÓ DOS MONTEIROS;;;;;;-6.9517654444;-38.7160184301
25;PARAÍBA;PB;2513901;São Bento;02037;1;2513901020371;COMUNIDADE QUILOMBOLA;CONTENDAS;;;;;01420.000835/2006-85;-6.44087036099995;-37.585662139
25;PARAÍBA;PB;2512747;Riachão;02158;1;2512747021581;COMUNIDADE QUILOMBOLA;CRUZ DA MENINA;;;;;;-6.56912205549;-35.6443664434
25;PARAÍBA;PB;2505709;Dona Inês;02159;2;2505709021592;COMUNIDADE QUILOMBOLA;CRUZ DA MENINA;;;;;01420.000632/2008-51;-6.60220187476;-35.625733407
25;PARAÍBA;PB;2505709;Dona Inês;02159;1;2505709021591;COMUNIDADE QUILOMBOLA;CRUZ DA MENINA;00003;COMUNIDADE QUILOMBOLA CRUZ DA MENINA;;;01420.000632/2008-51;-6.58878255149775;-35.632548367
25;PARAÍBA;PB;2504306;Catolé do Rocha;02230;1;2504306022301;COMUNIDADE QUILOMBOLA;CURRALINHO;;;;;01420.002858/2006-24;-6.28490208104972;-37.6111135728555
25;PARAÍBA;PB;2512101;Pombal;02267;1;2512101022671;COMUNIDADE QUILOMBOLA;DANIEL;;;;;01420.004888/2011-32;-6.7709444444;-37.7937026251
25;PARAÍBA;PB;2503555;Cacimbas;02304;1;2503555023041;COMUNIDADE QUILOMBOLA;DOIS UMBUZEIROS;;;;;;-7.20169501384;-37.1478731253
25;PARAÍBA;PB;2516607;Tavares;02308;1;2516607023081;COMUNIDADE QUILOMBOLA;DOMINGOS FERREIRA;00015;SÍTIO DOMINGOS FERREIRA;;;01420.001087/2007-39;-7.63753902756;-37.9182400925
25;PARAÍBA;PB;2512101;Pombal;02318;1;2512101023181;COMUNIDADE QUILOMBOLA;DOS BARBOSAS;;;;;01420.010112/2015-85;-6.76615275335704;-37.7889699516744
25;PARAÍBA;PB;2501104;Areia;02365;1;2501104023651;COMUNIDADE QUILOMBOLA;ENGENHO MUNDO NOVO;;;286;ENGENHO MUNDO NOVO;;-6.93853811065876;-35.6277998177748
25;PARAÍBA;PB;2501104;Areia;02365;2;2501104023652;COMUNIDADE QUILOMBOLA;ENGENHO MUNDO NOVO;;;;;01420.002234/2009-50;-6.94653023603;-35.6818089325
25;PARAÍBA;PB;2511004;Pedra Branca;02476;1;2511004024761;COMUNIDADE QUILOMBOLA;EWERTON COUTINHO - POÇO DO ANGICO;00004;COMUNIDADE QUILOMBOLA POÇO DO ANGICO;;;;-7.43598031937;-38.0727400436
25;PARAÍBA;PB;2509008;Manaíra;02684;1;2509008026841;COMUNIDADE QUILOMBOLA;FONSECA;00002;COMUNIDADE QUILOMBOLA FONSECA;503;FONSECA;01420.001449/2007-91;-7.7323687498;-38.1802156398
25;PARAÍBA;PB;2512754;Riachão do Bacamarte;02850;1;2512754028501;COMUNIDADE QUILOMBOLA;GRILO;00002;COMUNIDADE QUILOMBOLA GRILO;143;GRILO;01420.000267/2006-12;-7.22100365266;-35.6597826774
25;PARAÍBA;PB;2504603;Conde;02913;1;2504603029131;COMUNIDADE QUILOMBOLA;GURUGI;00003;AGROVILA DO PA GURUGI;;;;-7.26941024968;-34.8467764116
25;PARAÍBA;PB;2504603;Conde;02913;3;2504603029133;COMUNIDADE QUILOMBOLA;GURUGI;;;;;01420.001588/2006-34;-7.26862773606;-34.8110563479
25;PARAÍBA;PB;2504603;Conde;02913;2;2504603029132;COMUNIDADE QUILOMBOLA;GURUGI;00003;AGROVILA DO PA GURUGI;;;01420.001588/2006-34;-7.26922844438;-34.8499936127
25;PARAÍBA;PB;2504603;Conde;03044;1;2504603030441;COMUNIDADE QUILOMBOLA;IPIRANGA;00009;COMUNIDADE QUILOMBOLA DE IPIRANGA;;;;-7.2479955120687;-34.8476564538632
25;PARAÍBA;PB;2504603;Conde;03044;2;2504603030442;COMUNIDADE QUILOMBOLA;IPIRANGA;00003;AGROVILA DO PA GURUGI;;;01420.000836/2006-20;-7.26572802768;-34.8459689043
25;PARAÍBA;PB;2504306;Catolé do Rocha;03546;1;2504306035461;COMUNIDADE QUILOMBOLA;LAGOA RASA;00029;COMUNIDADE QUILOMBOLA SÍTIO LAGOA RASA;;;01420.000834/2006-31;-6.31377101384;-37.6543228051
25;PARAÍBA;PB;2515500;Serra Branca;03561;1;2515500035611;COMUNIDADE QUILOMBOLA;LAGOINHA;00003;COMUNIDADE QUILOMBOLA LAGOINHA;;;;-7.50056004934663;-36.6501677954999
25;PARAÍBA;PB;2515500;Serra Branca;03660;1;2515500036601;COMUNIDADE QUILOMBOLA;LIGEIRO DE BAIXO;;;;;01420.100550/2020-00, 01420.102103/2019-43;-7.5284580138;-36.6434775115
25;PARAÍBA;PB;2504801;Coremas;03740;1;2504801037401;COMUNIDADE QUILOMBOLA;MÃE D’AGUA;;;;;01420.001195/2006-21;-7.0198121944;-37.9801252225
25;PARAÍBA;PB;2504801;Coremas;03741;1;2504801037411;COMUNIDADE QUILOMBOLA;MÃE D'ÁGUA;00008;COMUNIDADE QUILOMBOLA VILA DA MÃE DÁGUA.;;;;-7.01688112491;-37.9870400705
