CD_UF;NM_UF;SG_UF;CD_MUNIC;NM_MUNIC;IDCQ0001;OCORRENCIA;CD_LQ;PREFIXO;NM_CQ;CD_AGLOM;NM_AGLOM;CD_TQ;NM_TQ;P_FCP;Lat_d;Long_d
26;PERNAMBUCO;PE;2603900;Carnaíba;00011;1;2603900000111;COMUNIDADE QUILOMBOLA;ABELHAS;00026;COMUNIDADE QUILOMBOLA ABELHAS;;;;-7.9155605;-37.6820041737556
26;PERNAMBUCO;PE;2605103;Custódia;00046;1;2605103000461;COMUNIDADE QUILOMBOLA;AÇUDINHO;00004;COMUNIDADE QUILOMBOLA ACUDINHO 1;;;01420.000480/2007-13;-8.01843180542;-37.6191836655
26;PERNAMBUCO;PE;2605103;Custódia;00047;1;2605103000471;COMUNIDADE QUILOMBOLA;AÇUDINHO 3;00013;COMUNIDADE QUILOMBOLA ACUDINHO 3;;;;-8.01545915;-37.6158525085444
26;PERNAMBUCO;PE;2611101;Petrolina;00054;1;2611101000541;COMUNIDADE QUILOMBOLA;AFRANTO;;;;;01420.000358/2005-77;-9.41748571281071;-40.5409514888724
26;PERNAMBUCO;PE;2604106;Caruaru;00060;1;2604106000601;COMUNIDADE QUILOMBOLA;AGRESTE DE PAU SANTO;00160;COMUNIDADE QUILOMBOLA AGRESTE DE PAU SANTO;;;;-8.34711255;-35.9025521495554
26;PERNAMBUCO;PE;2615706;Triunfo;00104;1;2615706001041;COMUNIDADE QUILOMBOLA;ÁGUAS CLARAS;;;;;01420.001742/2008-30;-7.80289277758;-38.0640817016
26;PERNAMBUCO;PE;2609808;Orocó;00107;1;2609808001071;COMUNIDADE QUILOMBOLA;ÁGUAS DO VELHO CHICO;;;;;;-8.58598526357901;-39.5030672332235
26;PERNAMBUCO;PE;2605103;Custódia;00129;1;2605103001291;COMUNIDADE QUILOMBOLA;ALAGOINHAS;00025;COMUNIDADE QUILOMBOLA SÍTIO COMISSÁRIO 1;;;;-8.06217454158;-37.6256032483
26;PERNAMBUCO;PE;2601003;Angelim;00139;1;2601003001391;COMUNIDADE QUILOMBOLA;ALDEINHA;00005;COMUNIDADE QUILOMBOLA CHAPÉU DE PALHA (2);;;;-8.93240397215;-36.2915722787
26;PERNAMBUCO;PE;2613909;Serra Talhada;00207;1;2613909002071;COMUNIDADE QUILOMBOLA;ALTO DA LUANDA;;;;;01420.013710/2014-25;-7.77206537494;-38.343516903
26;PERNAMBUCO;PE;2600500;Águas Belas;00211;1;2600500002111;COMUNIDADE QUILOMBOLA;ALTO DAS FILIPAS;00030;COMUNIDADE QUILOMBOLA MINADOR/ANGICO 2;;;;-8.99454408321;-37.0119748593
26;PERNAMBUCO;PE;2607505;Itaíba;00212;1;2607505002121;COMUNIDADE QUILOMBOLA;ALTO DE NEGRAS;;;;;;-8.98562872204;-37.4858251939
26;PERNAMBUCO;PE;2602100;Bom Conselho;00255;1;2602100002551;COMUNIDADE QUILOMBOLA;AMARGOSO;00011;COMUNIDADE QUILOMBOLA AMARGOSO;;;;-9.287177;-36.6998727643151
26;PERNAMBUCO;PE;2602100;Bom Conselho;00255;2;2602100002552;COMUNIDADE QUILOMBOLA;AMARGOSO;;;;;;-9.26559002759;-36.7063855721
26;PERNAMBUCO;PE;2613909;Serra Talhada;00260;1;2613909002601;COMUNIDADE QUILOMBOLA;AMARRADOR;;;;;;-8.05003948603;-38.4845654013
26;PERNAMBUCO;PE;2612604;Santa Maria da Boa Vista;00264;1;2612604002641;COMUNIDADE QUILOMBOLA;AMBRÓSIO;;;;;;-8.80796977773;-39.8205075692
26;PERNAMBUCO;PE;2602100;Bom Conselho;00310;1;2602100003101;COMUNIDADE QUILOMBOLA;ANGICAL DE CIMA;;;;;;-9.16845006938;-36.6776596957
26;PERNAMBUCO;PE;2614105;Sertânia;00313;1;2614105003131;COMUNIDADE QUILOMBOLA;ANGICO;00020;COMUNIDADE QUILOMBOLA ANGICO;;;;-8.32930878915978;-37.5955741817876
26;PERNAMBUCO;PE;2602100;Bom Conselho;00318;2;2602100003182;COMUNIDADE QUILOMBOLA;ANGICO;;;;;01420.000372/2005-71;-9.16598170829;-36.6773131668
26;PERNAMBUCO;PE;2602100;Bom Conselho;00318;1;2602100003181;COMUNIDADE QUILOMBOLA;ANGICO;00006;COMUNIDADE QUILOMBOLA ANGICO DE CIMA;;;01420.000372/2005-71;-9.12693506919;-36.7385021548
26;PERNAMBUCO;PE;2602100;Bom Conselho;00321;2;2602100003212;COMUNIDADE QUILOMBOLA;ANGICO DE BAIXO;;;;;;-9.17512159714;-36.6859866683
