CD_UF;NM_UF;SG_UF;CD_MUNIC;NM_MUNIC;IDCQ0001;OCORRENCIA;CD_LQ;PREFIXO;NM_CQ;CD_AGLOM;NM_AGLOM;CD_TQ;NM_TQ;P_FCP;Lat_d;Long_d
22;PIAUÍ;PI;2203750;Fartura do Piauí;00155;1;2203750001551;COMUNIDADE QUILOMBOLA;ALGODÕES;00019;COMUNIDADE QUILOMBOLA ALGODOES;;;;-9.45343469444661;-42.6717328181396
22;PIAUÍ;PI;2211357;Várzea Branca;00167;1;2211357001671;COMUNIDADE QUILOMBOLA;ALTAMIRA;;;231;LAGOAS;;-9.3599283471;-42.7955619296
22;PIAUÍ;PI;2210201;São José do Piauí;00256;1;2210201002561;COMUNIDADE QUILOMBOLA;AMARO TIMÓTEO;;;;;01420.100050/2019-26;-6.85133026377;-41.4604373045
22;PIAUÍ;PI;2210805;Simplício Mendes;00258;1;2210805002581;COMUNIDADE QUILOMBOLA;AMARRA NEGRO;;;;;;-7.86270461104;-41.9108805154
22;PIAUÍ;PI;2201556;Bela Vista do Piauí;00259;1;2201556002591;COMUNIDADE QUILOMBOLA;AMARRA NEGRO;00010;COMUNIDADE QUILOMBOLA AMARRA NEGRO;;;01420.015955/2013-14;-7.92227973592;-41.93803516
22;PIAUÍ;PI;2210706;Simões;00270;1;2210706002701;COMUNIDADE QUILOMBOLA;AMPARO;;;;;01420.006965/2010-16;-7.54232020828;-40.9288848048
22;PIAUÍ;PI;2203750;Fartura do Piauí;00300;1;2203750003001;COMUNIDADE QUILOMBOLA;ANGICAL;00012;COMUNIDADE QUILOMBOLA ANGICAL;231;LAGOAS;;-9.43396506936;-42.7481084984
22;PIAUÍ;PI;2207801;Paulistana;00303;1;2207801003031;COMUNIDADE QUILOMBOLA;ANGICAL;;;;;01420.002375/2005-49;-8.14655420829;-41.1348142637
22;PIAUÍ;PI;2209955;São João da Varjota;00304;1;2209955003041;COMUNIDADE QUILOMBOLA;ANGICAL;00014;COMUNIDADE QUILOMBOLA ANGICAL;;;01420.010410/2012-22;-6.93406106939;-41.8980490422
22;PIAUÍ;PI;2202778;Colônia do Piauí;00306;1;2202778003061;COMUNIDADE QUILOMBOLA;ANGICAL;00004;COMUNIDADE QUILOMBOLA ANGICAL;;;01420.016365/2013-09;-7.21586519421;-42.2423669898
22;PIAUÍ;PI;2202778;Colônia do Piauí;00307;1;2202778003071;COMUNIDADE QUILOMBOLA;ANGICAL 2;00021;COMUNIDADE QUILOMBOLA ANGICAL 2;;;;-7.20765044976171;-42.2400672735837
22;PIAUÍ;PI;2202778;Colônia do Piauí;00308;1;2202778003081;COMUNIDADE QUILOMBOLA;ANGICAL 3;00022;COMUNIDADE QUILOMBOLA ANGICAL 3;;;;-7.22493302046763;-42.2394829415864
22;PIAUÍ;PI;2207801;Paulistana;00309;1;2207801003091;COMUNIDADE QUILOMBOLA;ANGICAL DE BAIXO;00022;COMUNIDADE QUILOMBOLA ANGICAL DE BAIXO;;;;-8.15555770581088;-41.1001512689231
22;PIAUÍ;PI;2207801;Paulistana;00309;2;2207801003092;COMUNIDADE QUILOMBOLA;ANGICAL DE BAIXO;;;;;;-8.1447599582;-41.1355174839
22;PIAUÍ;PI;2200053;Acauã;00311;1;2200053003111;COMUNIDADE QUILOMBOLA;ANGICAL DE CIMA;00003;COMUNIDADE QUILOMBOLA ANGICAL DE CIMA;;;01420.002393/2005-21;-8.24160998595;-41.0546416479
22;PIAUÍ;PI;2205300;Jerumenha;00435;1;2205300004351;COMUNIDADE QUILOMBOLA;ARTUR PASSOS;00001;COMUNIDADE QUILOMBOLA ARTUR PASSOS;;;01420.006208/2010-34;-6.83262090965;-43.4873142158
22;PIAUÍ;PI;2202174;Campo Largo do Piauí;00440;1;2202174004401;COMUNIDADE QUILOMBOLA;ÁRVORES VERDES;00004;COMUNIDADE QUILOMBOLA VILA SÃO FRANCISCO;;;;-3.76956665273;-42.6483949856
22;PIAUÍ;PI;2209104;Santa Cruz do Piauí;00457;1;2209104004571;COMUNIDADE QUILOMBOLA;ATRÁS DA SERRA;00011;COMUNIDADE QUILOMBOLA ATRÁS DA SERRA;;;01420.010402/2012-86;-7.2538276527;-41.7749576789
22;PIAUÍ;PI;2208650;Queimada Nova;00535;1;2208650005351;COMUNIDADE QUILOMBOLA;BAIXA DA ONÇA;00004;COMUNIDADE QUILOMBOLA BAIXA DA ONÇA;;;01420.010391/2012-34;-8.40998315521206;-41.396195
