CD_UF;NM_UF;SG_UF;CD_MUNIC;NM_MUNIC;IDCQ0001;OCORRENCIA;CD_LQ;PREFIXO;NM_CQ;CD_AGLOM;NM_AGLOM;CD_TQ;NM_TQ;P_FCP;Lat_d;Long_d
41;PARANÁ;PR;4117602;Palmas;00050;1;4117602000501;COMUNIDADE QUILOMBOLA;ADELAIDE MARIA TRINDADE BATISTA;00002;COMUNIDADE QUILOMBOLA ADELAIDE MARIA TRINDADE BATISTA;;;01420.000584/2007-10;-26.462428319;-51.9669649782
41;PARANÁ;PR;4107009;Curiúva;00087;1;4107009000871;COMUNIDADE QUILOMBOLA;ÁGUA MORNA;;;160;ÁGUA MORNA;01420.001716/2005-69;-24.0378439304;-50.6005008586
41;PARANÁ;PR;4125704;São Miguel do Iguaçu;00341;1;4125704003411;COMUNIDADE QUILOMBOLA;APEPU;00005;COMUNIDADE QUILOMBOLA APEPÚ;;;01420.002002/2006-59;-25.5298833193;-54.3046983208
41;PARANÁ;PR;4103107;Bocaiúva do Sul;00395;1;4103107003951;COMUNIDADE QUILOMBOLA;AREIA BRANCA;00001;COMUNIDADE QUILOMBOLA AREIA BRANCA;;;01420.001973/2006-81;-24.9564649719;-48.5717258218
41;PARANÁ;PR;4100202;Adrianópolis;00515;1;4100202005151;COMUNIDADE QUILOMBOLA;BAIRRO CÓRREGO DO FRANCO;00008;COMUNIDADE QUILOMBOLA CÓRREGO DO FRANCO;480;CÓRREGO DO FRANCO;01420.001974/2006-26;-24.7974398191;-48.5525456882
41;PARANÁ;PR;4100202;Adrianópolis;00518;1;4100202005181;COMUNIDADE QUILOMBOLA;BAIRRO DOS ROQUE;;;;;;-24.6866309859;-48.8436700192
41;PARANÁ;PR;4109500;Guaraqueçaba;00774;1;4109500007741;COMUNIDADE QUILOMBOLA;BATUVA;;;;;01420.002039/2006-87;-25.1091783192;-48.20398309
41;PARANÁ;PR;4127965;Turvo;01448;2;4127965014482;COMUNIDADE QUILOMBOLA;CAMPINA DOS MORENOS;;;;;01420.002005/2006-92;-25.1036136943;-51.6214150969
41;PARANÁ;PR;4127965;Turvo;01448;1;4127965014481;COMUNIDADE QUILOMBOLA;CAMPINA DOS MORENOS;00003;COMUNIDADE QUILOMBOLA CAMPINA DOS MORENOS;;;01420.002005/2006-92;-25.1095479125677;-51.6203904854999
41;PARANÁ;PR;4128401;Uraí;01727;1;4128401017271;COMUNIDADE QUILOMBOLA;CASA DA QUIMBANDA;;;;;01420.101329/2020-61;-23.203692;-50.815025
41;PARANÁ;PR;4117602;Palmas;01762;1;4117602017621;COMUNIDADE QUILOMBOLA;CASTORINA MARIA DA CONCEIÇÃO;00003;COMUNIDADE QUILOMBOLA CASTORINA MARIA DA CONCEIÇÃO;;;01420.000585/2007-64;-26.478274;-51.972526
41;PARANÁ;PR;4104428;Candói;01795;1;4104428017951;COMUNIDADE QUILOMBOLA;CAVERNOSO 1;00003;COMUNIDADE QUILOMBOLA CAVERNOSO 1;;;01420.002004/2006-48;-25.4266773332;-52.0459362069
41;PARANÁ;PR;4119905;Ponta Grossa;01976;1;4119905019761;COMUNIDADE QUILOMBOLA;COLÔNIA SANTA CRUZ;;;;;01420.001638/2005-01;-25.2757055415;-50.1342054772
41;PARANÁ;PR;4109500;Guaraqueçaba;02044;1;4109500020441;COMUNIDADE QUILOMBOLA;COQUEIRO;;;;;;-25.096492972;-48.2265685715
41;PARANÁ;PR;4100202;Adrianópolis;02075;2;4100202020752;COMUNIDADE QUILOMBOLA;CÓRREGO DAS MOÇAS;;;;;01420.002300/2005-68;-24.7005286526;-48.824445509
41;PARANÁ;PR;4100202;Adrianópolis;02075;1;4100202020751;COMUNIDADE QUILOMBOLA;CÓRREGO DAS MOÇAS;00015;COMUNIDADE QUILOMBOLA CÓRREGO DAS MOÇAS;;;01420.002300/2005-68;-24.7172674329999;-48.8241110302218
41;PARANÁ;PR;4104428;Candói;02287;1;4104428022871;COMUNIDADE QUILOMBOLA;DESPRAIADO;;;;;01420.002003/2006-01;-25.6640871384;-52.161888095
41;PARANÁ;PR;4100202;Adrianópolis;02456;1;4100202024561;COMUNIDADE QUILOMBOLA;ESTREITINHO;00011;COMUNIDADE QUILOMBOLA ESTREITINHO;;;;-24.895435048604;-48.559907772
41;PARANÁ;PR;4101606;Arapoti;02506;1;4101606025061;COMUNIDADE QUILOMBOLA;FAMÍLIA XAVIER;;;;;01420.100934/2017-19;-24.1373219997;-49.8369737073
41;PARANÁ;PR;4113205;Lapa;02620;1;4113205026201;COMUNIDADE QUILOMBOLA;FEIXO;;;;;01420.002636/2006-10;-25.6872117357;-49.6358157764
41;PARANÁ;PR;4117602;Palmas;02706;1;4117602027061;COMUNIDADE QUILOMBOLA;FORTUNATO;;;;;;-26.4801725414;-51.9732244848
41;PARANÁ;PR;4121752;Reserva do Iguaçu;02728;1;4121752027281;COMUNIDADE QUILOMBOLA;FUNDÃO;;;;;;-25.8337797636;-52.0268902463
