CD_UF;NM_UF;SG_UF;CD_MUNIC;NM_MUNIC;IDCQ0001;OCORRENCIA;CD_LQ;PREFIXO;NM_CQ;CD_AGLOM;NM_AGLOM;CD_TQ;NM_TQ;P_FCP;Lat_d;Long_d
33;RIO DE JANEIRO;RJ;3301009;Campos dos Goytacazes;00152;1;3301009001521;COMUNIDADE QUILOMBOLA;ALELUIA;00034;COMUNIDADE QUILOMBOLA ALELUIA;;;01420.002155/2005-15;-21.7981552502;-41.60287576995
33;RIO DE JANEIRO;RJ;3304409;Rio Claro;00210;2;3304409002102;COMUNIDADE QUILOMBOLA;ALTO DA SERRA DO MAR;00001;COMUNIDADE QUILOMBOLA ALTO DA SERRA DO MAR;;;01420.001171/2007-52;-22.8786290930796;-44.2285966941993
33;RIO DE JANEIRO;RJ;3304409;Rio Claro;00210;1;3304409002101;COMUNIDADE QUILOMBOLA;ALTO DA SERRA DO MAR;00001;COMUNIDADE QUILOMBOLA ALTO DA SERRA DO MAR;289;ALTO DA SERRA;01420.001171/2007-52;-22.8769203713642;-44.2185708803306
33;RIO DE JANEIRO;RJ;3300704;Cabo Frio;00494;1;3300704004941;COMUNIDADE QUILOMBOLA;BAÍA FORMOSA;;;;;;-22.8373281387;-42.0119751334
33;RIO DE JANEIRO;RJ;3300233;Armação dos Búzios;00495;1;3300233004951;COMUNIDADE QUILOMBOLA;BAÍA FORMOSA;;;;;01420.012768/2011-17;-22.8110854998;-41.9769830242
33;RIO DE JANEIRO;RJ;3304755;São Francisco de Itabapoana;00719;1;3304755007191;COMUNIDADE QUILOMBOLA;BARRINHA;00011;COMUNIDADE QUILOMBOLA BARRINHA;;;01420.001799/2011-34;-21.4279805553;-41.026830104
33;RIO DE JANEIRO;RJ;3301009;Campos dos Goytacazes;00760;1;3301009007601;COMUNIDADE QUILOMBOLA;BATATAL;00036;COMUNIDADE QUILOMBOLA BATATAL;;;01420.002164/2005-14;-21.820014972;-41.63977497
33;RIO DE JANEIRO;RJ;3300225;Areal;00885;1;3300225008851;COMUNIDADE QUILOMBOLA;BOA ESPERANÇA;00004;COMUNIDADE QUILOMBOLA BOA ESPERANÇA;495;BOA ESPERANÇA;01420.015027/2012-61;-22.2282723467;-43.1626518229
33;RIO DE JANEIRO;RJ;3300704;Cabo Frio;01091;1;3300704010911;COMUNIDADE QUILOMBOLA;BOTAFOGO;00011;COMUNIDADE QUILOMBOLA BOTAFOGO;134;CAVEIRA;01420.000072/2006-72;-22.7427048778541;-42.0567105092045
33;RIO DE JANEIRO;RJ;3303807;Paraty;01257;1;3303807012571;COMUNIDADE QUILOMBOLA;CABRAL;00010;COMUNIDADE QUILOMBOLA CABRAL;130;CABRAL;01420.001169/2007-83;-23.2694692219;-44.7142817977
33;RIO DE JANEIRO;RJ;3304557;Rio de Janeiro;01325;1;3304557013251;COMUNIDADE QUILOMBOLA;CAFUNDA ASTROGILDA;00003;COMUNIDADE QUILOMBOLA CAFUNDÁ ASTROGILDA;;;01420.013635/2013-11;-22.9592535413;-43.484998012
