CD_UF;NM_UF;SG_UF;CD_MUNIC;NM_MUNIC;IDCQ0001;OCORRENCIA;CD_LQ;PREFIXO;NM_CQ;CD_AGLOM;NM_AGLOM;CD_TQ;NM_TQ;P_FCP;Lat_d;Long_d
24;RIO GRANDE DO NORTE;RN;2410108;Poço Branco;00032;2;2410108000322;COMUNIDADE QUILOMBOLA;ACAUÃ;;;197;ACAUÃ;;-5.65229463841285;-35.6873060486409
24;RIO GRANDE DO NORTE;RN;2410108;Poço Branco;00032;1;2410108000321;COMUNIDADE QUILOMBOLA;ACAUÃ;00003;COMUNIDADE QUILOMBOLA ACAUÃ;197;ACAUÃ;01420.000603/2004-65;-5.61706706937;-35.6838150286
24;RIO GRANDE DO NORTE;RN;2406155;Jundiá;00415;1;2406155004151;COMUNIDADE QUILOMBOLA;ARISCO DOS PIRES;00003;ARISCO DOS PIRES;;;01420.101391/2019-19;-6.2900973471;-35.3452891947
24;RIO GRANDE DO NORTE;RN;2409704;Pedro Avelino;00423;1;2409704004231;COMUNIDADE QUILOMBOLA;AROEIRA;00005;COMUNIDADE QUILOMBOLA AROEIRA;279;COMUNIDADE AROEIRA;01420.001965/2006-35;-5.52601020823;-36.452273975
24;RIO GRANDE DO NORTE;RN;2410207;Portalegre;00433;1;2410207004331;COMUNIDADE QUILOMBOLA;ARROJADO;;;;;;-6.02482948605;-37.9849236378
24;RIO GRANDE DO NORTE;RN;2412559;São Miguel do Gostoso;00543;1;2412559005431;COMUNIDADE QUILOMBOLA;BAIXA DO QUINQUIM;;;;;;-5.1247589305;-35.6435756949
24;RIO GRANDE DO NORTE;RN;2414407;Touros;00544;1;2414407005441;COMUNIDADE QUILOMBOLA;BAIXA DO QUINQUIM;00024;COMUNIDADE QUILOMBOLA BAIXA DO QUIM-QUIM;;;01420.001720/2010-94;-5.21784831932;-35.6162149969
24;RIO GRANDE DO NORTE;RN;2400208;Açu;00818;1;2400208008181;COMUNIDADE QUILOMBOLA;BELA VISTA PIATO;00012;BELA VISTA DO PIATÓ;;;01420.003864/2011-66;-5.52065066648;-37.0016327058
24;RIO GRANDE DO NORTE;RN;2404804;Ipueira;00921;1;2404804009211;COMUNIDADE QUILOMBOLA;BOA VISTA;;;;;;-6.81460876381;-37.1989751544
24;RIO GRANDE DO NORTE;RN;2408904;Parelhas;00926;1;2408904009261;COMUNIDADE QUILOMBOLA;BOA VISTA;;;;;;-6.67979524989;-36.6535149874
24;RIO GRANDE DO NORTE;RN;2408904;Parelhas;00957;1;2408904009571;COMUNIDADE QUILOMBOLA;BOA VISTA DOS NEGROS;00004;COMUNIDADE QUILOMBOLA BOA VISTA DOS NEGROS;194;BOA VISTA DOS NEGROS;01420.000004/2002-80;-6.62222477769;-36.6410010705
24;RIO GRANDE DO NORTE;RN;2403103;Currais Novos;01044;1;2403103010441;COMUNIDADE QUILOMBOLA;BOM SUCESSO;00005;COMUNIDADE QUILOMBOLA BOM SUCESSO;;;;-6.20752740271;-36.4796540689
24;RIO GRANDE DO NORTE;RN;2414407;Touros;01064;1;2414407010641;COMUNIDADE QUILOMBOLA;BOQUEIRÃO;00011;COMUNIDADE QUILOMBOLA BOQUEIRÃO;;;;-5.22550998607;-35.5383716658
24;RIO GRANDE DO NORTE;RN;2406502;Lagoa Nova;01180;1;2406502011801;COMUNIDADE QUILOMBOLA;BURACO DE LAGOA;;;;;;-6.10934249997;-36.54943125
24;RIO GRANDE DO NORTE;RN;2400307;Afonso Bezerra;01225;1;2400307012251;COMUNIDADE QUILOMBOLA;CABEÇA DOS MENDES;;;;;01420.001962/2017-54;-5.51976219437;-36.5178824318
24;RIO GRANDE DO NORTE;RN;2400307;Afonso Bezerra;01226;1;2400307012261;COMUNIDADE QUILOMBOLA;CABEÇA DOS MENDES, AROEIRA E CURRALINHO;;;;;01420.100359/2017-54;-5.49733681939;-36.5046146107
24;RIO GRANDE DO NORTE;RN;2411502;Santo Antônio;01366;1;2411502013661;COMUNIDADE QUILOMBOLA;CAJAZEIRAS;00004;COMUNIDADE QUILOMBOLA CAJAZEIRAS;;;01420.002881/2013-48;-6.31240488862;-35.4519229557
24;RIO GRANDE DO NORTE;RN;2401206;Arês;01508;1;2401206015081;COMUNIDADE QUILOMBOLA;CAMUCIM;00008;PATANÉ;;;;-6.17734069424;-35.1298176355
24;RIO GRANDE DO NORTE;RN;2401701;Bom Jesus;01616;1;2401701016161;COMUNIDADE QUILOMBOLA;CAPOEIRAS;;;;;;-5.98215452774;-35.5826781802
24;RIO GRANDE DO NORTE;RN;2403251;Parnamirim;01617;1;2403251016171;COMUNIDADE QUILOMBOLA;CAPOEIRAS;;;;;;-5.9304460833;-35.2567651945
