CD_UF;NM_UF;SG_UF;CD_MUNIC;NM_MUNIC;IDCQ0001;OCORRENCIA;CD_LQ;PREFIXO;NM_CQ;CD_AGLOM;NM_AGLOM;CD_TQ;NM_TQ;P_FCP;Lat_d;Long_d
43;RIO GRANDE DO SUL;RS;4306700;Dona Francisca;00023;1;4306700000231;COMUNIDADE QUILOMBOLA;ACÁCIO FLORES;00001;COMUNIDADE QUILOMBOLA ACÁCIO FLORES;;;;-29.6203660579502;-53.3548708859503
43;RIO GRANDE DO SUL;RS;4306700;Dona Francisca;00023;2;4306700000232;COMUNIDADE QUILOMBOLA;ACÁCIO FLORES;;;;;01420101559/2020-20;-29.621712083;-53.3525096008
43;RIO GRANDE DO SUL;RS;4314407;Pelotas;00153;1;4314407001531;COMUNIDADE QUILOMBOLA;ALGODÃO;00008;COMUNIDADE QUILOMBOLA ALGODÃO;;;01420.002163/2009-95;-31.3821912221;-52.4851472219
43;RIO GRANDE DO SUL;RS;4314902;Porto Alegre;00165;1;4314902001651;COMUNIDADE QUILOMBOLA;ALPES;00003;COMUNIDADE QUILOMBOLA ALPES;;;01420.001383/2004-97;-30.0921930412;-51.1936923098
43;RIO GRANDE DO SUL;RS;4314407;Pelotas;00195;1;4314407001951;COMUNIDADE QUILOMBOLA;ALTO CAIXÃO;;;;;01420.002164/2009-30;-31.4545917358;-52.500117668
43;RIO GRANDE DO SUL;RS;4314407;Pelotas;00217;1;4314407002171;COMUNIDADE QUILOMBOLA;ALTO DO CAIXÃO;00006;COMUNIDADE QUILOMBOLA ALTO DO CAIXÃO;;;;-31.454455603186;-52.498704339992
43;RIO GRANDE DO SUL;RS;4318804;São Lourenço do Sul;00218;1;4318804002181;COMUNIDADE QUILOMBOLA;ALTO DO CAIXÃO;;;;;;-31.26005;-52.32123
43;RIO GRANDE DO SUL;RS;4323002;Viamão;00281;1;4323002002811;COMUNIDADE QUILOMBOLA;ANASTÁCIA;00026;COMUNIDADE QUILOMBOLA ANASTÁCIA;354;ANASTÁCIA;;-30.0080661685437;-50.9230368228881
43;RIO GRANDE DO SUL;RS;4321352;Tavares;00282;1;4321352002821;COMUNIDADE QUILOMBOLA;ANASTÁCIA MACHADO;;;;;01420.002223/2010-11;-31.2648476387;-51.0436789369
43;RIO GRANDE DO SUL;RS;4300406;Alegrete;00319;1;4300406003191;COMUNIDADE QUILOMBOLA;ANGICO;00001;COMUNIDADE QUILOMBOLA ANGICO;;;01420.002061/2007-16;-29.451611805845;-56.1235152559999
43;RIO GRANDE DO SUL;RS;4300406;Alegrete;00319;2;4300406003192;COMUNIDADE QUILOMBOLA;ANGICO;;;;;01420.002061/2007-16;-29.5202557776;-56.1709345475
43;RIO GRANDE DO SUL;RS;4314902;Porto Alegre;00388;1;4314902003881;COMUNIDADE QUILOMBOLA;AREAL DA BARONESA;;;;;;-30.0448784998;-51.2250040146
43;RIO GRANDE DO SUL;RS;4314902;Porto Alegre;00390;1;4314902003901;COMUNIDADE QUILOMBOLA;AREAL LUIZ GUARANHA;00008;COMUNIDADE QUILOMBOLA AREAL LUIZ GUARANHA;207;AREAL LUIZ DA GUARANHA;01420.000304/2004-21;-30.0452303888;-51.2249179315
43;RIO GRANDE DO SUL;RS;4306056;Cristal;00417;1;4306056004171;COMUNIDADE QUILOMBOLA;ARMADA;00003;COMUNIDADE QUILOMBOLA ARMADA;;;;-30.9217077135307;-52.2435191393895
43;RIO GRANDE DO SUL;RS;4304507;Canguçu;00418;1;4304507004181;COMUNIDADE QUILOMBOLA;ARMADA;;;;;01420.002790/2008-45;-30.9617452498;-52.288864073
