CD_UF;NM_UF;SG_UF;CD_MUNIC;NM_MUNIC;IDCQ0001;OCORRENCIA;CD_LQ;PREFIXO;NM_CQ;CD_AGLOM;NM_AGLOM;CD_TQ;NM_TQ;P_FCP;Lat_d;Long_d
42;SANTA CATARINA;SC;4207304;Imbituba;00134;1;4207304001341;COMUNIDADE QUILOMBOLA;ALDEIA;;;;;01420.002423/2009-22;-28.1064001109;-48.6779033419
42;SANTA CATARINA;SC;4207304;Imbituba;00136;1;4207304001361;COMUNIDADE QUILOMBOLA;ALDEIA VELHA;;;;;;-28.1067984858;-48.678647369
42;SANTA CATARINA;SC;4201307;Araquari;00403;1;4201307004031;COMUNIDADE QUILOMBOLA;AREIAS PEQUENAS;;;;;01420.011208/2013-07;-26.3686587635;-48.6981982289
42;SANTA CATARINA;SC;4212650;Pescaria Brava;00666;1;4212650006661;COMUNIDADE QUILOMBOLA;BARRANCA;;;;;;-28.3596596664;-48.915735644
42;SANTA CATARINA;SC;4209102;Joinville;00791;1;4209102007911;COMUNIDADE QUILOMBOLA;BECO CAMINHO CURTO;00006;COMUNIDADE QUILOMBOLA BECO DO CAMINHO CURTO;;;01420.011206/2013-18;-26.2071948607;-48.8755189137
42;SANTA CATARINA;SC;4204178;Cerro Negro;00837;1;4204178008371;COMUNIDADE QUILOMBOLA;BENEDITOS;;;;;;-27.7367164999;-50.8700552778
42;SANTA CATARINA;SC;4209151;José Boiteux;01332;1;4209151013321;COMUNIDADE QUILOMBOLA;CAFUZA;00008;COMUNIDADE QUILOMBOLA DOS CAFUZOS;;;;-26.879721819;-49.5810160736
42;SANTA CATARINA;SC;4215703;Santo Amaro da Imperatriz;01390;1;4215703013901;COMUNIDADE QUILOMBOLA;CALDAS DO CUBATÃO;;;;;01420.000595/2010-03;-27.7230606525;-48.8109706535
42;SANTA CATARINA;SC;4212650;Pescaria Brava;01705;1;4212650017051;COMUNIDADE QUILOMBOLA;CARREIRA;;;;;;-28.3742672355;-48.9205100942
42;SANTA CATARINA;SC;4212650;Pescaria Brava;01707;1;4212650017071;COMUNIDADE QUILOMBOLA;CARREIRA SIQUEIRO;;;;;;-28.4228317082;-48.9184319319
42;SANTA CATARINA;SC;4203600;Campos Novos;02059;1;4203600020591;COMUNIDADE QUILOMBOLA;CORREDEIRA;00007;COMUNIDADE QUILOMBOLA CORREDEIRA;141;INVERNADA DOS NEGROS;;-27.500355584;-51.128665943
42;SANTA CATARINA;SC;4218400;Treze de Maio;02504;1;4218400025041;COMUNIDADE QUILOMBOLA;FAMÍLIA THOMAZ;00001;COMUNIDADE QUILOMBOLA FAMILIA THOMAZ;251;FAMILIA THOMAZ;01420.003429/2008-36;-28.5963771426;-49.1954707043
42;SANTA CATARINA;SC;4212650;Pescaria Brava;03014;1;4212650030141;COMUNIDADE QUILOMBOLA;ILHOTINHA;;;;;;-28.4147846248;-48.9321093805
42;SANTA CATARINA;SC;4203956;Capivari de Baixo;03015;1;4203956030151;COMUNIDADE QUILOMBOLA;ILHOTINHA;00002;COMUNIDADE QUILOMBOLA ILHOTINHA;;;01420.016444/2012-21;-28.4085226242;-48.9507769517
42;SANTA CATARINA;SC;4200051;Abdon Batista;03035;1;4200051030351;COMUNIDADE QUILOMBOLA;INVERNADA DOS NEGROS;;;141;INVERNADA DOS NEGROS;01420.000155/2004-08;-27.529554722;-51.0995363753
42;SANTA CATARINA;SC;4203600;Campos Novos;03036;1;4203600030361;COMUNIDADE QUILOMBOLA;INVERNADA DOS NEGROS;;;141;INVERNADA DOS NEGROS;01420.000155/2004-08;-27.5182503054;-51.1200360424
42;SANTA CATARINA;SC;4209102;Joinville;03094;1;4209102030941;COMUNIDADE QUILOMBOLA;ITAPOCU;;;;;;-26.334907111;-48.8451708611
42;SANTA CATARINA;SC;4201307;Araquari;03096;1;4201307030961;COMUNIDADE QUILOMBOLA;ITAPOCU;;;;;01420.011210/2013-78;-26.5457986801;-48.7139821811
42;SANTA CATARINA;SC;4205407;Florianópolis;04112;1;4205407041121;COMUNIDADE QUILOMBOLA;MOCOTÓ;;;;;;-27.6062378331;-48.5442823701
42;SANTA CATARINA;SC;4202008;Balneário Camboriú;04211;1;4202008042111;COMUNIDADE QUILOMBOLA;MORRO DO BOI;00001;COMUNIDADE QUILOMBOLA MORRO DO BOI;404;MORRO DO BOI;01420.003621/2008-22;-27.0443895295;-48.6000145535
42;SANTA CATARINA;SC;4205407;Florianópolis;04214;1;4205407042141;COMUNIDADE QUILOMBOLA;MORRO DO FORTUNATO;;;;;;-27.5801507776;-48.5317665853
42;SANTA CATARINA;SC;4205704;Garopaba;04215;1;4205704042151;COMUNIDADE QUILOMBOLA;MORRO DO FORTUNATO;00001;COMUNIDADE QUILOMBOLA MORRO DO FORTUNATO;;;01420.002661/2006-95;-28.0230971803;-48.66505526
42;SANTA CATARINA;SC;4213807;Praia Grande;04831;1;4213807048311;COMUNIDADE QUILOMBOLA;PEDRA BRANCA;;;;;;-29.1946973329;-49.9624718412
42;SANTA CATARINA;SC;4209102;Joinville;05547;1;4209102055471;COMUNIDADE QUILOMBOLA;RIBEIRÃO DO CUBATAO;00007;COMUNIDADE QUILOMBOLA RIBEIRÃO DO CUBATÃO;;;01420.102078/2019-06;-26.1972377776;-48.8432253768
