CD_UF;NM_UF;SG_UF;CD_MUNIC;NM_MUNIC;IDCQ0001;OCORRENCIA;CD_LQ;PREFIXO;NM_CQ;CD_AGLOM;NM_AGLOM;CD_TQ;NM_TQ;P_FCP;Lat_d;Long_d
28;SERGIPE;SE;2803500;Lagarto;00001;1;2803500000011;COMUNIDADE QUILOMBOLA;22 DE NOVEMBRO;;;;;;-10.9412705554;-37.7860389957
28;SERGIPE;SE;2802304;Frei Paulo;00123;1;2802304001231;COMUNIDADE QUILOMBOLA;ALAGADIÇO;;;;;;-10.4804858193;-37.5666541424
28;SERGIPE;SE;2805307;Pirambu;00127;1;2805307001271;COMUNIDADE QUILOMBOLA;ALAGAMAR;00002;COMUNIDADE QUILOMBOLA ALAGAMAR;452;ALAGAMAR;01420.007669/2011-13;-10.6039570414;-36.7548048978
28;SERGIPE;SE;2805307;Pirambu;00330;1;2805307003301;COMUNIDADE QUILOMBOLA;ANINGAS;00004;COMUNIDADE QUILOMBOLA ANINGAS;;;01420.000042/2012-12;-10.6696565275;-36.7852939405
28;SERGIPE;SE;2806305;Santa Luzia do Itanhy;00550;1;2806305005501;COMUNIDADE QUILOMBOLA;BAIXA FUNDA;00010;COMUNIDADE QUILOMBOLA LUZINENSES-TABOA DE BAIXO;170;LUZIENSE;;-11.4349922568;-37.4703903975
28;SERGIPE;SE;2806305;Santa Luzia do Itanhy;00983;1;2806305009831;COMUNIDADE QUILOMBOLA;BODE;00010;COMUNIDADE QUILOMBOLA LUZINENSES-TABOA DE BAIXO;170;LUZIENSE;01420.001359/2005-39;-11.4141182429;-37.4469488414
28;SERGIPE;SE;2802700;Ilha das Flores;01061;2;2802700010612;COMUNIDADE QUILOMBOLA;BONGUE;;;502;BONGUE;;-10.4386494453001;-36.5266030555556
28;SERGIPE;SE;2802700;Ilha das Flores;01061;1;2802700010611;COMUNIDADE QUILOMBOLA;BONGUE;;;;;01420.005406/2011-61;-10.4362221248;-36.5335684371
28;SERGIPE;SE;2800704;Brejo Grande;01119;1;2800704011191;COMUNIDADE QUILOMBOLA;BREJÃO DOS NEGROS;00002;COMUNIDADE QUILOMBOLA BREJO DOS NEGROS;;;01420.000839/2006-63;-10.4683616526;-36.4829239046
28;SERGIPE;SE;2807105;Simão Dias;01151;1;2807105011511;COMUNIDADE QUILOMBOLA;BRINQUINHO;;;;;;-10.7398270693;-37.8876227061
28;SERGIPE;SE;2803500;Lagarto;01248;1;2803500012481;COMUNIDADE QUILOMBOLA;CABOCLO;00032;AGROVILA DO P.A. CABOCLO;;;;-10.945334960223;-37.7548509169732
28;SERGIPE;SE;2802809;Indiaroba;01364;1;2802809013641;COMUNIDADE QUILOMBOLA;CAJAZEIRAS;;;;;;-11.4312387221;-37.4133814067
28;SERGIPE;SE;2806305;Santa Luzia do Itanhy;01367;1;2806305013671;COMUNIDADE QUILOMBOLA;CAJAZEIRAS;00006;COMUNIDADE QUILOMBOLA LUZINENSES-CAJAZEIRAS;170;LUZIENSE;01420.001359/2005-39;-11.4312502499;-37.4556209883
28;SERGIPE;SE;2802700;Ilha das Flores;01386;1;2802700013861;COMUNIDADE QUILOMBOLA;CAJUIPE;;;478;CAJUÍPE;;-10.4388084722222;-36.4992025683183
28;SERGIPE;SE;2801306;Capela;01459;1;2801306014591;COMUNIDADE QUILOMBOLA;CAMPINHO;;;;;;-10.5502467082;-37.0063192813
28;SERGIPE;SE;2803500;Lagarto;01475;1;2803500014751;COMUNIDADE QUILOMBOLA;CAMPO DO CRIOULO;00004;COMUNIDADE QUILOMBOLA CAMPO DO CRIOULO;;;01420.011413/2014-45;-10.9817042637;-37.7691043683
28;SERGIPE;SE;2801306;Capela;01556;1;2801306015561;COMUNIDADE QUILOMBOLA;CANTA GALO;00005;COMUNIDADE QUILOMBOLA CANTA GALO I;;;01420.007670/2011-30;-10.5330747498;-37.012443895
28;SERGIPE;SE;2801108;Canhoba;01628;1;2801108016281;COMUNIDADE QUILOMBOLA;CARAÍBAS;00004;COMUNIDADE QUILOMBOLA CARAÍBAS;166;CARAIBA;;-10.226643597;-36.9576608047
28;SERGIPE;SE;2806909;São Francisco;01629;1;2806909016291;COMUNIDADE QUILOMBOLA;CARAÍBAS;;;;;;-10.3522491249;-36.8804639414
28;SERGIPE;SE;2800209;Aquidabã;01632;1;2800209016321;COMUNIDADE QUILOMBOLA;CARAÍBAS;00047;COMUNIDADE QUILOMBOLA CARAÍBAS;166;CARAIBA;01420.001866/2005-72;-10.2347172356372;-36.963646309
28;SERGIPE;SE;2800704;Brejo Grande;01650;1;2800704016501;COMUNIDADE QUILOMBOLA;CARAPITANGA;00005;CARAPITANGA;327;BREJO DOS NEGROS;;-10.5087824443;-36.4952125174
28;SERGIPE;SE;2807204;Siriri;01745;1;2807204017451;COMUNIDADE QUILOMBOLA;CASTANHAL;00001;COMUNIDADE QUILOMBOLA CASTANHAL;;;01420.004430/2013-45;-10.6004349026;-37.0801057187
28;SERGIPE;SE;2804458;Nossa Senhora Aparecida;01780;1;2804458017801;COMUNIDADE QUILOMBOLA;CATUABO;00004;COMUNIDADE QUILOMBOLA CATUABO;167;CATUABO;;-10.4591623193;-37.5460576504
28;SERGIPE;SE;2802304;Frei Paulo;01781;1;2802304017811;COMUNIDADE QUILOMBOLA;CATUABO;00004;COMUNIDADE QUILOMBOLA CATUABO;167;CATUABO;01420.001207/2006-17;-10.4619730175;-37.5509861878561
28;SERGIPE;SE;2806305;Santa Luzia do Itanhy;02139;1;2806305021391;COMUNIDADE QUILOMBOLA;CRASTO;00001;COMUNIDADE QUILOMBOLA LUZINENSES-CRASTO;170;LUZIENSE;01420.001359/2005-39;-11.3967982498;-37.4130504025
28;SERGIPE;SE;2803500;Lagarto;02144;2;2803500021442;COMUNIDADE QUILOMBOLA;CRIOULO;;;;;01420.011413/2014-45;-10.9931169305;-37.7469046804
28;SERGIPE;SE;2803500;Lagarto;02144;1;2803500021441;COMUNIDADE QUILOMBOLA;CRIOULO;00028;COMUNIDADE QUILOMBOLA CRIOULO;;;01420.011413/2014-45;-10.9646241395787;-37.7528639875
28;SERGIPE;SE;2802106;Estância;02237;1;2802106022371;COMUNIDADE QUILOMBOLA;CURUANHA;00036;COMUNIDADE QUILOMBOLA CURUANHA;331;CURUANHA;01420.000554/2011-90;-11.210438722;-37.5055735505
28;SERGIPE;SE;2802809;Indiaroba;02288;1;2802809022881;COMUNIDADE QUILOMBOLA;DESTERRO;00027;COMUNIDADE QUILOMBOLA DESTERRO;;;01420.001228/2005-51;-11.5359402114333;-37.537059969
28;SERGIPE;SE;2800704;Brejo Grande;02306;1;2800704023061;COMUNIDADE QUILOMBOLA;DOM JOSÉ BRANDÃO DE CASTRO;;;;;;-10.4314717082;-36.4662317069
28;SERGIPE;SE;2801306;Capela;02585;1;2801306025851;COMUNIDADE QUILOMBOLA;FAZENDA PIRANGI;00053;COMUNIDADE QUILOMBOLA PIRANGI;171;PIRANGI;01420.000557/2006-66;-10.4869622082;-37.0375075542
28;SERGIPE;SE;2802809;Indiaroba;02625;1;2802809026251;COMUNIDADE QUILOMBOLA;FÉLIX;;;;;;-11.5199264443;-37.510138516
28;SERGIPE;SE;2805802;Riachão do Dantas;02693;1;2805802026931;COMUNIDADE QUILOMBOLA;FORRAS;00003;COMUNIDADE QUILOMBOLA POVOADO FORRAS;;;01420.007121/2014-16;-10.9738360415;-37.9211787201
28;SERGIPE;SE;2801900;Cumbe;02701;1;2801900027011;COMUNIDADE QUILOMBOLA;FORTE;;;168;FORTE;;-10.3796907065175;-37.1374737240337
28;SERGIPE;SE;2803500;Lagarto;03236;1;2803500032361;COMUNIDADE QUILOMBOLA;JOÃO AMAZONAS;00034;AGROVILA DO P.A. JOÃO AMAZONAS;;;;-10.9920996385367;-37.7800505441229
28;SERGIPE;SE;2803401;Japoatã;03348;1;2803401033481;COMUNIDADE QUILOMBOLA;LADEIRAS;00002;COMUNIDADE QUILOMBOLA LADEIRAS;169;LADEIRAS;01420.002953/2005-47;-10.4061137497;-36.7567794093
