CD_UF;NM_UF;SG_UF;CD_MUNIC;NM_MUNIC;IDCQ0001;OCORRENCIA;CD_LQ;PREFIXO;NM_CQ;CD_AGLOM;NM_AGLOM;CD_TQ;NM_TQ;P_FCP;Lat_d;Long_d
35;SÃO PAULO;SP;3514809;Eldorado;00013;2;3514809000132;COMUNIDADE QUILOMBOLA;ABOBRAL;;;;;01420.000578/2004-10;-24.4911783329;-48.0715346545
35;SÃO PAULO;SP;3514809;Eldorado;00013;1;3514809000131;COMUNIDADE QUILOMBOLA;ABOBRAL;00006;COMUNIDADE QUILOMBOLA ABOBRAL;313;ABOBRAL;01420.000578/2004-10;-24.4871850689;-48.0836074944
35;SÃO PAULO;SP;3509908;Cananéia;00030;1;3509908000301;COMUNIDADE QUILOMBOLA;ACARAÚ;;;;;01420.001453/2005-98, 01420.001455/2005-87;-25.015130861;-47.9366054418
35;SÃO PAULO;SP;3514809;Eldorado;00289;1;3514809002891;COMUNIDADE QUILOMBOLA;ANDRÉ LOPES;00002;COMUNIDADE QUILOMBOLA ANDRÉ LOPES;309;ANDRE LOPES;01420.000584/2004-77;-24.601459458;-48.405974214
35;SÃO PAULO;SP;3505401;Barra do Turvo;00394;1;3505401003941;COMUNIDADE QUILOMBOLA;AREIA BRANCA;;;;;;-24.9552988471;-48.571488357
35;SÃO PAULO;SP;3509908;Cananéia;00413;1;3509908004131;COMUNIDADE QUILOMBOLA;ARIRI;;;;;01420.001450/2005-54;-25.0172668760444;-47.9383128600339
35;SÃO PAULO;SP;3509908;Cananéia;00414;1;3509908004141;COMUNIDADE QUILOMBOLA;ARIRI OU BARRANCO ALTO OU VARADOURO;00018;COMUNIDADE QUILOMBOLA ARIRI OU BARRANCO ALTO OU VARADOURO;;;;-25.2136415645;-48.1045212490772
35;SÃO PAULO;SP;3529906;Miracatu;00857;1;3529906008571;COMUNIDADE QUILOMBOLA;BIGUAZINHO;00039;COMUNIDADE QUILOMBOLA BIGUAZINHO;443;BIGUAZINHO;;-24.2337116943;-47.5353408462
35;SÃO PAULO;SP;3521200;Iporanga;01056;1;3521200010561;COMUNIDADE QUILOMBOLA;BOMBAS;00002;COMUNIDADE QUILOMBOLA BOMBAS;318;BOMBAS;01420.000734/2005-23;-24.6105866386;-48.6601033468
35;SÃO PAULO;SP;3523404;Itatiba;01154;1;3523404011541;COMUNIDADE QUILOMBOLA;BROTAS;00035;COMUNIDADE QUILOMBOLA BROTAS;154;BROTAS;01420.000124/2004-49;-23.0172655414;-46.8585947812
