CD_UF;NM_UF;SG_UF;CD_MUNIC;NM_MUNIC;IDCQ0001;OCORRENCIA;CD_LQ;PREFIXO;NM_CQ;CD_AGLOM;NM_AGLOM;CD_TQ;NM_TQ;P_FCP;Lat_d;Long_d
17;TOCANTINS;TO;1705607;Conceição do Tocantins;00068;1;1705607000681;COMUNIDADE QUILOMBOLA;ÁGUA BRANCA;;;;;01420.016741/2014-38;-12.2558013472;-47.4309704166
17;TOCANTINS;TO;1701309;Aragominas;00363;1;1701309003631;COMUNIDADE QUILOMBOLA;ARAGOMINAS;;;;;;-7.16669019437;-48.5306513059
17;TOCANTINS;TO;1702406;Arraias;00431;1;1702406004311;COMUNIDADE QUILOMBOLA;ARRAIAS;;;;;;-12.9246477776;-46.9514651987
17;TOCANTINS;TO;1705102;Chapada da Natividade;00443;1;1705102004431;COMUNIDADE QUILOMBOLA;ASA DE ÁGUIA;;;;;;-11.6117133332;-47.7510041569
17;TOCANTINS;TO;1714203;Natividade;00444;1;1714203004441;COMUNIDADE QUILOMBOLA;ASA DE ÁGUIA;;;;;;-11.7139845277;-47.7293423599
17;TOCANTINS;TO;1714203;Natividade;00488;1;1714203004881;COMUNIDADE QUILOMBOLA;BAGAGEM;;;;;;-11.6969957915;-47.7204953085
17;TOCANTINS;TO;1700400;Almas;00503;1;1700400005031;COMUNIDADE QUILOMBOLA;BAIÃO;;;;;01420.003654/2010-97;-11.8031635833;-47.2462306389
17;TOCANTINS;TO;1719004;Santa Tereza do Tocantins;00643;1;1719004006431;COMUNIDADE QUILOMBOLA;BARRA DO AROEIRA;00002;COMUNIDADE QUILOMBOLA BARRA DA AROEIRA;139;BARRA DO AROEIRA;01420.003180/2005-16;-10.2808649164;-47.7128774136
17;TOCANTINS;TO;1715101;Novo Acordo;00644;1;1715101006441;COMUNIDADE QUILOMBOLA;BARRA DO AROEIRA;;;139;BARRA DO AROEIRA;01420.003180/2005-16;-10.1007199722;-47.614324
17;TOCANTINS;TO;1711951;Lagoa do Tocantins;00645;1;1711951006451;COMUNIDADE QUILOMBOLA;BARRA DO AROEIRA;;;;;01420.003180/2005-16;-10.3004544999;-47.5711255001
17;TOCANTINS;TO;1719004;Santa Tereza do Tocantins;00643;2;1719004006432;COMUNIDADE QUILOMBOLA;BARRA DO AROEIRA;;;;;01420.003180/2005-16;-10.2835199857;-47.809753063
17;TOCANTINS;TO;1701309;Aragominas;00783;1;1701309007831;COMUNIDADE QUILOMBOLA;BAVIERA;00001;AGROVILA DO PA QUILOMBOLA BAVIERA;;;01420.002361/2005-25;-6.83459249991;-48.8322646532
17;TOCANTINS;TO;1720150;São Félix do Tocantins;00877;1;1720150008771;COMUNIDADE QUILOMBOLA;BOA ESPERANÇA;;;;;;-10.1699219859;-46.6571783998
17;TOCANTINS;TO;1712702;Mateiros;00883;1;1712702008831;COMUNIDADE QUILOMBOLA;BOA ESPERANÇA;00002;COMUNIDADE QUILOMBOLA BOA ESPERANÇA;;;01420.007008/2014-22;-10.2246004027;-46.650069264
17;TOCANTINS;TO;1714203;Natividade;01120;1;1714203011201;COMUNIDADE QUILOMBOLA;BREJÃO SANTA MARIA;;;;;01420.101359/2022-39;-11.7011192777;-47.7220179851
17;TOCANTINS;TO;1712702;Mateiros;01692;1;1712702016921;COMUNIDADE QUILOMBOLA;CARRAPATO;;;;;01420.001779/2009-49;-10.3660015559905;-46.5118263756479
17;TOCANTINS;TO;1712702;Mateiros;01693;1;1712702016931;COMUNIDADE QUILOMBOLA;CARRAPATO, FORMIGA E AMBRÓSIO;;;;;01420.001779/2009-49;-10.5441273888;-46.419107026
17;TOCANTINS;TO;1707405;Esperantina;01696;1;1707405016961;COMUNIDADE QUILOMBOLA;CARRAPICHE;00012;COMUNIDADE QUILOMBOLA CARRAPICHE;;;01420.015960/2014-08;-5.32621962496;-48.6381779444
17;TOCANTINS;TO;1718907;Santa Rosa do Tocantins;01891;1;1718907018911;COMUNIDADE QUILOMBOLA;CHAPADA DA NATIVIDADE;;;;;;-11.4490100972;-48.1105698897
17;TOCANTINS;TO;1707405;Esperantina;01946;1;1707405019461;COMUNIDADE QUILOMBOLA;CIRIACO;;;;;01420.015959/2014-75;-5.41515572216;-48.5722052233
17;TOCANTINS;TO;1716208;Paranã;01949;1;1716208019491;COMUNIDADE QUILOMBOLA;CLARO;;;;;01420.014185/2013-84;-13.1181913332;-47.7645093211
17;TOCANTINS;TO;1716208;Paranã;01950;1;1716208019501;COMUNIDADE QUILOMBOLA;CLARO, PRATA E OURO FINO;;;;;;-13.1152399302;-47.7656976805
